x,Weights,y,Weights,error_LT
6.119519015099999848e+01,9.798570619999860121e-01,-8.129133157997899817e-01,9.798570619999860121e-01,-8.129133157997899817e-01
6.315490427499999981e+01,9.871583920000049917e-01,-7.871054178000920221e-01,9.871583920000049917e-01,-7.871054178000920221e-01
6.512922105900000247e+01,9.985232340000109730e-01,-7.714568857998069795e-01,9.985232340000109730e-01,-7.714568857998069795e-01
6.712626752699999599e+01,9.872015739999969730e-01,-7.855113907999109468e-01,9.872015739999969730e-01,-7.855113907999109468e-01
6.910067067500000348e+01,9.930502110000030136e-01,-7.889170737999510186e-01,9.930502110000030136e-01,-7.889170737999510186e-01
7.108677109699999619e+01,9.961898259999769634e-01,-7.866751527998300242e-01,9.961898259999769634e-01,-7.866751527998300242e-01
7.307915074899999297e+01,1.008026799000020013e+00,-7.891465817997980192e-01,1.008026799000020013e+00,-7.891465817997980192e-01
7.509520434700000635e+01,1.007357394999990108e+00,-8.203115448000060095e-01,1.007357394999990108e+00,-8.203115448000060095e-01
7.710991913700000566e+01,9.988457350000170543e-01,-8.455679947998649970e-01,9.988457350000170543e-01,-8.455679947998649970e-01
7.910761060699999803e+01,1.003321493999989933e+00,-8.358052138000859888e-01,1.003321493999989933e+00,-8.358052138000859888e-01
8.111425359499999388e+01,9.972565510000069855e-01,-8.424881368002270499e-01,9.972565510000069855e-01,-8.424881368002270499e-01
8.310876669699999297e+01,9.938777020000060247e-01,-8.647923108001690506e-01,9.938777020000060247e-01,-8.647923108001690506e-01
8.509652210100000502e+01,1.003762038999979955e+00,-8.564497118001670461e-01,1.003762038999979955e+00,-8.564497118001670461e-01
8.710404617899999380e+01,1.000121329000009940e+00,-8.259408778000649765e-01,1.000121329000009940e+00,-8.259408778000649765e-01
8.910428883699999858e+01,9.962991599999849734e-01,-8.258008188000760530e-01,9.962991599999849734e-01,-8.258008188000760530e-01
9.109688715699999761e+01,9.948175240000129982e-01,-8.321175437999950297e-01,9.948175240000129982e-01,-8.321175437999950297e-01
9.308652220499999430e+01,9.906833089999980135e-01,-8.216148188000720332e-01,9.906833089999980135e-01,-8.216148188000720332e-01
9.506788882300000409e+01,9.997686330000159494e-01,-8.066326937999970248e-01,9.997686330000159494e-01,-8.066326937999970248e-01
