x,y_LE,y_RE
4.102316602316602445e-02,1.250000000000000000e+02,1.279560000000000031e+02
4.150579150579150611e-02,1.250000000000000000e+02,1.279579999999999984e+02
4.193479193479193734e-02,1.250000000000000000e+02,1.279569999999999936e+02
4.241741741741741900e-02,1.250000000000000000e+02,1.279569999999999936e+02
4.290004290004290066e-02,1.250000000000000000e+02,1.279710000000000036e+02
4.338266838266838926e-02,1.250000000000000000e+02,1.279449999999999932e+02
4.381166881166880661e-02,1.250000000000000000e+02,1.279189999999999969e+02
4.429429429429429521e-02,1.250000000000000000e+02,1.278930000000000007e+02
4.477691977691977687e-02,1.250000000000000000e+02,1.278689999999999998e+02
4.525954525954525853e-02,1.250000000000000000e+02,1.278559999999999945e+02
4.568854568854568976e-02,1.250000000000000000e+02,1.278539999999999992e+02
4.617117117117117142e-02,1.250000000000000000e+02,1.278539999999999992e+02
4.665379665379665308e-02,1.250000000000000000e+02,1.278790000000000049e+02
4.708279708279708431e-02,1.250000000000000000e+02,1.279180000000000064e+02
4.756542256542256597e-02,1.250000000000000000e+02,1.279329999999999927e+02
4.804804804804804763e-02,1.250000000000000000e+02,1.279569999999999936e+02
4.847704847704847886e-02,1.250000000000000000e+02,1.279830000000000041e+02
4.895967395967396052e-02,1.250000000000000000e+02,1.279849999999999994e+02
4.965679965679965779e-02,1.250000000000000000e+02,1.279860000000000042e+02
5.008580008580008902e-02,1.250000000000000000e+02,1.279959999999999951e+02
5.083655083655083673e-02,1.250000000000000000e+02,1.279969999999999999e+02
5.153367653367653400e-02,1.250000000000000000e+02,1.279819999999999993e+02
5.223080223080223128e-02,1.250000000000000000e+02,1.279950000000000045e+02
5.298155298155297899e-02,1.250000000000000000e+02,1.279819999999999993e+02
5.341055341055341021e-02,1.250000000000000000e+02,1.279689999999999941e+02
5.432217932217931616e-02,1.250000000000000000e+02,1.279699999999999989e+02
5.501930501930502038e-02,1.250000000000000000e+02,1.280080000000000098e+02
5.571643071643071071e-02,1.250000000000000000e+02,1.280329999999999870e+02
5.646718146718146536e-02,1.250000000000000000e+02,1.280349999999999966e+02
5.711068211068210526e-02,1.250000000000000000e+02,1.280210000000000150e+02
5.780780780780780947e-02,1.250000000000000000e+02,1.279950000000000045e+02
5.861218361218361456e-02,1.250000000000000000e+02,1.279590000000000032e+02
5.925568425568425446e-02,1.250000000000000000e+02,1.279209999999999923e+02
5.989918489918490130e-02,1.250000000000000000e+02,1.279699999999999989e+02
6.038181038181037602e-02,1.250000000000000000e+02,1.279980000000000047e+02
6.113256113256113067e-02,1.250000000000000000e+02,1.280090000000000146e+02
6.182968682968683488e-02,1.250000000000000000e+02,1.280120000000000005e+02
6.258043758043758953e-02,1.250000000000000000e+02,1.280349999999999966e+02
6.322393822393822249e-02,1.250000000000000000e+02,1.279980000000000047e+02
6.408193908193908495e-02,1.250000000000000000e+02,1.280000000000000000e+02
6.515444015444016301e-02,1.250000000000000000e+02,1.280109999999999957e+02
6.611969111969112634e-02,1.250000000000000000e+02,1.279740000000000038e+02
6.670956670956670886e-02,1.250000000000000000e+02,1.279729999999999990e+02
6.762119262119262175e-02,1.250000000000000000e+02,1.279489999999999981e+02
6.831831831831831903e-02,1.250000000000000000e+02,1.279500000000000028e+02
6.928356928356928235e-02,1.250000000000000000e+02,1.279620000000000033e+02
7.019519519519519524e-02,1.250000000000000000e+02,1.279629999999999939e+02
7.110682110682110812e-02,1.250000000000000000e+02,1.280130000000000052e+02
7.180394680394680540e-02,1.250000000000000000e+02,1.279879999999999995e+02
7.271557271557271829e-02,1.250000000000000000e+02,1.279620000000000033e+02
7.351994851994851643e-02,1.250000000000000000e+02,1.279600000000000080e+02
