width_LLS_B,Weights
6.160999999999999588e+00,9.987517400021389546e-01
6.174000000000000377e+00,1.002621467061459937e+00
6.173000000000000043e+00,9.973650117239980517e-01
6.185999999999999943e+00,1.003762377015710028e+00
6.198999999999999844e+00,1.003451615720039936e+00
6.224999999999999645e+00,9.974237492988250464e-01
6.237000000000000099e+00,9.955968172406900463e-01
6.262999999999999901e+00,1.002598004782669916e+00
6.211000000000000298e+00,1.002727290969070095e+00
6.224999999999999645e+00,1.003791512413110043e+00
6.224000000000000199e+00,9.963861831118070445e-01
6.235999999999999766e+00,9.998672560693270261e-01
6.235999999999999766e+00,1.002854749391459910e+00
6.237000000000000099e+00,1.008301317801600039e+00
6.261000000000000121e+00,1.003320938545769980e+00
6.272999999999999687e+00,1.000976295811059957e+00
6.309999999999999609e+00,9.975503636016610498e-01
6.338000000000000078e+00,9.996505681016399913e-01
6.312000000000000277e+00,9.985740533894980064e-01
6.312999999999999723e+00,1.000893622785570036e+00
6.338000000000000078e+00,9.975181332008019597e-01
6.336999999999999744e+00,9.965796854790529569e-01
6.339000000000000412e+00,9.943492410031360418e-01
6.325999999999999623e+00,9.963282260473229623e-01
6.264000000000000234e+00,9.995755917352300290e-01
6.288000000000000256e+00,1.004242342085849948e+00
6.288999999999999702e+00,1.003144449466089938e+00
6.312999999999999723e+00,9.924051024886200167e-01
6.275000000000000355e+00,9.912940017338780496e-01
6.211000000000000298e+00,9.994409120879910180e-01
6.198000000000000398e+00,1.002530365440529980e+00
6.184999999999999609e+00,9.992015271652670005e-01
6.222999999999999865e+00,9.940119324506939691e-01
6.235999999999999766e+00,1.001390144783389946e+00
6.272999999999999687e+00,1.001409140805580078e+00
6.261000000000000121e+00,1.003806550613469906e+00
6.261999999999999567e+00,9.984510604116889620e-01
6.224000000000000199e+00,1.001839670689989914e+00
6.224999999999999645e+00,1.000854876590469900e+00
6.275000000000000355e+00,9.989296858044790506e-01
6.261000000000000121e+00,1.001350455630940051e+00
6.261000000000000121e+00,9.975074067153339996e-01
6.272999999999999687e+00,9.973845673063289619e-01
6.209999999999999964e+00,9.978233077480950231e-01
6.248999999999999666e+00,1.004314142980690105e+00
6.238000000000000433e+00,1.003256256387520029e+00
6.224000000000000199e+00,9.995465971600340227e-01
6.211999999999999744e+00,1.003278117012919912e+00
6.211999999999999744e+00,1.008369518401700082e+00
6.200000000000000178e+00,1.001818393645079963e+00
6.198000000000000398e+00,9.933963874813610540e-01
6.235000000000000320e+00,9.949495470672029551e-01
6.259999999999999787e+00,1.002629589402840082e+00
6.219000000000000306e+00,9.963884465467199858e-01
6.169999999999999929e+00,1.000346319292930053e+00
6.221000000000000085e+00,1.001401421971009897e+00
6.246000000000000441e+00,9.942338507508939882e-01
6.299999999999999822e+00,1.005178321180600021e+00
6.298000000000000043e+00,1.000789563616159894e+00
6.274000000000000021e+00,1.001765703531749985e+00
6.274000000000000021e+00,9.958426907413689966e-01
6.259999999999999787e+00,1.000574014932360090e+00
6.272000000000000242e+00,1.000575017841859982e+00
6.283000000000000362e+00,9.948631578966870004e-01
6.285000000000000142e+00,9.958300104649390194e-01
6.258000000000000007e+00,9.980727382235630163e-01
6.283000000000000362e+00,1.004433881696140007e+00
6.307999999999999829e+00,1.000764543164899933e+00
6.347000000000000419e+00,1.004635183589319913e+00
6.344999999999999751e+00,1.004664577040009998e+00
6.331000000000000405e+00,1.006814562762659904e+00
6.328999999999999737e+00,1.000758427770980008e+00
6.328000000000000291e+00,9.934548024581679737e-01
6.392000000000000348e+00,9.943278551814009880e-01
6.354000000000000092e+00,1.002162876160650029e+00
6.330000000000000071e+00,1.008427371699859965e+00
6.368999999999999773e+00,1.003607009707460085e+00
6.339999999999999858e+00,9.977006103002340476e-01
6.341000000000000192e+00,9.929012182494659777e-01
6.304000000000000270e+00,1.003669499344169935e+00
6.304000000000000270e+00,1.006201886316349992e+00
6.317000000000000171e+00,1.002799315963319948e+00
6.251999999999999780e+00,9.951479295396570279e-01
6.201999999999999957e+00,9.903294826578890042e-01
6.240000000000000213e+00,9.988830258674650242e-01
6.277999999999999581e+00,9.968945665277909596e-01
6.304000000000000270e+00,9.976186099335010438e-01
6.293000000000000149e+00,9.969055997266890179e-01
6.304999999999999716e+00,1.004125782547470092e+00
6.253000000000000114e+00,1.008586860239899963e+00
6.277999999999999581e+00,1.001983056081610091e+00
6.264999999999999680e+00,1.002023014937490020e+00
6.264999999999999680e+00,1.003740501990820100e+00
6.266000000000000014e+00,1.008020190011819972e+00
6.240999999999999659e+00,9.993075004560170171e-01
6.227999999999999758e+00,9.943149212033800532e-01
