center_CAM,Weights
-1.672713000000000116e-01,1.009513027052050038e+00
-1.991324999999999901e-01,1.000511353793170022e+00
-2.389590000000000047e-01,9.945952944922760164e-01
-1.593060000000000032e-01,9.982718628017399620e-01
-1.035488999999999993e-01,1.004806176015230035e+00
-1.115141999999999939e-01,9.991453802988460309e-01
-1.513406999999999947e-01,9.979413256647869934e-01
-1.194795000000000024e-01,1.001841842201369959e+00
-1.433753999999999862e-01,1.004440256475739979e+00
-9.558360000000000467e-02,9.981241317211589914e-01
-9.558360000000000467e-02,9.996541036778979761e-01
-4.779180000000000234e-02,9.965455767682740440e-01
-7.168769999999999309e-02,1.008890503560200047e+00
-1.194795000000000024e-01,9.960165567601280134e-01
-1.274447999999999970e-01,1.001792722857820062e+00
-1.115141999999999939e-01,1.000660189247700060e+00
-4.779180000000000234e-02,1.007011267963259904e+00
-7.965300000000000158e-02,1.008425691669859958e+00
-5.575709999999999694e-02,9.966581855419419655e-01
-9.558360000000000467e-02,1.006081260321920023e+00
-7.965300000000000158e-02,1.006554917278730032e+00
-1.035488999999999993e-01,1.000575391859930052e+00
-6.372239999999999849e-02,1.002334282932799914e+00
-7.965300000000000158e-02,1.002342670497609944e+00
-5.575709999999999694e-02,9.940406661971910030e-01
7.965299999999999811e-03,1.008723206886739998e+00
-3.982650000000000079e-02,9.996240798812340289e-01
-7.965299999999999811e-03,9.946840988165439601e-01
-8.761829999999999619e-02,1.000021801074699956e+00
-7.168769999999999309e-02,9.986502948233789700e-01
-3.982650000000000079e-02,9.934648686844459453e-01
-4.779180000000000234e-02,9.950226739042270507e-01
-5.575709999999999694e-02,9.991189458711480231e-01
-8.761829999999999619e-02,1.000595439864450098e+00
-6.372239999999999849e-02,1.000210986851759909e+00
-7.168769999999999309e-02,9.950102494171469969e-01
-7.168769999999999309e-02,9.961792868681560442e-01
-1.115141999999999939e-01,9.984513603826890016e-01
-9.558360000000000467e-02,1.000324103854739910e+00
-1.354101000000000055e-01,1.005449336956049988e+00
-8.761829999999999619e-02,9.965333495611550241e-01
-1.274447999999999970e-01,9.960033916066549642e-01
-1.194795000000000024e-01,1.002804928105859972e+00
-1.433753999999999862e-01,1.004750879138210040e+00
-1.274447999999999970e-01,9.905776670631349923e-01
-1.115141999999999939e-01,9.983053888974220413e-01
-7.965300000000000158e-02,1.004515899395979961e+00
-4.779180000000000234e-02,1.003304800608979974e+00
-8.761829999999999619e-02,9.902677125078249709e-01
-9.558360000000000467e-02,1.003397358656630045e+00
-5.575709999999999694e-02,1.004958953480429962e+00
-8.761829999999999619e-02,9.877232721724650277e-01
-7.965300000000000158e-02,9.963851797577329972e-01
-7.965300000000000158e-02,1.002119744335159934e+00
-3.186119999999999924e-02,1.001127247677269905e+00
0.000000000000000000e+00,9.949792222378339712e-01
2.389590000000000117e-02,9.985898963925680105e-01
3.186119999999999924e-02,1.003351636891590015e+00
1.593059999999999962e-02,1.000109517293610084e+00
7.965299999999999811e-03,1.003616832809139936e+00
1.593059999999999962e-02,1.002482649659220071e+00
-7.965299999999999811e-03,9.999406303430929954e-01
-5.575709999999999694e-02,9.961649251036960306e-01
-2.389590000000000117e-02,9.984965446107170184e-01
2.389590000000000117e-02,1.006382699859029950e+00
3.186119999999999924e-02,1.003566050523589936e+00
5.575709999999999694e-02,9.954251208077780078e-01
3.186119999999999924e-02,9.996969636692769612e-01
0.000000000000000000e+00,1.001045750330429973e+00
7.965299999999999811e-03,1.003271081236219997e+00
-2.389590000000000117e-02,1.000681611222580036e+00
-7.965299999999999811e-03,9.965348136963819714e-01
-4.779180000000000234e-02,1.004102112626340082e+00
-3.186119999999999924e-02,1.001857041683700045e+00
-3.982650000000000079e-02,9.989921014271330169e-01
-8.761829999999999619e-02,9.969449793170209739e-01
-7.965299999999999811e-03,1.003294750215139919e+00
-4.779180000000000234e-02,9.980127684307209535e-01
-7.168769999999999309e-02,9.969920194255670332e-01
-9.558360000000000467e-02,1.007302383313110061e+00
-7.168769999999999309e-02,9.978420223701379710e-01
-5.575709999999999694e-02,9.966914064750019842e-01
-8.761829999999999619e-02,9.990618334499099529e-01
-7.965300000000000158e-02,1.007243081002479945e+00
-1.115141999999999939e-01,1.001728565970759988e+00
-1.433753999999999862e-01,1.000331805699870014e+00
-8.761829999999999619e-02,1.006659658119930079e+00
-7.965300000000000158e-02,1.005559034084410053e+00
-5.575709999999999694e-02,9.975350281734229885e-01
-1.274447999999999970e-01,1.004128234619179993e+00
-1.035488999999999993e-01,9.947989082768170510e-01
-1.593060000000000032e-01,1.007699698077410000e+00
-1.354101000000000055e-01,1.001656452950119958e+00
-1.593060000000000032e-01,1.002823758193700066e+00
-7.965300000000000158e-02,9.924142718391409934e-01
-1.593060000000000032e-01,9.982482809454890083e-01
-7.965300000000000158e-02,9.975421529224159922e-01
-1.433753999999999862e-01,1.009962798005769935e+00
-8.761829999999999619e-02,9.986830604080020324e-01
-8.761829999999999619e-02,1.003207028869320006e+00
-7.168769999999999309e-02,9.935700361679139503e-01
-1.115141999999999939e-01,1.003520421465140089e+00
-1.593060000000000032e-01,9.965942919326430394e-01
-8.761829999999999619e-02,9.981647624595969548e-01
-3.186119999999999924e-02,9.977340707433399736e-01
2.389590000000000117e-02,9.984282747084729515e-01
1.593059999999999962e-02,1.008181713118480038e+00
1.593059999999999962e-02,9.979229557250589577e-01
7.965300000000000158e-02,9.966132842946939796e-01
1.194795000000000024e-01,1.005309509554199954e+00
1.194795000000000024e-01,1.001038257142240040e+00
7.168769999999999309e-02,9.976655062062259605e-01
9.558360000000000467e-02,1.002066817964379908e+00
1.593059999999999962e-02,1.000181264965819938e+00
9.558360000000000467e-02,1.002770113434650057e+00
5.575709999999999694e-02,9.974441818526149639e-01
5.575709999999999694e-02,9.968818379098830507e-01
0.000000000000000000e+00,1.005381291634040108e+00
7.168769999999999309e-02,9.968321988922670407e-01
2.389590000000000117e-02,9.947539818929580502e-01
7.965300000000000158e-02,1.005144748322990056e+00
1.593059999999999962e-02,1.007778636812100004e+00
8.761829999999999619e-02,9.979220195895379675e-01
2.389590000000000117e-02,1.004915125238110107e+00
6.372239999999999849e-02,9.979385623393780547e-01
5.575709999999999694e-02,9.989983616008499823e-01
3.982650000000000079e-02,9.997003417413510284e-01
5.575709999999999694e-02,1.000582508457849906e+00
1.593059999999999962e-02,9.919307275363800080e-01
2.389590000000000117e-02,1.006999947517829952e+00
-1.593059999999999962e-02,1.000162612195730105e+00
2.389590000000000117e-02,9.915361286476239711e-01
1.593059999999999962e-02,1.002775698655780090e+00
7.965299999999999811e-03,9.982083734632930527e-01
3.186119999999999924e-02,1.001702918430170008e+00
-2.389590000000000117e-02,9.968684989326890289e-01
3.186119999999999924e-02,1.000069974918339932e+00
7.965299999999999811e-03,9.975023156386210177e-01
8.761829999999999619e-02,9.996817088011199504e-01
3.186119999999999924e-02,9.936167912319839868e-01
9.558360000000000467e-02,1.001237078132170000e+00
9.558360000000000467e-02,1.008749770590839923e+00
8.761829999999999619e-02,9.960877658019490211e-01
1.513406999999999947e-01,9.944113621626650135e-01
1.593060000000000032e-01,1.001849603447209969e+00
1.832019000000000009e-01,9.998505125436439878e-01
1.115141999999999939e-01,9.996985011879120364e-01
1.832019000000000009e-01,9.965780656598309806e-01
1.513406999999999947e-01,1.003344534965920021e+00
1.513406999999999947e-01,1.006061428635530053e+00
2.150631000000000070e-01,1.005613697049049904e+00
1.433753999999999862e-01,9.909106564656220417e-01
1.752365999999999924e-01,9.989292774681970410e-01
1.354101000000000055e-01,1.007868440850159919e+00
1.832019000000000009e-01,9.962791893848319535e-01
1.911672000000000093e-01,9.964431984005810428e-01
1.194795000000000024e-01,9.988879985310129550e-01
1.115141999999999939e-01,1.006980561363280069e+00
6.372239999999999849e-02,1.007013317904180028e+00
1.035488999999999993e-01,1.002541631643649955e+00
1.035488999999999993e-01,1.000698228803390100e+00
4.779180000000000234e-02,9.990702573928309516e-01
1.194795000000000024e-01,1.001303705724879922e+00
3.982650000000000079e-02,9.998647013429650121e-01
4.779180000000000234e-02,1.004574227348580040e+00
