TapeCenterLine,Weights
4.619873999999999925e-01,9.945313216168809589e-01
5.018139000000000349e-01,1.003888479432520020e+00
4.460567999999999755e-01,1.000755786379549983e+00
4.779180000000000095e-01,1.002456992575720074e+00
4.619873999999999925e-01,9.929108192266690169e-01
4.619873999999999925e-01,1.001828353140850059e+00
4.779180000000000095e-01,9.981191097126830281e-01
3.982649999999999801e-01,9.974624038115600388e-01
5.177445000000000519e-01,1.010099885591210001e+00
4.858833000000000180e-01,9.963614201461300501e-01
5.177445000000000519e-01,1.002763763157100030e+00
5.018139000000000349e-01,9.978572762315329747e-01
4.540220999999999840e-01,9.923806255032719958e-01
5.655362999999999918e-01,9.935973706786570547e-01
5.257098000000000049e-01,9.936260771262559466e-01
5.496056999999999748e-01,9.998108164740959758e-01
6.053627999999999787e-01,1.002059867244899927e+00
5.735015999999999448e-01,1.000404856157949940e+00
6.292586999999999486e-01,1.001742609885410085e+00
5.814669000000000088e-01,9.978003253260150363e-01
5.655362999999999918e-01,9.978680100161699817e-01
6.053627999999999787e-01,9.949314947591020308e-01
5.735015999999999448e-01,9.998246870200320213e-01
5.894321999999999617e-01,1.002399863023649917e+00
5.894321999999999617e-01,9.997535477410099958e-01
5.496056999999999748e-01,1.008744659551340073e+00
6.133281000000000427e-01,1.005532708027250033e+00
5.973975000000000257e-01,9.961086442145610231e-01
6.133281000000000427e-01,9.959827696374270456e-01
6.133281000000000427e-01,9.990519666974360113e-01
5.655362999999999918e-01,1.002211068678150019e+00
5.973975000000000257e-01,9.996361946837120094e-01
6.133281000000000427e-01,1.001203388106900016e+00
6.212933999999999957e-01,1.002468708771139916e+00
6.611198999999999826e-01,1.005667703147850034e+00
6.690852000000000466e-01,9.921091876114790375e-01
6.611198999999999826e-01,9.946040244577309952e-01
6.133281000000000427e-01,9.961499828662659928e-01
6.372240000000000126e-01,9.994129329720210508e-01
6.531546000000000296e-01,9.816530967520680218e-01
6.133281000000000427e-01,9.543755798399470303e-01
5.735015999999999448e-01,9.235345759146760258e-01
7.009463999999999695e-01,8.685278033562380262e-01
5.814669000000000088e-01,7.986865313940080258e-01
