Simulation,Gap_%,Overlap_%,Total_layout_area_mm2,Gap_area_mm2,Overlap_area_mm2
55,2.5895201314836225,1.4090949948875728,183959.98906489235,4763.680950710458,2592.1709985091243
56,2.8007393372230367,1.4940363303268192,184343.02815817125,5162.967705054041,2754.1518131076764
57,2.5067620957062835,1.2660171309045987,184088.48287982764,4614.66031139227,2330.5917292809972
58,2.502477308002896,1.278610159421629,184242.95142178526,4610.638050924975,2355.749094897203
59,2.587528617686967,1.4014686838561465,184108.91408839214,4763.870839749859,2580.228775136433
60,2.753636977713046,1.58770213245569,183967.17685242742,5065.788208663196,2920.8507899045208
61,2.5782839165398816,1.381000290909314,183962.01227111032,4743.062974929161,2540.515924626661
62,2.4583885125524825,1.2879286762329676,184086.8884217422,4525.570918075416,2370.907825168604
63,2.703534019586673,1.3354852005109792,184248.63708889848,4981.2245843231585,2460.613280465422
64,2.5355509769960154,1.380496286010046,183996.73966439767,4665.33113020145,2540.068157446583
65,2.677318544250296,1.401363373869629,184153.00473169048,4930.362545475675,2580.652760190315
66,2.7516958689060247,1.5453631380835413,184060.57323732506,5064.787190056222,2844.4042505548814
67,2.4794459828233455,1.2537116630929752,184084.19582021172,4564.268198276901,2307.8850329089055
68,2.7153607631046124,1.4145542682605283,184343.22095126932,5005.583491154008,2607.6349002151164
69,2.6185214271868515,1.543695470302979,183942.03449341087,4816.561586813394,2839.5048544579267
70,2.4682791375333,1.279118055298543,184015.3631446042,4542.012818354407,2353.773734505813
71,2.6041503956655374,1.3394442508391726,184126.14824882106,4794.921818145388,2466.2671070104457
72,2.452654663447368,1.341778356599671,183915.7311236756,4510.817756218152,2467.741474599524
73,2.6661246522422766,1.5396854006830638,183902.58326476015,4903.072108532149,2831.5212260065273
74,2.6048318084318134,1.4117951510227278,184153.96049026502,4796.900939337377,2599.8766846178714
75,2.476886636700803,1.3896354828938906,184001.04955206244,4557.4974077442575,2556.9438734726295
76,2.3994298736585757,1.2915601170989368,183986.81930071698,4414.634705895625,2376.3003788069495
77,2.5002445726145317,1.3976214151305426,183920.5013521252,4598.462352981946,2570.512313712761
78,2.8980736749805813,1.7548828437768424,184050.86503841158,5333.9296682522445,3229.8770543819555
79,2.709734773977591,1.3792973463142981,184224.96681586682,4992.0079881582205,2541.0100785396476
80,2.7726241628394694,1.5632499582790944,184062.05065516787,5103.348891083008,2877.349930074557
81,2.3646563537003282,1.1773131447446565,184021.2015667595,4351.469035004066,2166.5057951625195
82,2.729035121917863,1.4830706871606254,184147.8519982537,5025.459557289669,2731.0428140220324
83,2.9129521807276637,1.7329643324040136,184173.8673348143,5364.8966848599475,3191.6674305214183
84,2.740207866648973,1.537145072397206,184058.97532220458,5043.598521052541,2829.253469470057
85,2.4323697054964475,1.121472412476671,184266.85074624047,4482.051054823907,2066.5018964586498
86,2.637536767860492,1.4508948295715385,183969.99527222314,4852.276267136094,2669.2111493676894
87,2.499637789977007,1.3207210926037423,183900.96290058523,4596.8579647946235,2428.818806529412
88,2.762582441077317,1.679631757692164,183865.52485900972,5079.436704949651,3088.2637469793076
