X_mm,Weights,Y_normalised,Weights
8.599701575500000672e+01,1.000237767000000000e+00,-8.428659268000729954e-01,1.000237767000000000e+00
8.799749128899999562e+01,1.001222789999989926e+00,-8.467969558000160157e-01,1.001222789999989926e+00
8.999993686899999545e+01,9.958448410000000361e-01,-8.326004757998930472e-01,9.958448410000000361e-01
9.199162655099999597e+01,9.935923790000059652e-01,-8.229962328001649841e-01,9.935923790000059652e-01
9.397881130899999391e+01,1.003390754000009988e+00,-8.046593697999919748e-01,1.003390754000009988e+00
9.598559281699999701e+01,1.002933306000010072e+00,-7.962321578002049538e-01,1.002933306000010072e+00
9.799145942900010198e+01,9.866748869999779625e-01,-8.068702958002520464e-01,9.866748869999779625e-01
9.996480920300000150e+01,1.004548658000000039e+00,-8.093663618000159765e-01,1.004548658000000039e+00
1.019739065189999963e+02,9.954909239999949477e-01,-7.888618247999940047e-01,9.954909239999949477e-01
1.039648883670000004e+02,1.002035001000020076e+00,-7.843946207999580311e-01,1.002035001000020076e+00
1.059689583690000063e+02,9.999120159999890234e-01,-8.161941798001639548e-01,9.999120159999890234e-01
1.079687824009999986e+02,9.961897149999859868e-01,-8.262500317999299515e-01,9.961897149999859868e-01
1.099611618309999983e+02,9.929670449999999926e-01,-8.287179327999180112e-01,9.929670449999999926e-01
1.119470959209999990e+02,1.002521836000020095e+00,-8.235549958001230353e-01,1.002521836000020095e+00
1.139521395929999983e+02,1.003877678999979928e+00,-8.373157968002260532e-01,1.003877678999979928e+00
1.159598949509999954e+02,9.916695320000099567e-01,-8.459384567998999849e-01,9.916695320000099567e-01
1.179432340150000016e+02,9.990149530000069777e-01,-8.479527328000809883e-01,9.990149530000069777e-01
1.199412639210000009e+02,1.000710563999980041e+00,-8.441237118001939654e-01,1.000710563999980041e+00
1.219426850490000049e+02,1.005531772999989970e+00,-8.470664057999219843e-01,1.005531772999989970e+00
1.239537485949999933e+02,1.007028002000019962e+00,-8.434594857998259920e-01,1.007028002000019962e+00
1.259678045990000044e+02,9.955176470000000055e-01,-8.396392328002090233e-01,9.955176470000000055e-01
1.279588398930000039e+02,1.003290108999999930e+00,-8.361139487998340281e-01,1.003290108999999930e+00
1.299654201109999860e+02,9.981686510000149504e-01,-8.417067758001619548e-01,9.981686510000149504e-01
1.319617574129999866e+02,9.977413879999940116e-01,-8.608771518000249978e-01,9.977413879999940116e-01
1.339572401890000037e+02,9.958460619999980334e-01,-8.650790637998969634e-01,9.958460619999980334e-01
1.359489323130000002e+02,1.002364325000000056e+00,-8.555136288001680134e-01,1.002364325000000056e+00
1.379536609630000044e+02,1.003190685000010074e+00,-8.462161588001889667e-01,1.003190685000010074e+00
1.399600423329999899e+02,1.000524754999990051e+00,-8.658678328001769842e-01,1.000524754999990051e+00
1.419610918429999913e+02,1.005702545000010106e+00,-8.798460457999229822e-01,1.005702545000010106e+00
1.439724969330000022e+02,1.001866136999989942e+00,-8.822222778001109766e-01,1.001866136999989942e+00
1.459762292069999887e+02,9.986269870000089588e-01,-8.730135588000960123e-01,9.986269870000089588e-01
1.479734831810000060e+02,1.008382956999980040e+00,-8.731468088001289596e-01,1.008382956999980040e+00
1.499902490949999958e+02,9.963168609999969449e-01,-8.641601907999070242e-01,9.963168609999969449e-01
1.519828828169999895e+02,9.924499349999960085e-01,-8.535429167999950550e-01,9.924499349999960085e-01
1.539677826870000104e+02,9.997958000000299883e-01,-8.653639217999969935e-01,9.997958000000299883e-01
1.559673742870000126e+02,1.006199623000000098e+00,-8.713557417999030497e-01,1.006199623000000098e+00
1.579797735330000137e+02,9.990695089999800382e-01,-8.736079428001060077e-01,9.990695089999800382e-01
1.599779125510000028e+02,9.968586749999990282e-01,-8.716980418001299968e-01,9.968586749999990282e-01
1.619716299010000000e+02,9.943060750000110026e-01,-8.800603437999829914e-01,9.943060750000110026e-01
1.639602420509999945e+02,9.972444209999909992e-01,-8.867214887998779993e-01,9.972444209999909992e-01
1.659547308930000042e+02,9.964334100000089567e-01,-8.910509597998269582e-01,9.964334100000089567e-01
1.679475977129999933e+02,1.008254923000009962e+00,-8.845083018002239950e-01,1.008254923000009962e+00
1.699641075590000128e+02,9.996545259999860544e-01,-8.885786347999560242e-01,9.996545259999860544e-01
1.719634166110000137e+02,9.901976949999919952e-01,-8.896174228001429984e-01,9.901976949999919952e-01
1.739438120009999977e+02,9.903257290000060387e-01,-8.927128638001700089e-01,9.903257290000060387e-01
1.759244634590000089e+02,9.967581620000059983e-01,-8.827513538001879878e-01,9.967581620000059983e-01
1.779179797829999927e+02,1.001064703000009937e+00,-8.700521207998690443e-01,1.001064703000009937e+00
1.799201091889999873e+02,1.000595013999979965e+00,-8.678648317999769768e-01,1.000595013999979965e+00
1.819212992170000120e+02,9.998978879999920188e-01,-8.667646618002320391e-01,9.998978879999920188e-01
1.839210949929999970e+02,1.004960218000009897e+00,-8.587823067999810212e-01,1.004960218000009897e+00
1.859310154290000128e+02,1.003691315000009965e+00,-8.702437368002620133e-01,1.003691315000009965e+00
1.879383980590000078e+02,1.004262869999990038e+00,-8.898842758002269981e-01,1.004262869999990038e+00
1.899469237989999897e+02,9.976463140000080276e-01,-8.944564647999300178e-01,9.976463140000080276e-01
1.919422164270000053e+02,1.000597788999979976e+00,-8.777697138000920551e-01,1.000597788999979976e+00
1.939434120049999990e+02,1.000695194000019939e+00,-8.767577437999990453e-01,1.000695194000019939e+00
1.959448023930000033e+02,9.990543609999780195e-01,-8.967085247999759812e-01,9.990543609999780195e-01
1.979429111149999869e+02,9.992844830000250367e-01,-9.118137667998670315e-01,9.992844830000250367e-01
1.999414800810000088e+02,1.001451003999989986e+00,-8.998878828002150332e-01,1.001451003999989986e+00
2.019443820889999870e+02,9.972424229999889977e-01,-8.936854027999170391e-01,9.972424229999889977e-01
2.039388669349999930e+02,1.007412527000000058e+00,-8.979513697998979804e-01,1.007412527000000058e+00
2.059536919889999922e+02,9.922663669999990388e-01,-8.900594777998089846e-01,9.922663669999990388e-01
2.079382247229999905e+02,9.994829770000139835e-01,-8.779014597999430514e-01,9.994829770000139835e-01
2.099371906769999896e+02,1.003647799999979995e+00,-8.729323997998790219e-01,1.003647799999979995e+00
2.119444862770000100e+02,1.007784679000000017e+00,-8.735081398000940078e-01,1.007784679000000017e+00
2.139600556350000033e+02,1.002521059000029968e+00,-8.786479518000189781e-01,1.002521059000029968e+00
2.159650977530000091e+02,9.954905909999920421e-01,-8.923840568001539797e-01,9.954905909999920421e-01
2.179560789349999936e+02,1.000040383000009969e+00,-8.879062688000659564e-01,1.000040383000009969e+00
2.199561597009999900e+02,9.997400229999869881e-01,-8.849157537999300382e-01,9.997400229999869881e-01
2.219556397469999922e+02,1.002820531000010007e+00,-8.889496457999259693e-01,1.002820531000010007e+00
2.239612808089999874e+02,9.966314599999890333e-01,-8.956331197999819471e-01,9.966314599999890333e-01
2.259545437289999938e+02,1.001436632999979981e+00,-8.960331737999920332e-01,1.001436632999979981e+00
2.279574169949999884e+02,9.918660280000179963e-01,-9.068705328000420396e-01,9.918660280000179963e-01
2.299411490509999965e+02,9.929941010000079560e-01,-9.157781287998429942e-01,9.929941010000079560e-01
2.319271372530000122e+02,1.002994209999970021e+00,-9.115676958002719710e-01,1.002994209999970021e+00
2.339331256730000064e+02,1.004176928999999996e+00,-8.892409477998629574e-01,1.004176928999999996e+00
2.359414795309999988e+02,1.000724359000020103e+00,-8.908039207998400544e-01,1.000724359000020103e+00
2.379429282490000048e+02,1.006016811000040034e+00,-9.117742378001030268e-01,1.006016811000040034e+00
2.399549618709999947e+02,9.987440909999629746e-01,-9.251572138002760459e-01,9.987440909999629746e-01
2.419524500530000068e+02,9.999114609999959491e-01,-9.293827198001739509e-01,9.999114609999959491e-01
2.439522729749999996e+02,9.971015930000249883e-01,-9.394209317999869802e-01,9.971015930000249883e-01
2.459464761609999925e+02,1.002750181999989998e+00,-9.387479788002219827e-01,1.002750181999989998e+00
2.479519765249999921e+02,1.001236695999980109e+00,-9.254212057999210428e-01,1.001236695999980109e+00
2.499544499170000051e+02,9.990248630000170271e-01,-9.292558767998569946e-01,9.990248630000170271e-01
2.519524996430000101e+02,1.000538237999990088e+00,-9.433309988000360136e-01,1.000538237999990088e+00
2.539535761189999903e+02,9.911830510000210204e-01,-9.402411487998849626e-01,9.911830510000210204e-01
2.559359422210000048e+02,9.962450479999770403e-01,-9.252196647998970347e-01,9.962450479999770403e-01
2.579284323169999880e+02,9.999103510000110218e-01,-9.296313818002199802e-01,9.999103510000110218e-01
2.599282530190000102e+02,1.003148724000000103e+00,-9.396343138000130546e-01,1.003148724000000103e+00
2.619345504670000082e+02,9.973733429999920297e-01,-9.402705808003020138e-01,9.973733429999920297e-01
2.639292971529999932e+02,9.982984610000189551e-01,-9.315713247997909896e-01,9.982984610000189551e-01
2.659258940749999738e+02,9.926651309999670048e-01,-9.377411978001649606e-01,9.926651309999670048e-01
2.679112243370000215e+02,1.008939031000009923e+00,-9.395532757999379703e-01,1.008939031000009923e+00
2.699291023989999871e+02,9.965164650000130075e-01,-9.325028668001209553e-01,9.965164650000130075e-01
2.719221353290000138e+02,1.005145804999979964e+00,-9.288776968002709911e-01,1.005145804999979964e+00
2.739324269389999813e+02,9.975737240000059902e-01,-9.292965518000070313e-01,9.975737240000059902e-01
2.759275743869999928e+02,1.006101864000020107e+00,-9.276140958000950176e-01,1.006101864000020107e+00
2.779397781150000242e+02,9.996125440000009910e-01,-9.439780637999890534e-01,9.996125440000009910e-01
2.799390032030000270e+02,9.979036929999840488e-01,-9.610865467998339629e-01,9.979036929999840488e-01
2.819348105889999943e+02,1.008726943000030074e+00,-9.534133318001070112e-01,1.008726943000030074e+00
2.839522644749999927e+02,9.947775399999729817e-01,-9.564706337999949737e-01,9.947775399999729817e-01
2.859418195549999950e+02,1.004233372000020053e+00,-9.621011078001520112e-01,1.004233372000020053e+00
2.879502862990000267e+02,9.963739700000080468e-01,-9.656431768000860449e-01,9.963739700000080468e-01
2.899430342389999851e+02,1.013402992999999919e+00,-9.570261668000630273e-01,1.013402992999999919e+00
2.919698402249999845e+02,9.993683149999700310e-01,-9.484573428001109585e-01,9.993683149999700310e-01
2.939685768549999807e+02,1.000053977000020078e+00,-9.394736428001240203e-01,1.000053977000020078e+00
2.959686848090000240e+02,1.001666088999999982e+00,-9.194185928001270547e-01,1.001666088999999982e+00
2.979720169870000177e+02,9.950322550000120225e-01,-9.032036578000770533e-01,9.950322550000120225e-01
2.999620814969999856e+02,1.003547932000000031e+00,-9.177629958002170296e-01,1.003547932000000031e+00
3.019691773609999927e+02,1.011851208999990037e+00,-9.323834708001189631e-01,1.011851208999990037e+00
3.039928797790000203e+02,1.008527450000000103e+00,-9.220771078001920307e-01,1.008527450000000103e+00
