time,width_CAM,center_CAM,error_CAM,width_LLS_A,center_LLS_A,width error_LLS_A,x,y,z,error_LT,z error,width_LLS_B,center_LLS_B,width error_LLS_B
9.282999999995809,6.0854892,0.0796530000000002,12.4354892,6.10039067188431,-2.0785,-0.2496093281156897,354.280336348,186.5657543622,0.0975191041999898,-0.9342456377999895,4.09751910419999,6.22620887860342,0.028999999999999915,-0.12379112139657966
9.298999999999069,6.0695586,0.10354890000000005,12.419558599999998,6.16794951973253,-2.0629999999999997,-0.18205048026746962,358.279411768,186.5556686742,0.094444290200027,-0.9443313257999932,4.094444290200027,6.23606743068097,-0.040000000000000036,-0.1139325693190294
9.314999999995052,6.1810728,0.15930599999999995,12.5310728,6.09027077524809,-2.073,-0.2597292247519096,362.27115525,186.5511953692,0.0973480832000364,-0.948804630799998,4.097348083200036,6.21006771299637,-0.027000000000000135,-0.1399322870036297
9.331999999994878,6.1810728,0.17523659999999985,12.5310728,6.02722999899119,-2.073,-0.32277000100880926,364.28016549399996,186.5556796032,0.087779119199989,-0.9443203968000091,4.087779119199989,6.18325359337623,0.010499999999999954,-0.16674640662377005
9.347999999998137,6.1492116,0.15930599999999995,12.499211599999999,6.04763830921245,-2.1045,-0.30236169078754926,366.28851890799996,186.5541236862,0.0802313322000077,-0.9458763137999995,4.080231332200007,6.1712820386043,0.04149999999999987,-0.17871796139569973
9.364000000001397,6.212934,0.19116719999999998,12.562933999999998,6.14606377887721,-2.045,-0.20393622112278997,372.310982792,186.5422998902,0.05861264720004,-0.9577001097999869,4.05861264720004,6.20914889497747,0.03550000000000009,-0.14085110502252984
9.37999999999738,6.1492116,0.2070978000000001,12.499211599999999,6.14250163744364,-2.01,-0.20749836255635934,374.322613876,186.5359619382,0.0620825322000262,-0.9640380618000108,4.0620825322000265,6.23305847878872,0.06149999999999989,-0.11694152121127921
9.396999999997206,6.1173504,0.25488960000000005,12.4673504,6.12623238504829,-1.979,-0.2237676149517096,378.32670657799997,186.5432540042,0.0769476412000363,-0.9567459957999915,4.076947641200037,6.18421029720044,0.04800000000000004,-0.16578970279956007
9.413000000000466,6.1970034,0.27878550000000013,12.5470034,6.14605764888427,-1.9980000000000002,-0.2039423511157299,380.327126668,186.5402966472,0.0844031312000403,-0.9597033528000054,4.08440313120004,6.17105477207908,0.09250000000000003,-0.17894522792092005
9.42899999999645,6.133281,0.2787854999999999,12.483281,6.14307501275503,-1.9980000000000002,-0.20692498724496922,384.30950983599996,186.5243277522,0.103345503200012,-0.9756722477999915,4.103345503200012,6.24731766440606,0.13050000000000006,-0.10268233559393991
9.444999999999709,6.212934,0.2867508000000001,12.562933999999998,6.13304021349346,-2.004,-0.21695978650654002,388.300601192,186.5488253102,0.0951468681999977,-0.9511746898000126,4.095146868199998,6.21919303446999,0.13050000000000006,-0.13080696553000948
9.461999999999534,6.1810728,0.2867508000000001,12.5310728,6.10416644847301,-2.004,-0.2458335515269896,390.29962680799997,186.5527536662,0.0895776702000264,-0.9472463337999955,4.089577670200026,6.19308267343493,0.13049999999999984,-0.15691732656507007
9.477999999995518,6.133281,0.3425079,12.483281,6.13999035712349,-2.0095,-0.2100096428765097,392.31031807,186.5453356512,0.0860511112000084,-0.9546643488000086,4.086051111200009,6.16912967929837,0.11849999999999983,-0.18087032070162934
9.493999999998778,6.1810728,0.3345426,12.5310728,6.15907428031779,-1.9665,-0.19092571968220984,398.30867579799997,186.5171395842,0.0724848782000217,-0.9828604157999905,4.072484878200021,6.20525269429054,0.11149999999999993,-0.14474730570945926
9.509999999994761,6.292587,0.3425079,12.642586999999999,6.12065798369526,-1.9705,-0.22934201630473972,400.290500842,186.5240959572,0.0679011772000252,-0.9759040428000105,4.067901177200025,6.2022264550724,0.10000000000000009,-0.14777354492759986
9.526999999994587,6.3403788,0.3186119999999999,12.6903788,6.13068966571304,-2.0170000000000003,-0.21931033428696,404.293656608,186.5302620962,0.0627699201999974,-0.9697379037999951,4.062769920199997,6.16426354076462,0.15700000000000003,-0.18573645923537985
9.542999999997846,6.292587,0.32657730000000007,12.642586999999999,6.15875952159368,-1.9804999999999997,-0.19124047840631953,406.300695696,186.5166364612,0.0622644692000216,-0.9833635388000062,4.062264469200022,6.15208322440456,0.125,-0.19791677559543963
9.559000000001106,6.3085176,0.3186119999999999,12.6585176,6.07430450164509,-1.992,-0.27569549835491003,412.321503266,186.4987331552,0.0476669102000016,-1.0012668448,4.047666910200002,6.18813582591721,0.131,-0.16186417408278952
9.57499999999709,6.2447952,0.3186120000000001,12.5947952,6.13778568930405,-1.9425,-0.21221431069594932,414.32414854,186.4918892682,0.0531365941999974,-1.0081107318000022,4.053136594199997,6.2142175694129,0.1060000000000001,-0.13578243058710004
9.591999999996915,6.212934,0.2867508000000001,12.562933999999998,6.05612137385298,-2.0305,-0.2938786261470199,416.301637434,186.5046184372,0.0515315811999876,-0.9953815627999916,4.0515315811999875,6.19039578702364,0.05499999999999994,-0.15960421297635996
9.608000000000175,6.1810728,0.23895899999999992,12.5310728,6.14392124020278,-1.9965000000000002,-0.20607875979721957,418.296724998,186.5073451252,0.0529657922000202,-0.9926548747999959,4.052965792200021,6.16411713061976,0.030000000000000027,-0.18588286938023924
9.623999999996158,6.2288646,0.21506309999999984,12.5788646,6.10641041831571,-2.0164999999999997,-0.24358958168428924,424.318327696,186.5105956332,0.0592939142000163,-0.9894043667999881,4.059293914200016,6.17713606779064,-0.0014999999999998348,-0.17286393220935992
9.639999999999418,6.1970034,0.24692429999999987,12.5470034,6.07979533424905,-2.0050000000000003,-0.27020466575095003,426.32299979199996,186.5208844152,0.0617035842000252,-0.979115584800013,4.061703584200025,6.22720884506052,-0.05249999999999999,-0.12279115493947934
