x,y_LE,y_RE
8.847881378862493262e-02,4.969279999999999973e+02,5.000000000000000000e+02
8.896585313058065492e-02,4.969150000000000205e+02,5.000000000000000000e+02
8.945289247253639109e-02,4.968770000000000095e+02,5.000000000000000000e+02
8.988581633205260102e-02,4.968629999999999995e+02,5.000000000000000000e+02
9.037285567400833719e-02,4.969030000000000200e+02,5.000000000000000000e+02
9.085989501596407336e-02,4.968770000000000095e+02,5.000000000000000000e+02
9.129281887548028329e-02,4.968000000000000114e+02,5.000000000000000000e+02
9.177985821743600559e-02,4.967760000000000105e+02,5.000000000000000000e+02
9.226689755939174176e-02,4.968020000000000209e+02,5.000000000000000000e+02
9.269982141890795169e-02,4.968260000000000218e+02,5.000000000000000000e+02
9.313274527842416162e-02,4.968389999999999986e+02,5.000000000000000000e+02
9.361978462037989779e-02,4.968389999999999986e+02,5.000000000000000000e+02
9.410682396233563396e-02,4.968260000000000218e+02,5.000000000000000000e+02
9.459386330429135625e-02,4.968519999999999754e+02,5.000000000000000000e+02
9.502678716380756618e-02,4.968770000000000095e+02,5.000000000000000000e+02
9.551382650576330235e-02,4.968650000000000091e+02,5.000000000000000000e+02
9.600086584771903853e-02,4.968509999999999991e+02,5.000000000000000000e+02
9.643378970723524846e-02,4.968380000000000223e+02,5.000000000000000000e+02
9.692082904919097075e-02,4.968899999999999864e+02,5.000000000000000000e+02
9.740786839114670692e-02,4.969150000000000205e+02,5.000000000000000000e+02
9.789490773310244309e-02,4.969150000000000205e+02,5.000000000000000000e+02
9.832783159261865302e-02,4.969150000000000205e+02,5.000000000000000000e+02
9.881487093457438919e-02,4.969039999999999964e+02,5.000000000000000000e+02
9.930191027653011149e-02,4.968650000000000091e+02,5.000000000000000000e+02
9.973483413604632142e-02,4.968389999999999986e+02,5.000000000000000000e+02
1.002218734780020576e-01,4.968639999999999759e+02,5.000000000000000000e+02
1.007089128199577938e-01,4.968639999999999759e+02,5.000000000000000000e+02
1.011959521619135299e-01,4.968389999999999986e+02,5.000000000000000000e+02
1.016288760214297260e-01,4.968770000000000095e+02,5.000000000000000000e+02
1.021159153633854622e-01,4.969150000000000205e+02,5.000000000000000000e+02
1.026029547053411983e-01,4.968509999999999991e+02,5.000000000000000000e+02
1.030899940472969345e-01,4.968260000000000218e+02,5.000000000000000000e+02
1.035229179068131444e-01,4.968140000000000214e+02,5.000000000000000000e+02
1.040099572487688667e-01,4.967880000000000109e+02,5.000000000000000000e+02
1.044969965907246168e-01,4.968129999999999882e+02,5.000000000000000000e+02
1.049299204502408267e-01,4.968269999999999982e+02,5.000000000000000000e+02
1.054169597921965490e-01,4.968020000000000209e+02,5.000000000000000000e+02
1.059039991341522852e-01,4.968149999999999977e+02,5.000000000000000000e+02
1.063910384761080213e-01,4.968399999999999750e+02,5.000000000000000000e+02
1.068239623356242174e-01,4.968919999999999959e+02,5.000000000000000000e+02
1.075274636073380724e-01,4.968650000000000091e+02,5.000000000000000000e+02
1.080145029492937947e-01,4.968269999999999982e+02,5.000000000000000000e+02
1.085015422912495170e-01,4.968399999999999750e+02,5.000000000000000000e+02
1.089344661507657269e-01,4.968389999999999986e+02,5.000000000000000000e+02
1.093673900102819369e-01,4.968389999999999986e+02,5.000000000000000000e+02
1.098544293522376730e-01,4.968519999999999754e+02,5.000000000000000000e+02
1.103414686941934231e-01,4.968650000000000091e+02,5.000000000000000000e+02
1.108285080361491454e-01,4.968650000000000091e+02,5.000000000000000000e+02
1.112614318956653553e-01,4.968269999999999982e+02,5.000000000000000000e+02
1.117484712376210776e-01,4.968269999999999982e+02,5.000000000000000000e+02
1.122355105795768138e-01,4.967760000000000105e+02,5.000000000000000000e+02
1.126684344390930237e-01,4.967769999999999868e+02,5.000000000000000000e+02
1.131554737810487737e-01,4.968029999999999973e+02,5.000000000000000000e+02
1.136425131230044960e-01,4.968159999999999741e+02,5.000000000000000000e+02
1.143460143947183372e-01,4.968279999999999745e+02,5.000000000000000000e+02
1.148330537366740595e-01,4.968410000000000082e+02,5.000000000000000000e+02
1.152659775961902694e-01,4.968159999999999741e+02,5.000000000000000000e+02
1.157530169381459917e-01,4.967769999999999868e+02,5.000000000000000000e+02
1.162400562801017417e-01,4.967509999999999764e+02,5.000000000000000000e+02
1.167270956220574779e-01,4.967769999999999868e+02,5.000000000000000000e+02
1.173764814113317928e-01,4.967640000000000100e+02,5.000000000000000000e+02
1.178635207532875151e-01,4.967889999999999873e+02,5.000000000000000000e+02
1.183505600952432374e-01,4.968410000000000082e+02,5.000000000000000000e+02
1.188375994371990013e-01,4.968550000000000182e+02,5.000000000000000000e+02
1.192705232967151974e-01,4.968290000000000077e+02,5.000000000000000000e+02
1.199740245684290385e-01,4.968159999999999741e+02,5.000000000000000000e+02
1.205151793928242870e-01,4.967909999999999968e+02,5.000000000000000000e+02
1.211645651820986019e-01,4.967529999999999859e+02,5.000000000000000000e+02
1.216516045240543520e-01,4.967529999999999859e+02,5.000000000000000000e+02
1.223551057957681792e-01,4.967649999999999864e+02,5.000000000000000000e+02
1.228421451377239015e-01,4.967640000000000100e+02,5.000000000000000000e+02
1.232750689972401115e-01,4.967780000000000200e+02,5.000000000000000000e+02
1.240326857513934650e-01,4.967529999999999859e+02,5.000000000000000000e+02
1.244656096109096749e-01,4.967149999999999750e+02,5.000000000000000000e+02
1.249526489528654249e-01,4.967019999999999982e+02,5.000000000000000000e+02
1.254396882948211611e-01,4.967280000000000086e+02,5.000000000000000000e+02
1.258726121543373710e-01,4.967400000000000091e+02,5.000000000000000000e+02
1.265761134260511844e-01,4.967540000000000191e+02,5.000000000000000000e+02
1.270631527680069206e-01,4.967799999999999727e+02,5.000000000000000000e+02
1.274960766275231305e-01,4.967919999999999732e+02,5.000000000000000000e+02
1.281995778992369994e-01,4.968310000000000173e+02,5.000000000000000000e+02
1.286866172411927078e-01,4.967799999999999727e+02,5.000000000000000000e+02
1.291736565831484440e-01,4.967280000000000086e+02,5.000000000000000000e+02
1.296606959251041802e-01,4.967669999999999959e+02,5.000000000000000000e+02
1.300936197846203901e-01,4.968039999999999736e+02,5.000000000000000000e+02
1.305806591265760985e-01,4.968170000000000073e+02,5.000000000000000000e+02
1.310676984685318625e-01,4.967789999999999964e+02,5.000000000000000000e+02
1.315006223280480724e-01,4.967909999999999968e+02,5.000000000000000000e+02
1.319876616700038086e-01,4.968299999999999841e+02,5.000000000000000000e+02
1.324747010119595170e-01,4.968170000000000073e+02,5.000000000000000000e+02
1.329617403539152531e-01,4.967669999999999959e+02,5.000000000000000000e+02
1.333946642134314631e-01,4.967429999999999950e+02,5.000000000000000000e+02
1.340981654851453042e-01,4.967420000000000186e+02,5.000000000000000000e+02
1.345852048271010404e-01,4.967919999999999732e+02,5.000000000000000000e+02
1.350722441690567766e-01,4.967799999999999727e+02,5.000000000000000000e+02
1.355592835110124850e-01,4.967679999999999723e+02,5.000000000000000000e+02
1.359922073705286949e-01,4.967540000000000191e+02,5.000000000000000000e+02
1.364792467124844311e-01,4.967669999999999959e+02,5.000000000000000000e+02
1.371827479841983000e-01,4.967909999999999968e+02,5.000000000000000000e+02
1.376697873261540084e-01,4.966770000000000209e+02,5.000000000000000000e+02
1.381568266681097445e-01,4.966890000000000214e+02,5.000000000000000000e+02
1.385897505276259545e-01,4.967409999999999854e+02,5.000000000000000000e+02
1.390767898695816907e-01,4.967540000000000191e+02,5.000000000000000000e+02
1.397802911412955318e-01,4.967540000000000191e+02,5.000000000000000000e+02
1.402673304832512680e-01,4.967289999999999850e+02,5.000000000000000000e+02
1.409708317549651091e-01,4.967799999999999727e+02,5.000000000000000000e+02
1.414578710969208175e-01,4.967409999999999854e+02,5.000000000000000000e+02
1.418366794739975012e-01,4.967160000000000082e+02,5.000000000000000000e+02
1.425401807457113423e-01,4.967040000000000077e+02,5.000000000000000000e+02
1.430272200876670785e-01,4.967289999999999850e+02,5.000000000000000000e+02
1.435142594296228147e-01,4.967669999999999959e+02,5.000000000000000000e+02
1.440012987715785509e-01,4.967420000000000186e+02,5.000000000000000000e+02
1.444342226310947608e-01,4.967280000000000086e+02,5.000000000000000000e+02
1.451918393852481004e-01,4.967529999999999859e+02,5.000000000000000000e+02
1.456247632447643103e-01,4.967540000000000191e+02,5.000000000000000000e+02
1.461118025867200743e-01,4.967160000000000082e+02,5.000000000000000000e+02
1.468153038584339154e-01,4.966899999999999977e+02,5.000000000000000000e+02
1.473023432003896238e-01,4.967549999999999955e+02,5.000000000000000000e+02
1.477893825423453600e-01,4.967549999999999955e+02,5.000000000000000000e+02
1.482223064018615699e-01,4.967810000000000059e+02,5.000000000000000000e+02
1.489258076735754110e-01,4.968070000000000164e+02,5.000000000000000000e+02
1.494128470155311472e-01,4.967549999999999955e+02,5.000000000000000000e+02
1.498457708750473572e-01,4.967420000000000186e+02,5.000000000000000000e+02
1.503869256994426196e-01,4.967409999999999854e+02,5.000000000000000000e+02
1.510363114887169345e-01,4.967420000000000186e+02,5.000000000000000000e+02
1.515233508306726429e-01,4.967409999999999854e+02,5.000000000000000000e+02
1.522268521023865118e-01,4.967799999999999727e+02,5.000000000000000000e+02
1.527138914443422202e-01,4.968050000000000068e+02,5.000000000000000000e+02
1.532009307862979564e-01,4.967919999999999732e+02,5.000000000000000000e+02
1.539044320580117975e-01,4.968310000000000173e+02,5.000000000000000000e+02
1.543373559175280074e-01,4.967549999999999955e+02,5.000000000000000000e+02
1.548243952594837436e-01,4.967549999999999955e+02,5.000000000000000000e+02
1.555820120136371110e-01,4.967810000000000059e+02,5.000000000000000000e+02
1.560149358731533209e-01,4.968330000000000268e+02,5.000000000000000000e+02
1.565019752151090293e-01,4.968070000000000164e+02,5.000000000000000000e+02
1.571513610043833442e-01,4.967939999999999827e+02,5.000000000000000000e+02
1.576384003463390804e-01,4.968700000000000045e+02,5.000000000000000000e+02
1.583960171004924478e-01,4.968319999999999936e+02,5.000000000000000000e+02
1.588289409600086577e-01,4.968439999999999941e+02,5.000000000000000000e+02
1.595324422317224988e-01,4.968059999999999832e+02,5.000000000000000000e+02
1.600194815736782350e-01,4.968690000000000282e+02,5.000000000000000000e+02
1.604524054331944449e-01,4.969080000000000155e+02,5.000000000000000000e+02
1.612100221873478123e-01,4.968949999999999818e+02,5.000000000000000000e+02
1.616970615293035485e-01,4.968960000000000150e+02,5.000000000000000000e+02
1.621299853888197584e-01,4.968960000000000150e+02,5.000000000000000000e+02
1.627793711780940455e-01,4.969100000000000250e+02,5.000000000000000000e+02
1.633205260024893080e-01,4.968340000000000032e+02,5.000000000000000000e+02
1.637534498620055179e-01,4.968460000000000036e+02,5.000000000000000000e+02
1.645110666161588853e-01,4.968709999999999809e+02,5.000000000000000000e+02
1.649439904756750952e-01,4.968709999999999809e+02,5.000000000000000000e+02
1.654310298176308314e-01,4.968829999999999814e+02,5.000000000000000000e+02
1.659180691595865398e-01,4.968690000000000282e+02,5.000000000000000000e+02
1.663509930191027497e-01,4.968580000000000041e+02,5.000000000000000000e+02
1.670544942908166186e-01,4.968450000000000273e+02,5.000000000000000000e+02
1.677579955625304597e-01,4.968330000000000268e+02,5.000000000000000000e+02
1.681909194220466697e-01,4.968340000000000032e+02,5.000000000000000000e+02
1.689485361762000093e-01,4.968079999999999927e+02,5.000000000000000000e+02
1.694355755181557455e-01,4.968600000000000136e+02,5.000000000000000000e+02
1.701390767898695866e-01,4.968340000000000032e+02,5.000000000000000000e+02
1.706261161318253228e-01,4.968969999999999914e+02,5.000000000000000000e+02
1.712755019210996377e-01,4.969100000000000250e+02,5.000000000000000000e+02
1.717625412630553738e-01,4.968840000000000146e+02,5.000000000000000000e+02
1.724660425347691872e-01,4.968460000000000036e+02,5.000000000000000000e+02
1.728989663942853972e-01,4.968330000000000268e+02,5.000000000000000000e+02
1.736565831484387645e-01,4.968450000000000273e+02,5.000000000000000000e+02
1.741436224903945007e-01,4.968199999999999932e+02,5.000000000000000000e+02
1.745765463499107106e-01,4.968720000000000141e+02,5.000000000000000000e+02
1.752800476216245518e-01,4.968340000000000032e+02,5.000000000000000000e+02
1.757670869635802879e-01,4.968589999999999804e+02,5.000000000000000000e+02
1.764705882352941291e-01,4.968709999999999809e+02,5.000000000000000000e+02
1.769576275772498652e-01,4.968469999999999800e+02,5.000000000000000000e+02
1.776070133665241801e-01,4.968469999999999800e+02,5.000000000000000000e+02
