TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights,TapeEdgeLeft_b,TapeEdgeRight_b,TapeWidth,TapeCenterLine,Var1_c,Var2_c,Var3_c,Var4_c,Var5_c,Var6_c,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1,Var1_d,Var2_d,Var3_d,Var4_d,Var5_d,Var6_d,TapeEdgeLeft_d,TapeEdgeRight_d,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
2.479999999999999982e-01,8.300000000000000000e+02,1.076902716700000084e+01,2.490783562681999967e+02,-4.246681979997159878e-02,-9.216437318000599843e-01,1.179911429999999939e+02,5.899557149999989925e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.580000000000000071e-01,8.310000000000000000e+02,1.194893859699999972e+01,2.490784834261999947e+02,-7.820502079997279643e-02,-9.215165738000340445e-01,1.202472826000019950e+02,6.012364130000089624e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.600000000000000089e-01,nan,1.223705422780500029e+01,nan,nan,nan,nan,6.044865184536919456e-01,3.409148399999999857e+00,-2.771924400000000066e+00,6.181072799999999923e+00,3.186120000000000063e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.680000000000000160e-01,8.320000000000000000e+02,1.315141142300000077e+01,2.490869454172000133e+02,-1.039675437999830060e-01,-9.130545827999869690e-01,1.229601958000040014e+02,6.148009790000179553e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.760000000000000231e-01,nan,1.421452848846240080e+01,nan,nan,nan,nan,6.248959831349270022e-01,3.425079000000000207e+00,-2.771924400000000066e+00,6.197003399999999829e+00,3.265773000000000148e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.780000000000000249e-01,8.330000000000000000e+02,1.438101338100010018e+01,2.491290046272000041e+02,-1.308425717999689986e-01,-8.709953728002519657e-01,1.252953735999959974e+02,6.264768679999790368e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.879999999999999782e-01,8.340000000000000000e+02,1.563396711699999919e+01,2.491304563681999866e+02,-1.215689048000130057e-01,-8.695436317999849507e-01,1.275107181999990047e+02,6.375535909999969775e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.919999999999999818e-01,nan,1.625813541405580054e+01,nan,nan,nan,nan,6.506719496965880367e-01,3.393217799999999951e+00,-2.724132599999999904e+00,6.117350400000000299e+00,3.345426000000000233e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.979999999999999871e-01,8.350000000000000000e+02,1.690907429900000025e+01,2.490772024341999895e+02,-7.809708280000560165e-02,-9.227975658001530412e-01,1.328705910000049926e+02,6.643529550000230044e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.079999999999999960e-01,8.360000000000000000e+02,1.823778020900009977e+01,2.490500600212000109e+02,-3.070543479997999911e-02,-9.499399788002450551e-01,1.360346667999930048e+02,6.801733339999670447e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
