x,Weights,y,Weights
2.240807189909999977e+02,1.004431865999990015e+00,-8.641277938000370140e-01,1.004431865999990015e+00
2.260895827230000066e+02,1.004901887999980037e+00,-8.746266868000129868e-01,1.004901887999980037e+00
2.280993864989999906e+02,1.000895929000040097e+00,-8.840490447998380352e-01,1.000895929000040097e+00
2.301011783570000091e+02,1.002563152000010005e+00,-8.759421078000859673e-01,1.002563152000010005e+00
2.321063046609999958e+02,9.956884189999900547e-01,-8.736120458001439548e-01,9.956884189999900547e-01
2.340976814990000037e+02,1.003476805999969912e+00,-8.760699138001090125e-01,1.003476805999969912e+00
2.361046351109999932e+02,9.932369080000289507e-01,-8.706554458000259622e-01,9.932369080000289507e-01
2.380911089269999934e+02,1.004504123000000027e+00,-8.574062297999489601e-01,1.004504123000000027e+00
2.401001171730000010e+02,9.959172989999699466e-01,-8.528902438001180197e-01,9.959172989999699466e-01
2.420919517709999980e+02,1.006628329000009980e+00,-8.633632797998980202e-01,1.006628329000009980e+00
2.441052084289999868e+02,1.003233998999990106e+00,-8.806298087999380186e-01,1.003233998999990106e+00
2.461116764269999919e+02,9.956608080000389771e-01,-8.842541237999059778e-01,9.956608080000389771e-01
2.481029980430000137e+02,1.001837082999980089e+00,-8.857418478000910200e-01,1.001837082999980089e+00
2.501066722090000098e+02,9.998688339999830532e-01,-8.755171207999410399e-01,9.998688339999830532e-01
2.521064098770000044e+02,1.001151976000020039e+00,-8.665187577999520219e-01,1.001151976000020039e+00
2.541087138290000098e+02,9.943630730000170281e-01,-8.673830208002190068e-01,9.943630730000170281e-01
2.560974399749999861e+02,1.006344226999970060e+00,-8.760409018000250292e-01,1.006344226999970060e+00
2.581101284289999853e+02,1.000410980999989929e+00,-8.833519747998930249e-01,1.000410980999989929e+00
2.601109503910000171e+02,9.990274160000179871e-01,-8.933437718001759897e-01,9.990274160000179871e-01
2.621090052229999969e+02,9.954348140000489620e-01,-9.075000377998210244e-01,9.954348140000489620e-01
2.640998748509999814e+02,1.001424502999979982e+00,-9.010643218002769572e-01,1.001424502999979982e+00
2.661027238570000009e+02,1.001323968999970004e+00,-8.939269778002200129e-01,1.001323968999970004e+00
2.681053717949999964e+02,1.007313990999989972e+00,-9.008132007998600477e-01,1.007313990999989972e+00
2.701199997769999754e+02,1.008028152000010058e+00,-9.070083798000040387e-01,1.008028152000010058e+00
2.721360560809999924e+02,1.010466756000029998e+00,-9.031305767998669687e-01,1.010466756000029998e+00
2.741569895929999916e+02,9.985261200000079551e-01,-8.969604588001519607e-01,9.985261200000079551e-01
2.761540418330000080e+02,9.973725659999670423e-01,-9.111066917999439685e-01,9.973725659999670423e-01
2.781487869649999993e+02,1.004076638000019894e+00,-9.023827397999749644e-01,1.004076638000019894e+00
2.801569402409999725e+02,9.987124840000090042e-01,-8.828912338001939641e-01,9.987124840000090042e-01
2.821543652089999910e+02,1.004517363000019925e+00,-8.860195877999219594e-01,1.004517363000019925e+00
2.841633999349999726e+02,9.989851219999930088e-01,-8.995135848001040157e-01,9.989851219999930088e-01
2.861613701790000164e+02,9.991553389999979773e-01,-8.946438597999990527e-01,9.991553389999979773e-01
2.881596808570000121e+02,1.000380483999979919e+00,-8.957396468002799539e-01,1.000380483999979919e+00
2.901604418250000208e+02,1.008241127999979891e+00,-9.046695717998429753e-01,1.008241127999979891e+00
2.921769240809999815e+02,1.004019306999990091e+00,-8.907122817999489905e-01,1.004019306999990091e+00
2.941849626950000243e+02,1.000837488000029918e+00,-8.692134558002639899e-01,1.000837488000029918e+00
2.961866376710000281e+02,9.905821090000019868e-01,-8.590639188000750437e-01,9.905821090000019868e-01
2.981678018889999748e+02,9.964871889999930010e-01,-8.580841928001059493e-01,9.964871889999930010e-01
3.001607762670000170e+02,1.003590024999990060e+00,-8.534359588000479668e-01,1.003590024999990060e+00
3.021679563170000051e+02,9.964596889999769447e-01,-8.519902667998739965e-01,9.964596889999769447e-01
3.041608756950000156e+02,1.002451709000069968e+00,-8.463754168000720002e-01,1.002451709000069968e+00
3.061657791129999850e+02,9.963330979999509562e-01,-8.401330268002310531e-01,9.963330979999509562e-01
3.081584453090000011e+02,1.003976749000000002e+00,-8.476209917998860366e-01,1.003976749000000002e+00
3.101663988070000073e+02,9.946785600000109806e-01,-8.772593228001139831e-01,9.946785600000109806e-01
3.121557559269999729e+02,1.006560422000009947e+00,-8.969627557999619860e-01,1.006560422000009947e+00
3.141688767709999865e+02,9.975451139999620409e-01,-8.942966538000409749e-01,9.975451139999620409e-01
3.161639669990000243e+02,9.941639130000230473e-01,-8.916123017999100231e-01,9.941639130000230473e-01
3.181522948250000127e+02,1.004260649999989985e+00,-8.932921908001389966e-01,1.004260649999989985e+00
3.201608161249999966e+02,9.949901829999989733e-01,-8.977938197998009962e-01,9.949901829999989733e-01
3.221507964909999941e+02,1.000708343999999972e+00,-8.933342228001489582e-01,1.000708343999999972e+00
3.241522131790000003e+02,9.912958259999979926e-01,-8.962063567999509761e-01,9.912958259999979926e-01
3.261348048309999967e+02,1.006016166000019973e+00,-8.851395368002390462e-01,1.006016166000019973e+00
3.281468371629999865e+02,1.009467049999980048e+00,-8.634162428000989875e-01,1.009467049999980048e+00
3.301657712630000105e+02,9.998247430000050118e-01,-8.573177868000240176e-01,9.998247430000050118e-01
3.321654207490000204e+02,9.979591370000090444e-01,-8.643220868001439960e-01,9.979591370000090444e-01
3.341613390229999823e+02,1.001182473000000073e+00,-8.585962157998210387e-01,1.001182473000000073e+00
3.361637039689999824e+02,1.005059509999999934e+00,-8.605223507998399635e-01,1.005059509999999934e+00
3.381738229889999729e+02,1.001137382999990111e+00,-8.930065078001799828e-01,1.001137382999990111e+00
