width_LLS_A,Weights
6.099000000000000199e+00,9.956319113217060313e-01
6.168000000000000149e+00,9.991628133857830552e-01
6.166000000000000369e+00,1.001893630410660041e+00
6.192000000000000171e+00,1.010041084570030057e+00
6.110999999999999766e+00,1.005214208350299954e+00
6.219999999999999751e+00,1.003617981163630102e+00
6.144000000000000128e+00,9.965931287082420154e-01
6.253000000000000114e+00,1.000795567450520007e+00
6.155999999999999694e+00,1.008888294706649980e+00
6.105000000000000426e+00,1.002695475406280012e+00
6.129999999999999893e+00,9.948954822500759576e-01
6.168000000000000149e+00,9.959101102063599997e-01
6.120000000000000107e+00,1.010769183671460070e+00
6.129999999999999893e+00,1.000428141576009899e+00
6.065000000000000391e+00,9.969420325336899591e-01
6.166999999999999815e+00,9.941477067812759527e-01
6.155000000000000249e+00,1.004127551358350079e+00
6.131999999999999673e+00,1.003435016828220006e+00
6.142000000000000348e+00,1.003308716221579910e+00
6.131999999999999673e+00,9.921781378889360514e-01
6.126000000000000334e+00,9.949215376062710003e-01
6.206999999999999851e+00,1.002605257020229956e+00
6.182000000000000384e+00,1.003242408614740011e+00
6.214999999999999858e+00,9.959830198534209700e-01
6.206000000000000405e+00,9.991054729941759582e-01
6.150000000000000355e+00,1.000750888359180024e+00
6.203999999999999737e+00,1.008240021320689905e+00
6.168999999999999595e+00,9.993485302529829806e-01
6.118000000000000327e+00,9.974718948057850199e-01
6.166999999999999815e+00,9.946305042078089631e-01
6.230999999999999872e+00,9.916010634735330509e-01
6.181000000000000050e+00,1.000362860032349976e+00
6.256000000000000227e+00,1.000788793777610097e+00
6.216000000000000192e+00,1.001867517163490096e+00
6.168000000000000149e+00,9.974002751719970306e-01
6.155000000000000249e+00,9.940064373823730426e-01
6.112000000000000099e+00,1.008766980016869930e+00
6.088000000000000078e+00,1.001067888186699895e+00
6.133000000000000007e+00,1.002211866305819932e+00
6.078999999999999737e+00,9.964979153308149984e-01
6.102999999999999758e+00,9.951844438784770430e-01
6.115000000000000213e+00,1.001966257888569967e+00
6.195999999999999730e+00,1.005005815319740092e+00
6.214999999999999858e+00,1.008499125822829967e+00
6.291999999999999815e+00,9.975465819659760092e-01
6.246999999999999886e+00,9.910759143682079664e-01
6.245000000000000107e+00,9.995253603719369551e-01
6.272000000000000242e+00,1.001235143399390015e+00
6.258000000000000007e+00,9.972602525566549581e-01
6.208000000000000185e+00,9.992164474926650275e-01
6.208000000000000185e+00,9.986468705626360132e-01
6.142999999999999794e+00,1.005508933830719931e+00
6.142999999999999794e+00,1.003539241007040062e+00
6.160000000000000142e+00,9.985457722377499845e-01
6.067000000000000171e+00,9.972309408306819778e-01
6.068999999999999950e+00,1.003636490445110052e+00
6.054000000000000270e+00,1.001359030037459963e+00
6.115999999999999659e+00,9.977483958896109506e-01
6.157000000000000028e+00,9.872084606998789980e-01
6.043999999999999595e+00,9.954640420976450521e-01
6.067000000000000171e+00,9.999225835972970211e-01
6.041000000000000369e+00,1.000578304805650021e+00
6.025999999999999801e+00,1.000589804205280098e+00
6.165000000000000036e+00,9.925185316922979784e-01
6.171000000000000263e+00,9.994833712491839606e-01
6.158000000000000362e+00,1.005043316087000038e+00
6.105999999999999872e+00,9.964660181958919782e-01
6.092999999999999972e+00,9.953973500261450447e-01
6.155999999999999694e+00,9.960104616781030318e-01
6.169999999999999929e+00,9.993691182549030438e-01
6.105999999999999872e+00,1.001718791337109948e+00
6.092999999999999972e+00,1.001460320756019984e+00
6.118999999999999773e+00,9.967578239006049667e-01
6.091000000000000192e+00,1.002625468312519974e+00
6.142000000000000348e+00,1.002131966105429983e+00
6.232999999999999652e+00,9.974375622196209878e-01
6.208000000000000185e+00,9.970182152358230132e-01
6.203999999999999737e+00,1.000935984794030009e+00
6.104000000000000092e+00,1.004187435587710064e+00
6.208999999999999631e+00,9.985092186522289692e-01
6.224000000000000199e+00,9.962257554090589995e-01
6.291999999999999815e+00,9.970293808433290383e-01
6.219000000000000306e+00,1.001863465224329897e+00
6.222999999999999865e+00,1.003582788528289971e+00
6.246000000000000441e+00,9.991498210370439725e-01
6.155999999999999694e+00,9.989894774850169856e-01
6.168999999999999595e+00,9.993460212270119936e-01
6.094000000000000306e+00,1.004226213120879896e+00
6.105999999999999872e+00,1.003972934080590074e+00
6.168999999999999595e+00,9.938866605440690449e-01
6.182999999999999829e+00,9.932358304520100267e-01
6.169999999999999929e+00,1.010182121123200050e+00
6.131000000000000227e+00,1.005757525106619976e+00
6.179000000000000270e+00,9.997150879349729902e-01
6.179999999999999716e+00,1.001174207610040057e+00
6.232000000000000206e+00,1.000287058515900052e+00
6.192999999999999616e+00,9.987494228502059590e-01
6.195000000000000284e+00,1.006286022059839969e+00
6.182000000000000384e+00,1.001803604963900085e+00
6.062999999999999723e+00,9.987260114990990090e-01
6.115000000000000213e+00,1.006689075766429964e+00
6.107999999999999652e+00,1.003551130343190101e+00
6.083000000000000185e+00,1.000902191283340015e+00
6.182000000000000384e+00,1.000770938586710068e+00
6.147000000000000242e+00,1.005633475265989896e+00
6.120000000000000107e+00,9.999904314147910478e-01
6.184000000000000163e+00,1.001544218469089920e+00
6.107000000000000206e+00,9.944330832606980142e-01
6.145999999999999908e+00,9.936484965303700179e-01
6.107000000000000206e+00,1.006136600186519958e+00
6.118000000000000327e+00,1.006098436831510012e+00
6.116999999999999993e+00,9.959798316111879712e-01
6.169999999999999929e+00,1.002852331010529952e+00
6.142999999999999794e+00,1.005696496732340073e+00
6.118000000000000327e+00,9.932014238621850177e-01
6.004999999999999893e+00,1.003958452796710032e+00
6.184999999999999609e+00,9.972430147989890248e-01
6.174000000000000377e+00,9.912823426910060132e-01
6.195000000000000284e+00,9.945700268459950477e-01
6.120000000000000107e+00,9.981575475721460311e-01
6.133000000000000007e+00,9.999490183733690252e-01
6.121000000000000441e+00,9.943893398083599733e-01
6.157000000000000028e+00,1.001795663450669949e+00
6.169999999999999929e+00,1.003909830173810080e+00
6.179999999999999716e+00,1.003429458959520071e+00
6.091999999999999638e+00,9.998750877703540541e-01
6.182000000000000384e+00,9.982107344389899994e-01
6.144999999999999574e+00,9.953954016026780316e-01
6.096000000000000085e+00,9.946622688991529904e-01
6.133000000000000007e+00,1.004379262343439994e+00
6.115999999999999659e+00,1.001658621349990064e+00
6.129999999999999893e+00,1.001410841328260082e+00
6.195999999999999730e+00,1.004486924307520068e+00
6.158999999999999808e+00,1.000975595765549953e+00
6.206999999999999851e+00,1.002492829888850023e+00
6.203999999999999737e+00,1.004202496002660094e+00
6.113999999999999879e+00,1.004535450706929955e+00
6.230999999999999872e+00,9.945196597325389742e-01
6.173000000000000043e+00,1.001245767362229921e+00
6.171999999999999709e+00,1.001517749031380022e+00
6.120000000000000107e+00,9.875255525617929742e-01
6.157000000000000028e+00,9.496701145330139759e-01
6.248000000000000220e+00,9.119674644714299561e-01
6.282000000000000028e+00,8.796885929408390092e-01
6.253999999999999559e+00,8.205270894793840197e-01
6.269999999999999574e+00,7.674295687615390049e-01
6.245000000000000107e+00,7.104423175933619605e-01
6.169999999999999929e+00,6.573975916047269941e-01
6.118000000000000327e+00,5.875712008911939677e-01
6.092999999999999972e+00,5.208677776720209707e-01
6.108999999999999986e+00,4.550059655802060066e-01
6.096000000000000085e+00,3.367411400458170112e-01
6.108999999999999986e+00,2.196355296422400072e-01
