x_LE,y_LE,x_RE,y_RE
6.333739342265529149e-02,4.093170000000000073e+02,6.263002299353991054e-02,4.155889999999999986e+02
6.378031225777874846e-02,4.088600000000000136e+02,6.312274170590168043e-02,4.156019999999999754e+02
6.427859594729265491e-02,4.092529999999999859e+02,6.356071389466769195e-02,4.155899999999999750e+02
6.472151478241611189e-02,4.092909999999999968e+02,6.405343260702946184e-02,4.156030000000000086e+02
6.527516332632045393e-02,4.093050000000000068e+02,6.454615131939123174e-02,4.156259999999999764e+02
6.577344701583433262e-02,4.093170000000000073e+02,6.503887003175298775e-02,4.156650000000000205e+02
6.621636585095780347e-02,4.093310000000000173e+02,6.547684222051899927e-02,4.156259999999999764e+02
6.665928468608126045e-02,4.092909999999999968e+02,6.596956093288076917e-02,4.155749999999999886e+02
6.721293322998560249e-02,4.092919999999999732e+02,6.646227964524253906e-02,4.156139999999999759e+02
6.765585206510905947e-02,4.092930000000000064e+02,6.690025183400855058e-02,4.156399999999999864e+02
6.809877090023253032e-02,4.092919999999999732e+02,6.739297054637032047e-02,4.156259999999999764e+02
6.859705458974642289e-02,4.092799999999999727e+02,6.788568925873207649e-02,4.156390000000000100e+02
6.909533827926031546e-02,4.092660000000000196e+02,6.837840797109384638e-02,4.156510000000000105e+02
6.953825711438378632e-02,4.092789999999999964e+02,6.881638015985984402e-02,4.156899999999999977e+02
7.009190565828811448e-02,4.092789999999999964e+02,6.925435234862586942e-02,4.156909999999999741e+02
7.053482449341157146e-02,4.093039999999999736e+02,6.980181758458338381e-02,4.156779999999999973e+02
7.097774332853504231e-02,4.093159999999999741e+02,7.023978977334939533e-02,4.156519999999999868e+02
7.153139187243937047e-02,4.093299999999999841e+02,7.067776196211540685e-02,4.155760000000000218e+02
7.197431070756284133e-02,4.093299999999999841e+02,7.144421329245592700e-02,4.155760000000000218e+02
7.247259439707672002e-02,4.093430000000000177e+02,7.188218548122195239e-02,4.156139999999999759e+02
7.297087808659062647e-02,4.093559999999999945e+02,7.237490419358372229e-02,4.155769999999999982e+02
7.346916177610451903e-02,4.093419999999999845e+02,7.286762290594547831e-02,4.156009999999999991e+02
7.391208061122798989e-02,4.092909999999999968e+02,7.330559509471148982e-02,4.156279999999999859e+02
7.441036430074188246e-02,4.093179999999999836e+02,7.379831380707325972e-02,4.156519999999999868e+02
7.490864799025577503e-02,4.093430000000000177e+02,7.423628599583927123e-02,4.156519999999999868e+02
7.535156682537924588e-02,4.093430000000000177e+02,7.472900470820104113e-02,4.156270000000000095e+02
7.584985051489313845e-02,4.093159999999999741e+02,7.522172342056281102e-02,4.156170000000000186e+02
7.629276935001659543e-02,4.093170000000000073e+02,7.565969560932880866e-02,4.155919999999999845e+02
7.679105303953050188e-02,4.093050000000000068e+02,7.620716084528632306e-02,4.156170000000000186e+02
7.728933672904439445e-02,4.093050000000000068e+02,7.664513303405233458e-02,4.156549999999999727e+02
