TapeWidth1,Weights
6.017999999999999794e+00,7.785211307262219771e-01
6.027000000000000135e+00,8.390024840460079680e-01
6.017000000000000348e+00,9.025642355591260158e-01
5.990999999999999659e+00,9.083552863098389718e-01
6.003999999999999559e+00,9.264397517499900481e-01
6.041999999999999815e+00,9.435022546415070543e-01
6.041999999999999815e+00,9.312147430134239956e-01
6.001999999999999780e+00,9.212796826624309876e-01
6.027000000000000135e+00,9.199369415542180128e-01
6.040000000000000036e+00,9.188659189568509911e-01
5.977999999999999758e+00,8.917919698899979819e-01
6.040000000000000036e+00,8.619493336273610362e-01
6.038000000000000256e+00,8.430147915986430096e-01
6.038000000000000256e+00,8.347467919960519511e-01
6.027000000000000135e+00,8.037551920666460292e-01
6.030000000000000249e+00,7.869724616964529629e-01
6.043000000000000149e+00,7.902981357518470418e-01
6.043000000000000149e+00,8.050602852791579611e-01
6.030000000000000249e+00,8.360552412447239679e-01
6.041000000000000369e+00,8.425041469516969528e-01
6.051999999999999602e+00,8.594604171199849985e-01
6.016000000000000014e+00,8.836755378169549591e-01
6.001000000000000334e+00,9.050933622539449885e-01
6.000000000000000000e+00,9.251359818070580276e-01
