x_LE,y_LE,x_RE,y_RE
5.792567822663287347e-02,3.219449999999999932e+02,6.009923621564364216e-02,3.282139999999999986e+02
5.846502346151772472e-02,3.219309999999999832e+02,6.060099236215642921e-02,3.282029999999999745e+02
5.889649964942560156e-02,3.219320000000000164e+02,6.104699782572335642e-02,3.281890000000000214e+02
5.938191036082195867e-02,3.219569999999999936e+02,6.154875397223615735e-02,3.281510000000000105e+02
5.981338654872984245e-02,3.219440000000000168e+02,6.205051011874895134e-02,3.281499999999999773e+02
6.024486273663771929e-02,3.219569999999999936e+02,6.255226626526175226e-02,3.281739999999999782e+02
6.073027344803408334e-02,3.219830000000000041e+02,6.299827172882867254e-02,3.281399999999999864e+02
6.121568415943045433e-02,3.219700000000000273e+02,6.350002787534146653e-02,3.281519999999999868e+02
6.170109487082681143e-02,3.219449999999999932e+02,6.394603333890840069e-02,3.281789999999999736e+02
6.213257105873469521e-02,3.219470000000000027e+02,6.444778948542118080e-02,3.282029999999999745e+02
6.261798177013105926e-02,3.219460000000000264e+02,6.494954563193398867e-02,3.281909999999999741e+02
6.310339248152742331e-02,3.219590000000000032e+02,6.539555109550092282e-02,3.281800000000000068e+02
6.353486866943530709e-02,3.219460000000000264e+02,6.589730724201370293e-02,3.281669999999999732e+02
6.402027938083167113e-02,3.219470000000000027e+02,6.639906338852651080e-02,3.281800000000000068e+02
6.450569009222803518e-02,3.219460000000000264e+02,6.690081953503929091e-02,3.281789999999999736e+02
6.499110080362439923e-02,3.219580000000000268e+02,6.734682499860622507e-02,3.281920000000000073e+02
6.542257699153228301e-02,3.219580000000000268e+02,6.784858114511903293e-02,3.282019999999999982e+02
6.590798770292864706e-02,3.219580000000000268e+02,6.835033729163181304e-02,3.281759999999999877e+02
6.639339841432501110e-02,3.218820000000000050e+02,6.885209343814462091e-02,3.282010000000000218e+02
6.687880912572137515e-02,3.218679999999999950e+02,6.929809890171154119e-02,3.281999999999999886e+02
6.731028531362925893e-02,3.218820000000000050e+02,6.974410436527846147e-02,3.281759999999999877e+02
6.779569602502560910e-02,3.218940000000000055e+02,7.030161119473712916e-02,3.281499999999999773e+02
6.828110673642198702e-02,3.219069999999999823e+02,7.074761665830404944e-02,3.281150000000000091e+02
6.876651744781835107e-02,3.218940000000000055e+02,7.124937280481685731e-02,3.281399999999999864e+02
6.919799363572622097e-02,3.219590000000000032e+02,7.169537826838377759e-02,3.281430000000000291e+02
6.968340434712259890e-02,3.219970000000000141e+02,7.219713441489657157e-02,3.281320000000000050e+02
7.016881505851894907e-02,3.219850000000000136e+02,7.269889056140937944e-02,3.281569999999999823e+02
7.060029124642683285e-02,3.219460000000000264e+02,7.320064670792215955e-02,3.281820000000000164e+02
7.108570195782321077e-02,3.219209999999999923e+02,7.364665217148909371e-02,3.282080000000000268e+02
7.157111266921956094e-02,3.219200000000000159e+02,7.414840831800188770e-02,3.282200000000000273e+02
7.205652338061593887e-02,3.219460000000000264e+02,7.465016446451468168e-02,3.281820000000000164e+02
7.248799956852382265e-02,3.219340000000000259e+02,7.515192061102748955e-02,3.281549999999999727e+02
7.297341027992017282e-02,3.219209999999999923e+02,7.559792607459440983e-02,3.281539999999999964e+02
7.340488646782805660e-02,3.219340000000000259e+02,7.609968222110720382e-02,3.281650000000000205e+02
7.389029717922443452e-02,3.219329999999999927e+02,7.654568768467413797e-02,3.281650000000000205e+02
7.437570789062078469e-02,3.219080000000000155e+02,7.704744383118691808e-02,3.281659999999999968e+02
7.486111860201714874e-02,3.218949999999999818e+02,7.754919997769972595e-02,3.281770000000000209e+02
7.529259478992503252e-02,3.218940000000000055e+02,7.799520544126664623e-02,3.281789999999999736e+02
7.577800550132139656e-02,3.219200000000000159e+02,7.855271227072531393e-02,3.281800000000000068e+02
7.626341621271776061e-02,3.219470000000000027e+02,7.899871773429224808e-02,3.281560000000000059e+02
7.669489240062563051e-02,3.219470000000000027e+02,7.950047388080502819e-02,3.281220000000000141e+02
7.718030311202200844e-02,3.219599999999999795e+02,7.994647934437196235e-02,3.281229999999999905e+02
7.766571382341837249e-02,3.219979999999999905e+02,8.044823549088475634e-02,3.281349999999999909e+02
7.809719001132624239e-02,3.220110000000000241e+02,8.094999163739755033e-02,3.281469999999999914e+02
7.858260072272262031e-02,3.219850000000000136e+02,8.145174778391034431e-02,3.281229999999999905e+02
7.901407691063050409e-02,3.219460000000000264e+02,8.189775324747727847e-02,3.281469999999999914e+02
7.955342214551534841e-02,3.219460000000000264e+02,8.239950939399007246e-02,3.281970000000000027e+02
7.998489833342323219e-02,3.219449999999999932e+02,8.284551485755699274e-02,3.282200000000000273e+02
8.041637452133111597e-02,3.219209999999999923e+02,8.340302168701566043e-02,3.282309999999999945e+02
8.095571975621594640e-02,3.218949999999999818e+02,8.384902715058259459e-02,3.282189999999999941e+02
8.144113046761232433e-02,3.218940000000000055e+02,8.435078329709537470e-02,3.281669999999999732e+02
8.187260665552019423e-02,3.219200000000000159e+02,8.479678876066230886e-02,3.281560000000000059e+02
8.230408284342807801e-02,3.219719999999999800e+02,8.529854490717510285e-02,3.281689999999999827e+02
8.278949355482444206e-02,3.219599999999999795e+02,8.580030105368789684e-02,3.281820000000000164e+02
8.327490426622080610e-02,3.219479999999999791e+02,8.624630651725483099e-02,3.281829999999999927e+02
8.376031497761717015e-02,3.219470000000000027e+02,8.680381334671348481e-02,3.281610000000000014e+02
8.419179116552505393e-02,3.219610000000000127e+02,8.724981881028041897e-02,3.281870000000000118e+02
8.467720187692141798e-02,3.219610000000000127e+02,8.769582427384733925e-02,3.282130000000000223e+02
8.516261258831778203e-02,3.219470000000000027e+02,8.825333110330600694e-02,3.281750000000000114e+02
8.559408877622566580e-02,3.219089999999999918e+02,8.869933656687294110e-02,3.281250000000000000e+02
8.607949948762202985e-02,3.219209999999999923e+02,8.914534203043986138e-02,3.280869999999999891e+02
8.656491019901839390e-02,3.219089999999999918e+02,8.970284885989852908e-02,3.280989999999999895e+02
8.705032091041475795e-02,3.219089999999999918e+02,9.014885432346544936e-02,3.281589999999999918e+02
8.748179709832264173e-02,3.218949999999999818e+02,9.065061046997824334e-02,3.281460000000000150e+02
8.796720780971900577e-02,3.218829999999999814e+02,9.109661593354517750e-02,3.281460000000000150e+02
8.839868399762687567e-02,3.218829999999999814e+02,9.165412276300383132e-02,3.281720000000000255e+02
8.888409470902323972e-02,3.218829999999999814e+02,9.210012822657076548e-02,3.281820000000000164e+02
8.936950542041961765e-02,3.218709999999999809e+02,9.260188437308355947e-02,3.281720000000000255e+02
8.985491613181596782e-02,3.218709999999999809e+02,9.304788983665049362e-02,3.281600000000000250e+02
9.028639231972385160e-02,3.218709999999999809e+02,9.354964598316328761e-02,3.281480000000000246e+02
9.077180303112022952e-02,3.218720000000000141e+02,9.399565144673020789e-02,3.281499999999999773e+02
9.125721374251657969e-02,3.218960000000000150e+02,9.449740759324301576e-02,3.281519999999999868e+02
9.174262445391295762e-02,3.219100000000000250e+02,9.499916373975579587e-02,3.281519999999999868e+02
9.217410064182082752e-02,3.218960000000000150e+02,9.550091988626860373e-02,3.281639999999999873e+02
9.265951135321719156e-02,3.218960000000000150e+02,9.594692534983553789e-02,3.281779999999999973e+02
9.314492206461356949e-02,3.218960000000000150e+02,9.644868149634831800e-02,3.281999999999999886e+02
9.357639825252143939e-02,3.218690000000000282e+02,9.695043764286112586e-02,3.281739999999999782e+02
9.406180896391780344e-02,3.218700000000000045e+02,9.739644310642804614e-02,3.281340000000000146e+02
9.449328515182568722e-02,3.218570000000000277e+02,9.789819925294084013e-02,3.281349999999999909e+02
9.503263038671053153e-02,3.218430000000000177e+02,9.834420471650777429e-02,3.281580000000000155e+02
9.546410657461841531e-02,3.218690000000000282e+02,9.884596086302055440e-02,3.281460000000000150e+02
