TapeWidthAfterCompaction,Weights
6.211000000000000298e+00,9.985847521282730233e-01
6.184999999999999609e+00,1.000816257094550021e+00
6.235999999999999766e+00,9.965135551126520497e-01
6.209999999999999964e+00,9.964096751773350302e-01
6.222000000000000419e+00,9.962517709367350038e-01
6.197000000000000064e+00,9.949467487829309897e-01
6.211999999999999744e+00,1.000439264577869913e+00
6.184999999999999609e+00,9.949521548026599715e-01
6.171000000000000263e+00,9.984562297583480239e-01
6.209999999999999964e+00,1.004568101782070011e+00
6.208999999999999631e+00,1.001307985232749997e+00
6.184000000000000163e+00,9.986298708041499994e-01
6.221000000000000085e+00,1.002466520191509947e+00
6.209999999999999964e+00,1.001155572375989955e+00
6.197000000000000064e+00,1.000618554623470047e+00
6.235999999999999766e+00,9.965503866829199531e-01
6.261000000000000121e+00,9.970884981682239800e-01
6.248999999999999666e+00,9.956743361309740026e-01
6.248000000000000220e+00,9.935892081810689946e-01
6.250000000000000000e+00,9.999702498112239546e-01
6.275000000000000355e+00,1.002153778147250041e+00
6.290000000000000036e+00,1.004218941419579902e+00
6.339000000000000412e+00,9.949798882213439777e-01
6.339000000000000412e+00,9.925694508503249969e-01
6.325999999999999623e+00,1.000830071974569968e+00
6.315000000000000391e+00,1.006498178396940002e+00
6.338000000000000078e+00,1.003959321010619909e+00
6.299999999999999822e+00,9.982643466015620470e-01
6.325999999999999623e+00,9.959456770821419891e-01
6.312999999999999723e+00,9.996021810164880117e-01
6.314000000000000057e+00,1.004485847429509970e+00
6.288999999999999702e+00,1.003875667291679985e+00
6.286999999999999922e+00,9.969060260580000499e-01
6.288000000000000256e+00,9.973943861581210379e-01
6.312999999999999723e+00,9.970196914350829553e-01
6.299000000000000377e+00,1.005481254890699949e+00
6.248999999999999666e+00,1.002152315410270056e+00
6.225999999999999979e+00,9.976453769235630320e-01
6.211999999999999744e+00,9.993333826150120336e-01
6.277999999999999581e+00,1.000444991411920004e+00
6.352999999999999758e+00,1.001791190535159970e+00
6.378000000000000114e+00,9.925296133242409446e-01
6.365999999999999659e+00,1.001720486920689934e+00
6.302999999999999936e+00,1.001896619815999978e+00
6.315999999999999837e+00,1.006658046384139915e+00
6.339999999999999858e+00,1.000275180713289913e+00
6.326999999999999957e+00,9.994367712750640287e-01
6.326999999999999957e+00,9.987842227182730515e-01
6.251000000000000334e+00,1.004637879139719914e+00
6.248999999999999666e+00,1.003379183636649907e+00
6.185999999999999943e+00,9.998321868550590352e-01
6.173000000000000043e+00,9.943078425152600541e-01
6.171999999999999709e+00,9.938194463536500489e-01
6.184999999999999609e+00,9.979035384772170225e-01
6.209999999999999964e+00,1.003960400629200000e+00
6.224000000000000199e+00,1.002292184828190047e+00
6.171000000000000263e+00,9.990425195343819453e-01
