time,leftedge,rightedge,gap,x_LE,y_LE,time,leftedge,rightedge,gap,x_RE,y_RE
3.729999999999999982e-01,3.337000000000000188e+00,9.490999999999999659e+00,6.153999999999999915e+00,2.079500473880804834e-02,3.341630000000000109e+02,3.649999999999999911e-01,3.107000000000000206e+00,9.461999999999999744e+00,6.355000000000000426e+00,2.015016009716241382e-02,3.405380000000000109e+02
3.820000000000000062e-01,3.322999999999999954e+00,9.490999999999999659e+00,6.168000000000000149e+00,2.129676088532084233e-02,3.341770000000000209e+02,3.739999999999999991e-01,3.132000000000000117e+00,9.489000000000000767e+00,6.357000000000000206e+00,2.064701335983217326e-02,3.405110000000000241e+02
3.910000000000000142e-01,3.335999999999999854e+00,9.490000000000000213e+00,6.153999999999999915e+00,2.179851703183363978e-02,3.341639999999999873e+02,3.820000000000000062e-01,3.132000000000000117e+00,9.500000000000000000e+00,6.368000000000000327e+00,2.108866070442751497e-02,3.405000000000000000e+02
4.000000000000000222e-01,3.362000000000000099e+00,9.503000000000000114e+00,6.141000000000000014e+00,2.230027317834643377e-02,3.341379999999999768e+02,3.910000000000000142e-01,3.133000000000000007e+00,9.476000000000000867e+00,6.342999999999999972e+00,2.158551396709727441e-02,3.405240000000000009e+02
4.079999999999999738e-01,3.347999999999999865e+00,9.477000000000000313e+00,6.128999999999999559e+00,2.274627864191336099e-02,3.341519999999999868e+02,3.990000000000000213e-01,3.120000000000000107e+00,9.461999999999999744e+00,6.341999999999999638e+00,2.202716131169261266e-02,3.405380000000000109e+02
4.169999999999999818e-01,3.373000000000000220e+00,9.476000000000000867e+00,6.102999999999999758e+00,2.324803478842615498e-02,3.341270000000000095e+02,4.079999999999999738e-01,3.105999999999999872e+00,9.448999999999999844e+00,6.342999999999999972e+00,2.252401457436236862e-02,3.405509999999999877e+02
4.259999999999999898e-01,3.361000000000000210e+00,9.476000000000000867e+00,6.115000000000000213e+00,2.374979093493894897e-02,3.341390000000000100e+02,4.169999999999999818e-01,3.169999999999999929e+00,9.486000000000000654e+00,6.315999999999999837e+00,2.302086783703212805e-02,3.405140000000000100e+02
4.349999999999999978e-01,3.373000000000000220e+00,9.486000000000000654e+00,6.113000000000000433e+00,2.425154708145174642e-02,3.341270000000000095e+02,4.259999999999999898e-01,3.194999999999999840e+00,9.522999999999999687e+00,6.328000000000000291e+00,2.351772109970188748e-02,3.404769999999999754e+02
4.430000000000000049e-01,3.373000000000000220e+00,9.473000000000000753e+00,6.099999999999999645e+00,2.469755254501867364e-02,3.341270000000000095e+02,4.339999999999999969e-01,3.184000000000000163e+00,9.522000000000000242e+00,6.338000000000000078e+00,2.395936844429722920e-02,3.404780000000000086e+02
4.520000000000000129e-01,3.373000000000000220e+00,9.464000000000000412e+00,6.091000000000000192e+00,2.519930869153147110e-02,3.341270000000000095e+02,4.430000000000000049e-01,3.169999999999999929e+00,9.496999999999999886e+00,6.326999999999999957e+00,2.445622170696698516e-02,3.405029999999999859e+02
4.610000000000000209e-01,3.399000000000000021e+00,9.489000000000000767e+00,6.089999999999999858e+00,2.570106483804426509e-02,3.341009999999999991e+02,4.520000000000000129e-01,3.144000000000000128e+00,9.471999999999999531e+00,6.328000000000000291e+00,2.495307496963674460e-02,3.405280000000000200e+02
4.689999999999999725e-01,3.399999999999999911e+00,9.490000000000000213e+00,6.089999999999999858e+00,2.614707030161119231e-02,3.341000000000000227e+02,4.600000000000000200e-01,3.157999999999999918e+00,9.484999999999999432e+00,6.326999999999999957e+00,2.539472231423208631e-02,3.405149999999999864e+02
