x,y,z
-7.112160631099999364e+01,3.490125205051999728e+02,2.081387826219999937e+01
-7.064822636700000658e+01,3.490720442772000069e+02,2.065677254519999906e+01
-7.014364391099999807e+01,3.491113562592000221e+02,2.051174515619999994e+01
-6.962462823500000297e+01,3.491434792832000085e+02,2.036674634119999894e+01
-6.913130777700000351e+01,3.491870749721999800e+02,2.019870118420000082e+01
-6.864380301699999620e+01,3.492272771152000246e+02,2.001466660219999838e+01
-6.817299010700000395e+01,3.492265038932000039e+02,1.984277294920000045e+01
-6.769995738299989796e+01,3.491868437112000265e+02,1.968501707720000127e+01
-6.724318163499999912e+01,3.491512316331999841e+02,1.951824324820000101e+01
-6.679935356500000410e+01,3.491318795991999764e+02,1.934340912020000047e+01
-6.634876664499999777e+01,3.491169482541999969e+02,1.917656095119999904e+01
-6.589156450100000484e+01,3.490914086071999805e+02,1.901875173919999895e+01
-6.541993202299990173e+01,3.490587258662000067e+02,1.887397102319999931e+01
-6.496995004099990467e+01,3.490368371462000141e+02,1.873214742820000112e+01
-6.451348727500000280e+01,3.490593366891999949e+02,1.857516857219999906e+01
-6.404287246299999481e+01,3.491146642401999998e+02,1.840907698619999877e+01
-6.355465787100000341e+01,3.491599716701999796e+02,1.824102465420000030e+01
-6.304454119700000092e+01,3.491725274881999894e+02,1.808809284219999824e+01
-6.256092308299989924e+01,3.491755326932000116e+02,1.792818878519999970e+01
-6.205419452299999961e+01,3.491948108341999841e+02,1.774823232720000021e+01
-6.155756258899999978e+01,3.492154980811999962e+02,1.756326861919999871e+01
-6.107188784299999895e+01,3.492175730522000094e+02,1.739036821719999892e+01
-6.059856653499989676e+01,3.492079496842000026e+02,1.722450638520000155e+01
-6.015953148699990294e+01,3.492023715021999806e+02,1.705662264120000060e+01
-5.970723280899999708e+01,3.491925459952000210e+02,1.688975683920000037e+01
-5.925701994899989700e+01,3.491666179392000231e+02,1.673494746220000096e+01
-5.878792705299989763e+01,3.491257843131999721e+02,1.659219495119999976e+01
-5.832567803900000314e+01,3.490995630452000000e+02,1.644338932519999830e+01
-5.787417888699999935e+01,3.491037393862000044e+02,1.628347399120000105e+01
-5.740961246900000248e+01,3.491246558491999963e+02,1.611450244519999941e+01
-5.693948553299990323e+01,3.491358947951999880e+02,1.595156631819999937e+01
-5.644066337299999958e+01,3.491357544571999938e+02,1.578967672819999990e+01
-5.595079450699999768e+01,3.491520880471999817e+02,1.561572694720000065e+01
-5.546394502299990137e+01,3.491862253432000216e+02,1.542671358419999983e+01
-5.496842679099989937e+01,3.492088734952000095e+02,1.524774274920000039e+01
-5.448717748699989727e+01,3.492007362392000118e+02,1.509087749619999919e+01
-5.400946658299989878e+01,3.491843981551999718e+02,1.493804041519999970e+01
-5.355243161699989685e+01,3.491968787381999846e+02,1.477109696920000026e+01
-5.309034756099990204e+01,3.492086424202000217e+02,1.460315716919999929e+01
-5.262256428699990352e+01,3.491907500902000265e+02,1.445432338920000070e+01
-5.217050296699999734e+01,3.491499811292000004e+02,1.432156692619999916e+01
-5.171814973299999707e+01,3.491391960622000283e+02,1.416570459319999920e+01
-5.127243820299990062e+01,3.491570292801999926e+02,1.399573972419999990e+01
-5.080635909699989838e+01,3.491689962621999825e+02,1.382080005020000080e+01
-5.031201582500000313e+01,3.491595856171999799e+02,1.365894217019999957e+01
-4.982654347899990199e+01,3.491476581892000013e+02,1.349509118319999956e+01
-4.933522092100000123e+01,3.491560724181999831e+02,1.332416968519999934e+01
-4.886412075900000218e+01,3.491853571781999790e+02,1.315017003620000047e+01
-4.837333855100000335e+01,3.492207808141999976e+02,1.297815312020000000e+01
-4.788264563500000293e+01,3.492402194271999747e+02,1.281919266519999923e+01
-4.741394813099999794e+01,3.492414030311999795e+02,1.266829177420000008e+01
-4.694179907699989940e+01,3.492347636321999858e+02,1.251541923819999980e+01
-4.649089909100000284e+01,3.492318908702000044e+02,1.235452863419999936e+01
-4.601752367099989982e+01,3.492213149982000004e+02,1.220167025920000015e+01
-4.555478970899999780e+01,3.492041430972000171e+02,1.205483282720000027e+01
-4.508840201900000011e+01,3.491931541202000062e+02,1.189797432920000020e+01
-4.462252509099999997e+01,3.491911151752000251e+02,1.173108407620000015e+01
-4.417273458900000094e+01,3.491901362862000155e+02,1.155718645920000043e+01
-4.369253754900000075e+01,3.491828910071999985e+02,1.138631773420000037e+01
-4.321622023100000121e+01,3.491734245242000156e+02,1.121645598919999998e+01
-4.271833656100000098e+01,3.491721829552000145e+02,1.104156999119999938e+01
-4.223428672299989728e+01,3.491851759191999918e+02,1.086663069519999958e+01
-4.176501298099989867e+01,3.492113621611999861e+02,1.069564159119999935e+01
-4.127637270099999967e+01,3.492316675042000043e+02,1.053167758919999919e+01
-4.079646597899999705e+01,3.492294987372000037e+02,1.038479104520000007e+01
-4.031798646899999738e+01,3.492172393481999961e+02,1.023993979719999992e+01
-3.984940096300000079e+01,3.492203879361999839e+02,1.008003189020000079e+01
-3.939678988499999690e+01,3.492226315962000172e+02,9.922123635200039260e+00
-3.893399936899999858e+01,3.492044683831999805e+02,9.777289726199999365e+00
-3.847291994500000101e+01,3.491811887481999861e+02,9.629473468200030695e+00
-3.800105188500000253e+01,3.491794776852000268e+02,9.458583365200039950e+00
-3.753368697300000179e+01,3.491864710181999953e+02,9.272661453199999571e+00
-3.706581107699999933e+01,3.491845107912000117e+02,9.095771302200040154e+00
-3.657834176099999723e+01,3.491726938332000145e+02,8.930920363200019807e+00
-3.609460854099990001e+01,3.491736846622000030e+02,8.766023406200000423e+00
-3.561789041899999830e+01,3.491922864811999716e+02,8.596062723200040168e+00
-3.513064638899999892e+01,3.492195057612000255e+02,8.427073985199999839e+00
