Tow Spacing (mm),Average Gap (%),Average Overlap (%),Intersection Spacing (mm),Intersection Gap/Overlap (%)
5.969387755102041,0.5792350853310207,5.175514697027016,6.254485143634828,1.9058761619908333
5.994897959183674,0.6454634056341375,4.813310024586931,6.254485143634828,1.9058761619908333
6.020408163265306,0.7191847732149531,4.46209385920195,6.254485143634828,1.9058761619908333
6.045918367346939,0.7996661331136384,4.121090542053842,6.254485143634828,1.9058761619908333
6.071428571428571,0.8884974813384955,3.7918481548515452,6.254485143634828,1.9058761619908333
6.096938775510204,0.9881375575295739,3.476784198599977,6.254485143634828,1.9058761619908333
6.122448979591837,1.100210435220619,3.1774821703018983,6.254485143634828,1.9058761619908333
6.1479591836734695,1.2253811714437355,2.8945671993277697,6.254485143634828,1.9058761619908333
6.173469387755102,1.3646756345607893,2.629025862328458,6.254485143634828,1.9058761619908333
6.198979591836735,1.5177722728765812,2.3804979392371752,6.254485143634828,1.9058761619908333
6.224489795918368,1.6863178628593232,2.1505921491778173,6.254485143634828,1.9058761619908333
6.25,1.8707342892468233,1.93969291854934,6.254485143634828,1.9058761619908333
6.275510204081632,2.0706111312166247,1.7473529554570482,6.254485143634828,1.9058761619908333
6.301020408163265,2.284371479558075,1.57195905542076,6.254485143634828,1.9058761619908333
6.326530612244898,2.510717793487055,1.4121779469931086,6.254485143634828,1.9058761619908333
6.3520408163265305,2.7483340313358338,1.266658411513314,6.254485143634828,1.9058761619908333
6.377551020408164,2.9961989409734398,1.1343445628442965,6.254485143634828,1.9058761619908333
6.403061224489796,3.254919277331965,1.0158090544627942,6.254485143634828,1.9058761619908333
6.428571428571429,3.5236400188338117,0.9101632856894837,6.254485143634828,1.9058761619908333
6.454081632653061,3.802053421889258,0.8170664462234368,6.254485143634828,1.9058761619908333
6.479591836734694,4.088798016833131,0.7351245023424575,6.254485143634828,1.9058761619908333
6.505102040816326,4.382110726842465,0.6625423063057521,6.254485143634828,1.9058761619908333
6.530612244897959,4.68062701101337,0.5979237301310337,6.254485143634828,1.9058761619908333
6.5561224489795915,4.983083983846855,0.5399747759903917,6.254485143634828,1.9058761619908333
6.581632653061225,5.2885986753039615,0.4877818273794212,6.254485143634828,1.9058761619908333
6.607142857142858,5.59716367136004,0.4413072809845613,6.254485143634828,1.9058761619908333
6.63265306122449,5.907972037537146,0.3997144617220613,6.254485143634828,1.9058761619908333
6.658163265306122,6.220722397456605,0.36267269298579263,6.254485143634828,1.9058761619908333
6.683673469387755,6.535558579702985,0.33029693539025273,6.254485143634828,1.9058761619908333
6.709183673469388,6.851373741192742,0.3014519021973613,6.254485143634828,1.9058761619908333
6.73469387755102,7.167165871966456,0.27510755634120376,6.254485143634828,1.9058761619908333
6.760204081632653,7.4825474074893945,0.25084871513107027,6.254485143634828,1.9058761619908333
6.785714285714286,7.797313770975064,0.22844358514345522,6.254485143634828,1.9058761619908333
6.811224489795919,8.111539198102575,0.2079395796688639,6.254485143634828,1.9058761619908333
6.836734693877551,8.425160929962873,0.1892475045453714,6.254485143634828,1.9058761619908333
6.862244897959184,8.737727345701904,0.17188968384220873,6.254485143634828,1.9058761619908333
