LT_time,LT_x,LT_y,LT_z
6.600000000000001421e-01,3.296144430999999031e+01,4.992478690231999963e+02,-1.753283177999679920e-01
6.699999999999999289e-01,3.346063060200000905e+01,4.992412940052000181e+02,-1.801941047999640055e-01
6.799999999999997158e-01,3.396443536999998969e+01,4.992239966871999854e+02,-1.760209768000010055e-01
6.900000000000003908e-01,3.445880034199998931e+01,4.992141486261999717e+02,-1.788762757999859954e-01
7.000000000000001776e-01,3.496380521800000452e+01,4.992109212902000195e+02,-1.807525597999969924e-01
7.099999999999999645e-01,3.545831337199999211e+01,4.992161092761999726e+02,-1.826608688000060099e-01
7.199999999999997513e-01,3.595670213599998988e+01,4.992235043541999744e+02,-1.895761338000100105e-01
7.300000000000004263e-01,3.645756878000000256e+01,4.992050376711999888e+02,-1.853995337999909954e-01
7.400000000000002132e-01,3.695617905599999631e+01,4.991734564871999851e+02,-1.711771017999809963e-01
7.500000000000000000e-01,3.745642049799999995e+01,4.991659436282000115e+02,-1.750393387999999995e-01
7.599999999999997868e-01,3.795786093800001026e+01,4.991725183912000148e+02,-1.799510177999960048e-01
7.700000000000004619e-01,3.844269975000000272e+01,4.991891738022000027e+02,-1.819019358000059927e-01
7.800000000000002487e-01,3.894416893199999663e+01,4.992127884042000119e+02,-1.838737067999600128e-01
7.900000000000000355e-01,3.945145802999999773e+01,4.992397295202000009e+02,-1.888559388000100037e-01
7.999999999999998224e-01,3.995854561600000920e+01,4.992526541252000243e+02,-1.887887318000119885e-01
8.099999999999996092e-01,4.046409377000000518e+01,4.992574566202000028e+02,-1.946932507999820094e-01
8.200000000000002842e-01,4.097431828599999903e+01,4.992505243351999979e+02,-1.955552957999580066e-01
8.300000000000000711e-01,4.147444551000000956e+01,4.992450117402000274e+02,-1.984246088000020114e-01
8.399999999999998579e-01,4.196730067999999392e+01,4.992440672962000008e+02,-2.083117017999930043e-01
8.499999999999996447e-01,4.245222430199999053e+01,4.992416931881999744e+02,-2.111954697999779973e-01
8.600000000000003197e-01,4.294430775800000788e+01,4.992367194412000231e+02,-2.150684797999979914e-01
8.700000000000001066e-01,4.343984254200000805e+01,4.992239262191999956e+02,-2.199131407999929955e-01
8.799999999999998934e-01,4.392901368799999773e+01,4.991997837082000160e+02,-2.157191177999749909e-01
8.899999999999996803e-01,4.442511689799999886e+01,4.991770315022000091e+02,-2.135284707999640097e-01
9.000000000000003553e-01,4.492952349600000161e+01,4.991667409511999836e+02,-2.203800007999699995e-01
9.100000000000001421e-01,4.544163009799999031e+01,4.991619299842000146e+02,-2.182490917999599933e-01
9.199999999999999289e-01,4.594138796600000774e+01,4.991804316921999884e+02,-2.222032177999800073e-01
9.299999999999997158e-01,4.645749143599999798e+01,4.992108809032000067e+02,-2.271958657999740006e-01
9.400000000000003908e-01,4.695491078999998535e+01,4.992352552931999981e+02,-2.321712377999700094e-01
9.500000000000001776e-01,4.746584758000000193e+01,4.992333894871999860e+02,-2.280509668000079981e-01
9.599999999999999645e-01,4.797096622999998772e+01,4.992281689431999894e+02,-2.289201867999839934e-01
9.699999999999997513e-01,4.848213189999998463e+01,4.992222955532000128e+02,-2.287857517999850043e-01
9.800000000000004263e-01,4.898214579399999025e+01,4.992187691102000144e+02,-2.346621168000130042e-01
9.900000000000002132e-01,4.946889428200000793e+01,4.992195182162000151e+02,-2.335564717999789874e-01
1.000000000000000000e+00,4.994797084199998949e+01,4.992318381612000167e+02,-2.354933757999889965e-01
1.009999999999999787e+00,5.043226837399998885e+01,4.992404319891999762e+02,-2.424160047999930068e-01
1.020000000000000462e+00,5.090966054399999052e+01,4.992296220012000276e+02,-2.432716727999700013e-01
1.030000000000000249e+00,5.140958670000000552e+01,4.992100858392000191e+02,-2.430915347999710041e-01
