width_LLS_A,Weights,error_LLS_A
6.093731893562959634e+00,9.989448407489319726e-01,-2.562681064370400108e-01
6.088355963567569695e+00,9.986103126724490409e-01,-2.616440364324299495e-01
6.034803095838819686e+00,1.007803890221139920e+00,-3.151969041611799582e-01
6.047915805436449688e+00,1.007141210032509893e+00,-3.020841945635499570e-01
6.116073874541400279e+00,9.993379584623699463e-01,-2.339261254585993655e-01
6.094754354981019695e+00,9.902416773798959904e-01,-2.552456450189799497e-01
6.156520358426409878e+00,9.897287562203560540e-01,-1.934796415735897668e-01
6.228965383319690297e+00,1.000749472137790086e+00,-1.210346166803093482e-01
6.178556752845439703e+00,9.990553385365580352e-01,-1.714432471545599412e-01
6.232131849662239986e+00,9.907409461869860490e-01,-1.178681503377596584e-01
6.157690824305530164e+00,1.000615407909950072e+00,-1.923091756944694808e-01
6.132759246423249877e+00,9.986787918354490534e-01,-2.172407535767497677e-01
6.129407121791159874e+00,1.003603764874720028e+00,-2.205928782088397710e-01
6.119170829039999759e+00,9.953317832609259730e-01,-2.308291709599998853e-01
6.107062505934339747e+00,9.994793895141700357e-01,-2.429374940656598980e-01
6.130282187115740022e+00,9.986633485329520221e-01,-2.197178128842596223e-01
6.104528560016300176e+00,1.000480515355830047e+00,-2.454714399836994687e-01
6.075841888099700050e+00,9.919472276306929848e-01,-2.741581119002995948e-01
6.064207310898179770e+00,9.861778826095469741e-01,-2.857926891018198745e-01
6.080542416235229730e+00,9.986148887451670175e-01,-2.694575837647699146e-01
6.067879513405570080e+00,1.008596758228140100e+00,-2.821204865944295648e-01
6.158370422177750214e+00,9.966888142929419825e-01,-1.916295778222494306e-01
6.098502286305640396e+00,9.922567681056370104e-01,-2.514977136943592484e-01
6.133739450875260069e+00,9.996019827759889953e-01,-2.162605491247395761e-01
6.094361956749099640e+00,1.004376669628139984e+00,-2.556380432509000045e-01
6.179170841425720262e+00,1.004243163051319998e+00,-1.708291585742793828e-01
6.151837676727500259e+00,9.926262087317919702e-01,-1.981623232724993855e-01
6.228675400311559862e+00,9.954972506763369866e-01,-1.213245996884397826e-01
6.222793995473730355e+00,9.991000220704480128e-01,-1.272060045262692896e-01
6.117660939085880045e+00,1.006910861497329890e+00,-2.323390609141195995e-01
6.104635283971689752e+00,1.002985562177489909e+00,-2.453647160283098927e-01
6.184210225688859808e+00,9.908864411495299507e-01,-1.657897743111398370e-01
6.136322541187450241e+00,9.979409179662289686e-01,-2.136774588125494034e-01
6.114639912179050008e+00,1.007446987213360012e+00,-2.353600878209496372e-01
6.018612956887370302e+00,1.003578549518030050e+00,-3.313870431126293425e-01
6.120587007615490016e+00,9.961183209759659762e-01,-2.294129923845096286e-01
6.141511209213669886e+00,9.977319432119999831e-01,-2.084887907863297585e-01
6.169047733021310265e+00,1.001752205302069987e+00,-1.809522669786893800e-01
6.176783502928220315e+00,1.006408375212469952e+00,-1.732164970717793295e-01
6.062664004739789725e+00,9.962603835959219500e-01,-2.873359952602099199e-01
6.079943350336249885e+00,9.937445966997390245e-01,-2.700566496637497593e-01
6.112206444413829765e+00,1.005633825768760037e+00,-2.377935555861698802e-01
6.121496845698629841e+00,1.005158657680849998e+00,-2.285031543013698041e-01
6.084985115316699833e+00,1.001745316090530080e+00,-2.650148846832998117e-01
6.089490704235400287e+00,9.977575941325269593e-01,-2.605092957645993579e-01
6.078322199630769695e+00,1.001919503514830057e+00,-2.716778003692299492e-01
6.182412001038300353e+00,1.008585615728059937e+00,-1.675879989616992916e-01
6.127768993897589667e+00,1.002947363719070006e+00,-2.222310061024099781e-01
6.054137475928110135e+00,1.001648050961780001e+00,-2.958625240718895100e-01
6.057051802804200413e+00,1.000837537520639975e+00,-2.929481971957992315e-01
6.063812660516149755e+00,1.002826343900010020e+00,-2.861873394838498896e-01
