center_CAM,Weights,error_CAM
5.416404000000000218e-01,9.963756785793149717e-01,5.416404000000000218e-01
5.575710000000000388e-01,1.000641592821140069e+00,5.575710000000000388e-01
5.894321999999999617e-01,1.000839702001740106e+00,5.894321999999999617e-01
5.018139000000000349e-01,9.968246474391450063e-01,5.018139000000000349e-01
5.177445000000000519e-01,9.997377564149320106e-01,5.177445000000000519e-01
4.779180000000000095e-01,9.987548753746260388e-01,4.779180000000000095e-01
4.619873999999999925e-01,1.003278187752489892e+00,4.619873999999999925e-01
5.097791999999999879e-01,1.000163548861310092e+00,5.097791999999999879e-01
4.858833000000000180e-01,1.005021580501010092e+00,4.858833000000000180e-01
4.858833000000000180e-01,1.003718904220709973e+00,4.858833000000000180e-01
4.619873999999999925e-01,9.988996817932029870e-01,4.619873999999999925e-01
4.858833000000000180e-01,9.930407511637380225e-01,4.858833000000000180e-01
4.938486000000000264e-01,1.005089908869780002e+00,4.938486000000000264e-01
5.336750999999999578e-01,1.000733094884870056e+00,5.336750999999999578e-01
5.257098000000000049e-01,9.958685498985280216e-01,5.257098000000000049e-01
4.699527000000000010e-01,9.939632817963790501e-01,4.699527000000000010e-01
4.301262000000000141e-01,1.000483302125690033e+00,4.301262000000000141e-01
5.097791999999999879e-01,1.001012749505830079e+00,5.097791999999999879e-01
4.619873999999999925e-01,1.002471637119950021e+00,4.619873999999999925e-01
4.938486000000000264e-01,1.001037466161019962e+00,4.938486000000000264e-01
4.858833000000000180e-01,9.940762315057439791e-01,4.858833000000000180e-01
5.097791999999999879e-01,9.981991126979350426e-01,5.097791999999999879e-01
4.858833000000000180e-01,1.005491356894750110e+00,4.858833000000000180e-01
5.336750999999999578e-01,9.948906687723549913e-01,5.336750999999999578e-01
5.575710000000000388e-01,1.001352687955850085e+00,5.575710000000000388e-01
5.575710000000000388e-01,1.000465862073629975e+00,5.575710000000000388e-01
5.336750999999999578e-01,9.997968471284029990e-01,5.336750999999999578e-01
5.097791999999999879e-01,1.002016033095479930e+00,5.097791999999999879e-01
5.097791999999999879e-01,1.002784129852900108e+00,5.097791999999999879e-01
5.177445000000000519e-01,9.913999871485069670e-01,5.177445000000000519e-01
5.257098000000000049e-01,1.007657890512370091e+00,5.257098000000000049e-01
4.858833000000000180e-01,1.002116535933710084e+00,4.858833000000000180e-01
4.619873999999999925e-01,9.989744680819060418e-01,4.619873999999999925e-01
4.221609000000000056e-01,1.001831558721270055e+00,4.221609000000000056e-01
4.858833000000000180e-01,1.010288870926699945e+00,4.858833000000000180e-01
4.540220999999999840e-01,1.000033318194490040e+00,4.540220999999999840e-01
5.018139000000000349e-01,1.002041334894969937e+00,5.018139000000000349e-01
4.938486000000000264e-01,9.957778273653410395e-01,4.938486000000000264e-01
4.141955999999999971e-01,9.925842426141480157e-01,4.141955999999999971e-01
3.982649999999999801e-01,9.973648073355739774e-01,3.982649999999999801e-01
4.460567999999999755e-01,1.004733697820320071e+00,4.460567999999999755e-01
5.018139000000000349e-01,9.923042020697340204e-01,5.018139000000000349e-01
4.779180000000000095e-01,1.003075783074860006e+00,4.779180000000000095e-01
4.619873999999999925e-01,1.005804822562069933e+00,4.619873999999999925e-01
4.460567999999999755e-01,1.002468754695909903e+00,4.460567999999999755e-01
4.699527000000000010e-01,9.949353443176019995e-01,4.699527000000000010e-01
3.982649999999999801e-01,1.000532196860949963e+00,3.982649999999999801e-01
3.743691000000000102e-01,9.981980937680590138e-01,3.743691000000000102e-01
3.584384999999999932e-01,1.004215486017350001e+00,3.584384999999999932e-01
3.902997000000000272e-01,1.003934991931829890e+00,3.902997000000000272e-01
3.584384999999999932e-01,9.989559459931399710e-01,3.584384999999999932e-01
3.823344000000000187e-01,1.007690986929439925e+00,3.823344000000000187e-01
3.425078999999999763e-01,1.002511569555289972e+00,3.425078999999999763e-01
3.345426000000000233e-01,9.936200089965090410e-01,3.345426000000000233e-01
3.265773000000000148e-01,9.959733431868199593e-01,3.265773000000000148e-01
3.584384999999999932e-01,1.005611292931549938e+00,3.584384999999999932e-01
3.902997000000000272e-01,9.988188462689849834e-01,3.902997000000000272e-01
3.345426000000000233e-01,1.002123861686250006e+00,3.345426000000000233e-01
3.743691000000000102e-01,9.973738722222510455e-01,3.743691000000000102e-01
2.947160999999999809e-01,9.965841776118770090e-01,2.947160999999999809e-01
2.787855000000000194e-01,1.004603149715040056e+00,2.787855000000000194e-01
3.026813999999999893e-01,9.984733798204550315e-01,3.026813999999999893e-01
2.867507999999999724e-01,9.988126312517660033e-01,2.867507999999999724e-01
2.947160999999999809e-01,1.001134714562970096e+00,2.947160999999999809e-01
2.469243000000000132e-01,1.002097677518339891e+00,2.469243000000000132e-01
2.947160999999999809e-01,1.002180805864510083e+00,2.947160999999999809e-01
2.150631000000000070e-01,1.010010420990409941e+00,2.150631000000000070e-01
2.309936999999999963e-01,1.002640850508289994e+00,2.309936999999999963e-01
2.150631000000000070e-01,9.973566984097920196e-01,2.150631000000000070e-01
2.309936999999999963e-01,9.996946417244100269e-01,2.309936999999999963e-01
2.389590000000000047e-01,1.004008114875140079e+00,2.389590000000000047e-01
2.309936999999999963e-01,9.949624698451470239e-01,2.309936999999999963e-01
2.389590000000000047e-01,9.984277312660030379e-01,2.389590000000000047e-01
2.150631000000000070e-01,1.004451783476000060e+00,2.150631000000000070e-01
1.991324999999999901e-01,1.010758100778609947e+00,1.991324999999999901e-01
1.513406999999999947e-01,9.965060441481590203e-01,1.513406999999999947e-01
1.752365999999999924e-01,9.966713096915149617e-01,1.752365999999999924e-01
1.593060000000000032e-01,9.913322525761110171e-01,1.593060000000000032e-01
1.672713000000000116e-01,1.003842876292120101e+00,1.672713000000000116e-01
1.832019000000000009e-01,9.963104547455839954e-01,1.832019000000000009e-01
1.433753999999999862e-01,9.915105948006269765e-01,1.433753999999999862e-01
1.991324999999999901e-01,1.002798728018500007e+00,1.991324999999999901e-01
1.991324999999999901e-01,1.001647706097799961e+00,1.991324999999999901e-01
1.433753999999999862e-01,9.949302992418149749e-01,1.433753999999999862e-01
1.035488999999999993e-01,9.917206300142300535e-01,1.035488999999999993e-01
3.186119999999999924e-02,9.956283019232220477e-01,3.186119999999999924e-02
1.115141999999999939e-01,1.004679806854090085e+00,1.115141999999999939e-01
9.558360000000000467e-02,9.965437777242569517e-01,9.558360000000000467e-02
1.194795000000000024e-01,9.945932380193149847e-01,1.194795000000000024e-01
1.354101000000000055e-01,1.003958309606560073e+00,1.354101000000000055e-01
7.168769999999999309e-02,1.002501717988399932e+00,7.168769999999999309e-02
9.558360000000000467e-02,9.978609211252910116e-01,9.558360000000000467e-02
8.761829999999999619e-02,9.917397326936290280e-01,8.761829999999999619e-02
7.168769999999999309e-02,9.998867450282920011e-01,7.168769999999999309e-02
1.593059999999999962e-02,1.003872543860669930e+00,1.593059999999999962e-02
7.965299999999999811e-03,9.990447128192190274e-01,7.965299999999999811e-03
6.372239999999999849e-02,1.004960204828510006e+00,6.372239999999999849e-02
1.433753999999999862e-01,9.969599693205020152e-01,1.433753999999999862e-01
1.274447999999999970e-01,9.959125627422880100e-01,1.274447999999999970e-01
1.433753999999999862e-01,9.970783571162680214e-01,1.433753999999999862e-01
1.194795000000000024e-01,1.002962140206629993e+00,1.194795000000000024e-01
1.911672000000000093e-01,1.003562047756719977e+00,1.911672000000000093e-01
2.389590000000000047e-01,1.000702611746109971e+00,2.389590000000000047e-01
2.708202000000000109e-01,9.959389445890970416e-01,2.708202000000000109e-01
2.309936999999999963e-01,9.983212980811969617e-01,2.309936999999999963e-01
2.070977999999999986e-01,1.001203587807349971e+00,2.070977999999999986e-01
2.230283999999999878e-01,1.003533220670909998e+00,2.230283999999999878e-01
2.230283999999999878e-01,1.004506511634770005e+00,2.230283999999999878e-01
2.070977999999999986e-01,9.905720267886120034e-01,2.070977999999999986e-01
1.832019000000000009e-01,1.002168596045279969e+00,1.832019000000000009e-01
2.070977999999999986e-01,1.005134976583889950e+00,2.070977999999999986e-01
1.911672000000000093e-01,1.000680799137849908e+00,1.911672000000000093e-01
1.832019000000000009e-01,9.938633115825460385e-01,1.832019000000000009e-01
2.389590000000000047e-01,9.963098516902290092e-01,2.389590000000000047e-01
1.991324999999999901e-01,9.994503559545460103e-01,1.991324999999999901e-01
1.672713000000000116e-01,1.007455876321670107e+00,1.672713000000000116e-01
1.911672000000000093e-01,9.967504761942730385e-01,1.911672000000000093e-01
1.832019000000000009e-01,9.971164246569910183e-01,1.832019000000000009e-01
1.991324999999999901e-01,1.000539296401179890e+00,1.991324999999999901e-01
2.389590000000000047e-01,1.002233119502119907e+00,2.389590000000000047e-01
2.230283999999999878e-01,1.001573762606650098e+00,2.230283999999999878e-01
1.672713000000000116e-01,1.001057167182239915e+00,1.672713000000000116e-01
1.752365999999999924e-01,9.946379736377489733e-01,1.752365999999999924e-01
2.389590000000000047e-01,1.003352867314289965e+00,2.389590000000000047e-01
1.991324999999999901e-01,1.006281609822960110e+00,1.991324999999999901e-01
2.230283999999999878e-01,9.973056508738710191e-01,2.230283999999999878e-01
2.309936999999999963e-01,1.000722808870089908e+00,2.309936999999999963e-01
1.991324999999999901e-01,1.002663124461310007e+00,1.991324999999999901e-01
1.991324999999999901e-01,1.002782980924890044e+00,1.991324999999999901e-01
1.752365999999999924e-01,9.965992987951689530e-01,1.752365999999999924e-01
1.672713000000000116e-01,9.997231559944109724e-01,1.672713000000000116e-01
1.832019000000000009e-01,9.958643776840599982e-01,1.832019000000000009e-01
2.070977999999999986e-01,9.704954899043619632e-01,2.070977999999999986e-01
1.354101000000000055e-01,9.174221750423550148e-01,1.354101000000000055e-01
1.433753999999999862e-01,8.666539088910389932e-01,1.433753999999999862e-01
1.752365999999999924e-01,8.151150018389879959e-01,1.752365999999999924e-01
1.433753999999999862e-01,7.281100250472279933e-01,1.433753999999999862e-01
1.433753999999999862e-01,6.455735178071090319e-01,1.433753999999999862e-01
1.433753999999999862e-01,5.898431680937139543e-01,1.433753999999999862e-01
2.150631000000000070e-01,5.005047477477719831e-01,2.150631000000000070e-01
1.433753999999999862e-01,3.937347138185540163e-01,1.433753999999999862e-01
4.779180000000000234e-02,2.465405303877359899e-01,4.779180000000000234e-02
5.575709999999999694e-02,1.467539455295640005e-01,5.575709999999999694e-02
1.115141999999999939e-01,1.018367644368240038e-01,1.115141999999999939e-01
1.593060000000000032e-01,8.869239721978719460e-02,1.593060000000000032e-01
1.752365999999999924e-01,0.000000000000000000e+00,1.752365999999999924e-01
1.672713000000000116e-01,0.000000000000000000e+00,1.672713000000000116e-01
1.832019000000000009e-01,0.000000000000000000e+00,1.832019000000000009e-01
1.513406999999999947e-01,0.000000000000000000e+00,1.513406999999999947e-01
1.354101000000000055e-01,0.000000000000000000e+00,1.354101000000000055e-01
1.274447999999999970e-01,0.000000000000000000e+00,1.274447999999999970e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
1.672713000000000116e-01,0.000000000000000000e+00,1.672713000000000116e-01
1.513406999999999947e-01,0.000000000000000000e+00,1.513406999999999947e-01
1.433753999999999862e-01,0.000000000000000000e+00,1.433753999999999862e-01
