width_LLS_B,Weights,error_LLS_B
5.797160684335049829e+00,1.000289356582799938e+00,-5.528393156649498152e-01
5.808022899403890271e+00,9.956437799305130065e-01,-5.419771005961093735e-01
5.870352374432050269e+00,9.997441810390209627e-01,-4.796476255679493761e-01
5.857188745464839918e+00,9.924413225800420291e-01,-4.928112545351597262e-01
5.867921693410710127e+00,9.950026081046650095e-01,-4.820783065892895181e-01
5.870439591717129701e+00,9.979411428899850334e-01,-4.795604082828699433e-01
5.870206299611620437e+00,1.001349878884050026e+00,-4.797937003883792073e-01
5.826577039737830255e+00,1.000134683653600032e+00,-5.234229602621693900e-01
5.816021492394949810e+00,1.000214798059340104e+00,-5.339785076050498347e-01
5.789609399605470053e+00,9.940062720774549554e-01,-5.603906003945295922e-01
5.763816270493009597e+00,1.007093900505710016e+00,-5.861837295069900478e-01
5.801593746549300157e+00,9.940828859047059485e-01,-5.484062534506994879e-01
5.777797590777989711e+00,9.965511591033340277e-01,-5.722024092220099334e-01
5.714964654308899661e+00,1.001830002939849917e+00,-6.350353456910999839e-01
5.673713863070640073e+00,1.006176562681019959e+00,-6.762861369293595715e-01
5.637869278371040238e+00,1.003303560121739935e+00,-7.121307216289594066e-01
5.625612322227690143e+00,9.969772901317159874e-01,-7.243876777723095017e-01
5.641385024973920359e+00,9.966671915950080507e-01,-7.086149750260792857e-01
5.638766975146250360e+00,1.002916725040599921e+00,-7.112330248537492849e-01
5.653295056867279733e+00,1.004122898691500065e+00,-6.967049431327199116e-01
5.675828926245049644e+00,1.001643004586669994e+00,-6.741710737549500010e-01
5.663830682497490443e+00,9.888316710629629913e-01,-6.861693175025092017e-01
5.691162007885560037e+00,9.977797462100259640e-01,-6.588379921144396079e-01
5.701930374881830410e+00,1.003125522545960102e+00,-6.480696251181692347e-01
5.765207715251899678e+00,1.006070332135309942e+00,-5.847922847480999664e-01
5.768442597443439901e+00,9.983808371674699478e-01,-5.815574025565597438e-01
5.791285176884319874e+00,9.934641030736740541e-01,-5.587148231156797706e-01
5.764766430654409746e+00,1.003111609485000111e+00,-5.852335693455898991e-01
5.766902114653929878e+00,1.004387623031189891e+00,-5.830978853460697664e-01
5.764782823316069837e+00,9.985209443168839849e-01,-5.852171766839298073e-01
5.790863493469689871e+00,9.871236355733300494e-01,-5.591365065303097737e-01
5.803949861947470090e+00,9.989041407163129493e-01,-5.460501380525295545e-01
5.830095196478350061e+00,1.002094106385720051e+00,-5.199048035216495833e-01
5.878783887846189771e+00,1.001937740543920041e+00,-4.712161121538098740e-01
5.851889011250979600e+00,9.923442989314340545e-01,-4.981109887490200450e-01
5.830609745129580190e+00,9.973082789878110477e-01,-5.193902548704194544e-01
5.754994787139260382e+00,9.973941656725170413e-01,-5.950052128607392632e-01
5.763938323750520176e+00,1.002718344126980021e+00,-5.860616762494794685e-01
5.777865436300849922e+00,9.990445448292589736e-01,-5.721345636991497230e-01
5.853052622350150003e+00,1.002256781122500051e+00,-4.969473776498496420e-01
5.840961907083459970e+00,1.004121851016980038e+00,-5.090380929165396751e-01
5.815098021529819583e+00,1.001948348531040089e+00,-5.349019784701800617e-01
5.766228056537480384e+00,9.999091777791599966e-01,-5.837719434625192605e-01
5.854313367082429664e+00,9.972271500682049483e-01,-4.956866329175699803e-01
5.815021668059370263e+00,9.959274481811990487e-01,-5.349783319406293813e-01
5.814259196148720221e+00,1.001599925826250015e+00,-5.357408038512794235e-01
