time,leftedge,rightedge,gap,x,y_LE,y_RE
1.356000000000000094e+00,3.391000000000000014e+00,9.538000000000000256e+00,6.147000000000000242e+00,7.271557271557271829e-02,1.250000000000000000e+02,1.279620000000000033e+02
1.370999999999999996e+00,3.416999999999999815e+00,9.539999999999999147e+00,6.123000000000000220e+00,7.351994851994851643e-02,1.250000000000000000e+02,1.279600000000000080e+02
1.381999999999999895e+00,3.415999999999999925e+00,9.539999999999999147e+00,6.123999999999999666e+00,7.410982410982409896e-02,1.250000000000000000e+02,1.279600000000000080e+02
1.395999999999999908e+00,3.365000000000000213e+00,9.526999999999999247e+00,6.161999999999999922e+00,7.486057486057486055e-02,1.250000000000000000e+02,1.279729999999999990e+02
1.411000000000000032e+00,3.379000000000000004e+00,9.513999999999999346e+00,6.134999999999999787e+00,7.566495066495067257e-02,1.250000000000000000e+02,1.279860000000000042e+02
1.423000000000000043e+00,3.365000000000000213e+00,9.512999999999999901e+00,6.147999999999999687e+00,7.630845130845130553e-02,1.250000000000000000e+02,1.279869999999999948e+02
1.439000000000000057e+00,3.363999999999999879e+00,9.509999999999999787e+00,6.145999999999999908e+00,7.716645216645216798e-02,1.250000000000000000e+02,1.279899999999999949e+02
1.451999999999999957e+00,3.415999999999999925e+00,9.560999999999999943e+00,6.144999999999999574e+00,7.786357786357786526e-02,1.250000000000000000e+02,1.279389999999999930e+02
1.465000000000000080e+00,3.415000000000000036e+00,9.538000000000000256e+00,6.123000000000000220e+00,7.856070356070356253e-02,1.250000000000000000e+02,1.279620000000000033e+02
1.479999999999999982e+00,3.440999999999999837e+00,9.512000000000000455e+00,6.070999999999999730e+00,7.936507936507936067e-02,1.250000000000000000e+02,1.279879999999999995e+02
1.491999999999999993e+00,3.427999999999999936e+00,9.487000000000000099e+00,6.059000000000000163e+00,8.000858000858000751e-02,1.250000000000000000e+02,1.280130000000000052e+02
1.504999999999999893e+00,3.427999999999999936e+00,9.477000000000000313e+00,6.049000000000000377e+00,8.070570570570570479e-02,1.250000000000000000e+02,1.280229999999999961e+02
1.518000000000000016e+00,3.440999999999999837e+00,9.500999999999999446e+00,6.059999999999999609e+00,8.140283140283140206e-02,1.250000000000000000e+02,1.279989999999999952e+02
1.534999999999999920e+00,3.452999999999999847e+00,9.538000000000000256e+00,6.084999999999999964e+00,8.231445731445731495e-02,1.250000000000000000e+02,1.279620000000000033e+02
1.548000000000000043e+00,3.440999999999999837e+00,9.512999999999999901e+00,6.072000000000000064e+00,8.301158301158301223e-02,1.250000000000000000e+02,1.279869999999999948e+02
1.560999999999999943e+00,3.415000000000000036e+00,9.500000000000000000e+00,6.084999999999999964e+00,8.370870870870870950e-02,1.250000000000000000e+02,1.280000000000000000e+02
1.574000000000000066e+00,3.415000000000000036e+00,9.484999999999999432e+00,6.070000000000000284e+00,8.440583440583440678e-02,1.250000000000000000e+02,1.280149999999999864e+02
1.586999999999999966e+00,3.440999999999999837e+00,9.486000000000000654e+00,6.044999999999999929e+00,8.510296010296010405e-02,1.250000000000000000e+02,1.280140000000000100e+02
1.606000000000000094e+00,3.440999999999999837e+00,9.512999999999999901e+00,6.072000000000000064e+00,8.612183612183613168e-02,1.250000000000000000e+02,1.279869999999999948e+02
1.618999999999999995e+00,3.455000000000000071e+00,9.512000000000000455e+00,6.057000000000000384e+00,8.681896181896181508e-02,1.250000000000000000e+02,1.279879999999999995e+02
1.631000000000000005e+00,3.467000000000000082e+00,9.525000000000000355e+00,6.057999999999999829e+00,8.746246246246246192e-02,1.250000000000000000e+02,1.279749999999999943e+02
1.639000000000000012e+00,3.455000000000000071e+00,9.525999999999999801e+00,6.070999999999999730e+00,8.789146289146289315e-02,1.250000000000000000e+02,1.279740000000000038e+02
1.647999999999999909e+00,3.467000000000000082e+00,9.525999999999999801e+00,6.059000000000000163e+00,8.837408837408837481e-02,1.250000000000000000e+02,1.279740000000000038e+02
1.661000000000000032e+00,3.440999999999999837e+00,9.513999999999999346e+00,6.073000000000000398e+00,8.907121407121407208e-02,1.250000000000000000e+02,1.279860000000000042e+02
1.669000000000000039e+00,3.415000000000000036e+00,9.500000000000000000e+00,6.084999999999999964e+00,8.950021450021450331e-02,1.250000000000000000e+02,1.280000000000000000e+02
1.683000000000000052e+00,3.415999999999999925e+00,9.487999999999999545e+00,6.072000000000000064e+00,9.025096525096525102e-02,1.250000000000000000e+02,1.280120000000000005e+02
1.691000000000000059e+00,3.440999999999999837e+00,9.537000000000000810e+00,6.096000000000000085e+00,9.067996567996568225e-02,1.250000000000000000e+02,1.279629999999999939e+02
1.705000000000000071e+00,3.467000000000000082e+00,9.560999999999999943e+00,6.094000000000000306e+00,9.143071643071642995e-02,1.250000000000000000e+02,1.279389999999999930e+02
