Id,TimeStamp,X_mm_,Y_mm_,Z_mm_,Y_normalised
165,26.07.2023 14:16:49.440,-78.754347393,124.4846506992,24.3803501932,-0.515349300799855
166,26.07.2023 14:16:49.450,-78.754347171,124.4846471712,24.3793501992,-0.515352828799848
167,26.07.2023 14:16:49.460,-78.754347393,124.4846506992,24.3803501932,-0.515349300799855
168,26.07.2023 14:16:49.470,-78.755288769,124.4835953322,24.3803537072,-0.51640466780006
169,26.07.2023 14:16:49.480,-78.755288769,124.4835953322,24.3803537072,-0.51640466780006
170,26.07.2023 14:16:49.490,-78.755231771,124.4825969642,24.3803572422,-0.517403035800243
171,26.07.2023 14:16:49.500,-78.755231993,124.4826004922,24.3813572362,-0.517399507800235
172,26.07.2023 14:16:49.510,-78.754290395,124.4836523312,24.3803537282,-0.516347668800066
173,26.07.2023 14:16:49.520,-78.754290173,124.4836488032,24.3793537342,-0.516351196800059
174,26.07.2023 14:16:49.530,-78.754347393,124.4846506992,24.3803501932,-0.515349300799855
175,26.07.2023 14:16:49.540,-78.753348575,124.4847006422,24.3783502262,-0.515299357799861
176,26.07.2023 14:16:49.550,-78.7523502010001,124.4847576412,24.3783502472,-0.515242358799867
177,26.07.2023 14:16:49.560,-78.7514088249999,124.4858130082,24.3783467332,-0.514186991800102
178,26.07.2023 14:16:49.570,-78.7514088249999,124.4858130082,24.3783467332,-0.514186991800102
179,26.07.2023 14:16:49.580,-78.752407199,124.4857560092,24.3783467122,-0.514243990800111
180,26.07.2023 14:16:49.590,-78.752350645,124.4847646972,24.3803502352,-0.515235302799866
181,26.07.2023 14:16:49.600,-78.753292243,124.4837128582,24.3813537432,-0.516287141800063
182,26.07.2023 14:16:49.610,-78.754233619,124.4826574912,24.3813572572,-0.51734250880024
183,26.07.2023 14:16:49.620,-78.754233397,124.4826539632,24.3803572632,-0.517346036800248
184,26.07.2023 14:16:49.630,-78.753234801,124.4827074342,24.3793572902,-0.517292565800247
185,26.07.2023 14:16:49.640,-78.752236427,124.4827644332,24.3793573112,-0.517235566800252
186,26.07.2023 14:16:49.650,-78.7512948289999,124.4838162722,24.3783538032,-0.516183727800069
187,26.07.2023 14:16:49.660,-78.750353453,124.4848716392,24.3783502892,-0.515128360799849
188,26.07.2023 14:16:49.670,-78.750410451,124.4858700072,24.3783467542,-0.514129992800093
189,26.07.2023 14:16:49.680,-78.749411855,124.4859234782,24.3773467812,-0.514076521800092
190,26.07.2023 14:16:49.690,-78.748470923,124.4869859012,24.3793432552,-0.513014098799886
191,26.07.2023 14:16:49.700,-78.748470923,124.4869859012,24.3793432552,-0.513014098799886
192,26.07.2023 14:16:49.710,-78.750410895,124.4858770632,24.3803467422,-0.514122936800092
193,26.07.2023 14:16:49.720,-78.750354341,124.4848857512,24.3823502652,-0.515114248799847
194,26.07.2023 14:16:49.730,-78.7512957169999,124.4838303842,24.3823537792,-0.516169615800067
195,26.07.2023 14:16:49.740,-78.7512954949999,124.4838268562,24.3813537852,-0.51617314380006
196,26.07.2023 14:16:49.750,-78.749298747,124.4839408542,24.3813538272,-0.516059145800057
197,26.07.2023 14:16:49.760,-78.750296899,124.4838803272,24.3803538122,-0.516119672800059
198,26.07.2023 14:16:49.770,-78.748357149,124.4849926932,24.3803503192,-0.515007306799859
199,26.07.2023 14:16:49.780,-78.748413925,124.4859875332,24.3793467902,-0.514012466800096
200,26.07.2023 14:16:49.790,-78.7464173989999,124.4861050592,24.3803468262,-0.5138949408001
201,26.07.2023 14:16:49.800,-78.747472993,124.4870499562,24.3813432642,-0.51295004379989
202,26.07.2023 14:16:49.810,-78.747472993,124.4870499562,24.3813432642,-0.51295004379989
203,26.07.2023 14:16:49.820,-78.747472771,124.4870464282,24.3803432702,-0.512953571799898
204,26.07.2023 14:16:49.830,-78.747416217,124.4860551162,24.3823467932,-0.513944883800107
205,26.07.2023 14:16:49.840,-78.7473592190001,124.4850567482,24.3823503282,-0.514943251799863
206,26.07.2023 14:16:49.850,-78.748357593,124.4849997492,24.3823503072,-0.515000250799858
207,26.07.2023 14:16:49.860,-78.748357371,124.4849962212,24.3813503132,-0.515003778799851
208,26.07.2023 14:16:49.870,-78.748357593,124.4849997492,24.3823503072,-0.515000250799858
209,26.07.2023 14:16:49.880,-78.7473592190001,124.4850567482,24.3823503282,-0.514943251799863
210,26.07.2023 14:16:49.890,-78.7464178429999,124.4861121152,24.3823468142,-0.513887884800099
211,26.07.2023 14:16:49.900,-78.746474619,124.4871069552,24.3813432852,-0.512893044799881
212,26.07.2023 14:16:49.910,-78.745533243,124.4881623222,24.3813397712,-0.511837677800159
213,26.07.2023 14:16:49.920,-78.745533465,124.4881658502,24.3823397652,-0.511834149800166
214,26.07.2023 14:16:49.930,-78.7465318389999,124.4881088512,24.3823397442,-0.51189114880016
215,26.07.2023 14:16:49.940,-78.7474734370001,124.4870570122,24.3833432522,-0.512942987799889
216,26.07.2023 14:16:49.950,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
217,26.07.2023 14:16:49.960,-78.7473592190001,124.4850567482,24.3823503282,-0.514943251799863
218,26.07.2023 14:16:49.970,-78.748357593,124.4849997492,24.3823503072,-0.515000250799858
219,26.07.2023 14:16:49.980,-78.748300595,124.4840013812,24.3823538422,-0.515998618800069
220,26.07.2023 14:16:49.990,-78.748357593,124.4849997492,24.3823503072,-0.515000250799858
221,26.07.2023 14:16:50.000,-78.748357371,124.4849962212,24.3813503132,-0.515003778799851
222,26.07.2023 14:16:50.010,-78.747415995,124.4860515882,24.3813467992,-0.513948411800101
223,26.07.2023 14:16:50.020,-78.746474841,124.4871104832,24.3823432792,-0.512889516799888
224,26.07.2023 14:16:50.030,-78.746474619,124.4871069552,24.3813432852,-0.512893044799881
225,26.07.2023 14:16:50.040,-78.747529991,124.4880483242,24.3813397292,-0.511951675800162
226,26.07.2023 14:16:50.050,-78.7474732150001,124.4870534842,24.3823432582,-0.512946515799896
227,26.07.2023 14:16:50.060,-78.748414591,124.4859981172,24.3823467722,-0.514001882800102
228,26.07.2023 14:16:50.070,-78.749355967,124.4849427502,24.3823502862,-0.515057249799852
229,26.07.2023 14:16:50.080,-78.749299413,124.4839514382,24.3843538092,-0.516048561800062
230,26.07.2023 14:16:50.090,-78.750297565,124.4838909112,24.3833537942,-0.51610908880005
231,26.07.2023 14:16:50.100,-78.749298969,124.4839443822,24.3823538212,-0.516055617800063
232,26.07.2023 14:16:50.110,-78.749355967,124.4849427502,24.3823502862,-0.515057249799852
233,26.07.2023 14:16:50.120,-78.749355967,124.4849427502,24.3823502862,-0.515057249799852
234,26.07.2023 14:16:50.130,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
235,26.07.2023 14:16:50.140,-78.7474732150001,124.4870534842,24.3823432582,-0.512946515799896
236,26.07.2023 14:16:50.150,-78.747472993,124.4870499562,24.3813432642,-0.51295004379989
237,26.07.2023 14:16:50.160,-78.7474732150001,124.4870534842,24.3823432582,-0.512946515799896
238,26.07.2023 14:16:50.170,-78.748471811,124.4870000132,24.3833432312,-0.512999986799883
239,26.07.2023 14:16:50.180,-78.748414813,124.4860016452,24.3833467662,-0.513998354800094
240,26.07.2023 14:16:50.190,-78.749356189,124.4849462782,24.3833502802,-0.515053721799845
241,26.07.2023 14:16:50.200,-78.750297787,124.4838944392,24.3843537882,-0.516105560800057
242,26.07.2023 14:16:50.210,-78.750297565,124.4838909112,24.3833537942,-0.51610908880005
243,26.07.2023 14:16:50.220,-78.750297565,124.4838909112,24.3833537942,-0.51610908880005
244,26.07.2023 14:16:50.230,-78.751353159,124.4848358082,24.3843502322,-0.515164191799855
245,26.07.2023 14:16:50.240,-78.750354785,124.4848928072,24.3843502532,-0.515107192799846
246,26.07.2023 14:16:50.250,-78.748415035,124.4860051732,24.3843467602,-0.513994826800101
247,26.07.2023 14:16:50.260,-78.749413187,124.4859446462,24.3833467452,-0.514055353800089
248,26.07.2023 14:16:50.270,-78.749469963,124.4869394862,24.3823432162,-0.513060513799886
249,26.07.2023 14:16:50.280,-78.748471811,124.4870000132,24.3833432312,-0.512999986799883
250,26.07.2023 14:16:50.290,-78.750411561,124.4858876472,24.3833467242,-0.514112352800083
251,26.07.2023 14:16:50.300,-78.7514099349999,124.4858306482,24.3833467032,-0.514169351800092
252,26.07.2023 14:16:50.310,-78.751352715,124.4848287522,24.3823502442,-0.515171247799856
253,26.07.2023 14:16:50.320,-78.750354563,124.4848892792,24.3833502592,-0.515110720799839
254,26.07.2023 14:16:50.330,-78.7523513110001,124.4847752812,24.3833502172,-0.515224718799857
255,26.07.2023 14:16:50.340,-78.7523513110001,124.4847752812,24.3833502172,-0.515224718799857
256,26.07.2023 14:16:50.350,-78.751352937,124.4848322802,24.3833502382,-0.515167719799848
257,26.07.2023 14:16:50.360,-78.750354341,124.4848857512,24.3823502652,-0.515114248799847
258,26.07.2023 14:16:50.370,-78.751352715,124.4848287522,24.3823502442,-0.515171247799856
259,26.07.2023 14:16:50.380,-78.751352715,124.4848287522,24.3823502442,-0.515171247799856
260,26.07.2023 14:16:50.390,-78.7514097129999,124.4858271202,24.3823467092,-0.5141728798001
261,26.07.2023 14:16:50.400,-78.752350645,124.4847646972,24.3803502352,-0.515235302799866
262,26.07.2023 14:16:50.410,-78.752293869,124.4837698572,24.3813537642,-0.516230142800069
263,26.07.2023 14:16:50.420,-78.752294091,124.4837733852,24.3823537582,-0.516226614800075
264,26.07.2023 14:16:50.430,-78.7512959389999,124.4838339122,24.3833537732,-0.516166087800059
265,26.07.2023 14:16:50.440,-78.753406239,124.4857095942,24.3813466732,-0.514290405800097
266,26.07.2023 14:16:50.450,-78.753349463,124.4847147542,24.3823502022,-0.515285245799859
267,26.07.2023 14:16:50.460,-78.7523513110001,124.4847752812,24.3833502172,-0.515224718799857
268,26.07.2023 14:16:50.470,-78.7514097129999,124.4858271202,24.3823467092,-0.5141728798001
269,26.07.2023 14:16:50.480,-78.7515234869999,124.4878203282,24.3813396452,-0.512179671800155
270,26.07.2023 14:16:50.490,-78.751466489,124.4868219602,24.3813431802,-0.513178039799882
271,26.07.2023 14:16:50.500,-78.7523510890001,124.4847717532,24.3823502232,-0.515228246799865
272,26.07.2023 14:16:50.510,-78.753349463,124.4847147542,24.3823502022,-0.515285245799859
273,26.07.2023 14:16:50.520,-78.752350867,124.4847682252,24.3813502292,-0.515231774799858
274,26.07.2023 14:16:50.530,-78.753349463,124.4847147542,24.3823502022,-0.515285245799859
275,26.07.2023 14:16:50.540,-78.754234063,124.4826645472,24.3833572452,-0.517335452800239
276,26.07.2023 14:16:50.550,-78.754233841,124.4826610192,24.3823572512,-0.517338980800247
277,26.07.2023 14:16:50.560,-78.755346211,124.4846007562,24.3823501602,-0.515399243799848
278,26.07.2023 14:16:50.570,-78.754347615,124.4846542272,24.3813501872,-0.515345772799847
279,26.07.2023 14:16:50.580,-78.753292243,124.4837128582,24.3813537432,-0.516287141800063
280,26.07.2023 14:16:50.590,-78.752350867,124.4847682252,24.3813502292,-0.515231774799858
281,26.07.2023 14:16:50.600,-78.751466267,124.4868184322,24.3803431862,-0.51318156779989
282,26.07.2023 14:16:50.610,-78.753462571,124.4866973782,24.3783431562,-0.513302621799895
283,26.07.2023 14:16:50.620,-78.753349241,124.4847112262,24.3813502082,-0.515288773799853
284,26.07.2023 14:16:50.630,-78.753349463,124.4847147542,24.3823502022,-0.515285245799859
285,26.07.2023 14:16:50.640,-78.753349019,124.4847076982,24.3803502142,-0.51529230179986
286,26.07.2023 14:16:50.650,-78.754347615,124.4846542272,24.3813501872,-0.515345772799847
287,26.07.2023 14:16:50.660,-78.754290617,124.4836558592,24.3813537222,-0.516344140800058
288,26.07.2023 14:16:50.670,-78.754290617,124.4836558592,24.3813537222,-0.516344140800058
289,26.07.2023 14:16:50.680,-78.752293869,124.4837698572,24.3813537642,-0.516230142800069
290,26.07.2023 14:16:50.690,-78.7523504230001,124.4847611692,24.3793502412,-0.515238830799859
291,26.07.2023 14:16:50.700,-78.752350645,124.4847646972,24.3803502352,-0.515235302799866
292,26.07.2023 14:16:50.710,-78.7514092689999,124.4858200642,24.3803467212,-0.514179935800101
293,26.07.2023 14:16:50.720,-78.7514090469999,124.4858165362,24.3793467272,-0.514183463800094
