Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,TapeWidthAfterCompaction,TapeWidthAfterCompaction_Rotated
2023-07-26 13:39:10.606,3545200,3545652,56.6312338867187,56.6352339274089,58.5983016764323,58.6023017171224,-2.564,3.634,6.198,6.19840665009969
2023-07-26 13:39:10.619,3545203,3545655,56.6442779541016,56.6482780354818,58.6113457438151,58.6153458251953,-2.589,3.647,6.236,6.23622522043584
2023-07-26 13:39:10.632,3545206,3545658,56.6573217366536,56.6613217773438,58.624389851888,58.6283898925781,-2.639,3.672,6.311,6.31118253578519
2023-07-26 13:39:10.645,3545209,3545661,56.6703658040365,56.6743658854167,58.6374339192708,58.641434000651,-2.651,3.646,6.297,6.29722303876876
2023-07-26 13:39:10.659,3545212,3545664,56.6834099121094,56.6874099527995,58.6504777018229,58.654477742513,-2.663,3.621,6.284,6.28425850836835
2023-07-26 13:39:10.672,3545215,3545667,56.6964539794922,56.7004539794922,58.6635217692057,58.6675218098958,-2.689,3.621,6.31,6.31019025069768
2023-07-26 13:39:10.685,3545218,3545670,56.7094977620443,56.7134978027344,58.6765658772786,58.6805659179687,-2.701,3.609,6.31,6.31016766813688
2023-07-26 13:39:10.697,3545221,3545673,56.7225418294271,56.7265418701172,58.6896099446615,58.6936099853516,-2.726,3.647,6.373,6.37313839485696
2023-07-26 13:39:10.710,3545224,3545676,56.7355859375,56.7395859781901,58.7026536865234,58.7066537679036,-2.726,3.634,6.36,6.36011352099945
2023-07-26 13:39:10.723,3545227,3545679,56.7486297607422,56.7526297607422,58.715708211263,58.7197082519531,-2.69,3.646,6.336,6.33640907770324
2023-07-26 13:39:10.736,3545230,3545682,56.7616737467448,56.765673828125,58.7287418619792,58.7327419433594,-2.753,3.584,6.337,6.33731315306416
2023-07-26 13:39:10.749,3545233,3545685,56.7747178548177,56.7787178955078,58.7417858886719,58.7457858886719,-2.69,3.609,6.299,6.29952077542411
2023-07-26 13:39:10.762,3545236,3545688,56.7877619222005,56.7917620035807,58.7548297119141,58.7588297932943,-2.701,3.571,6.272,6.27219140332946
2023-07-26 13:39:10.775,3545239,3545691,56.8008057047526,56.8048057454427,58.767873819987,58.7718738606771,-2.702,3.635,6.337,6.33725634640102
2023-07-26 13:39:10.788,3545242,3545694,56.8138497721354,56.8178498535156,58.7809178873698,58.78491796875,-2.703,3.621,6.324,6.32437641194766
2023-07-26 13:39:10.802,3545245,3545697,56.8268938802083,56.8308939208984,58.7939616699219,58.797961710612,-2.703,3.634,6.337,6.33740901315356
2023-07-26 13:39:10.815,3545248,3545700,56.8399379475911,56.8439380289714,58.8070057373047,58.8110057779948,-2.741,3.647,6.388,6.38833068962464
2023-07-26 13:39:10.828,3545251,3545703,56.8529817301432,56.8569817708333,58.8200498453776,58.8240498860677,-2.691,3.698,6.389,6.3893306378681
2023-07-26 13:39:10.841,3545254,3545706,56.866025797526,56.8700258382161,58.8330939127604,58.8370939534505,-2.665,3.66,6.325,6.32529414335808
2023-07-26 13:39:10.854,3545257,3545709,56.879069905599,56.8830699462891,58.8461376546224,58.8501377360026,-2.702,3.636,6.338,6.33813915909078
2023-07-26 13:39:10.867,3545260,3545712,56.8921139729818,56.8961140136719,58.8591817626953,58.8631818033854,-2.691,3.647,6.338,6.33845564786881
2023-07-26 13:39:10.880,3545263,3545715,56.9051577148437,56.909157796224,58.8722258300781,58.8762259114583,-2.64,3.686,6.326,6.32640972432232
2023-07-26 13:39:10.892,3545266,3545718,56.9182018229167,56.9222018636068,58.885269938151,58.8892699788411,-2.677,3.66,6.337,6.33729358638212
2023-07-26 13:39:10.906,3545269,3545721,56.9312458902995,56.9352459716797,58.898313680013,58.9023137613932,-2.677,3.647,6.324,6.32429418986815
2023-07-26 13:39:10.919,3545272,3545724,56.9442899169922,56.9482899169922,58.9113577880859,58.915357828776,-2.664,3.646,6.31,6.31028525504196
2023-07-26 13:39:10.932,3545275,3545727,56.9573337402344,56.9613338216146,58.9244018554687,58.928401936849,-2.675,3.621,6.296,6.29622307419297
2023-07-26 13:39:10.945,3545278,3545730,56.9703778483073,56.9743778889974,58.9374459635417,58.9414460042318,-2.664,3.635,6.299,6.29913343246514
2023-07-26 13:39:10.958,3545281,3545733,56.9834219156901,56.9874219970703,58.9504897054036,58.9544897460937,-2.651,3.596,6.247,6.24728813166161
2023-07-26 13:39:10.971,3545284,3545736,56.9964656982422,57.0004657389323,58.9635338134766,58.9675338541667,-2.653,3.609,6.262,6.26251099799433
2023-07-26 13:39:10.984,3545287,3545739,57.009509765625,57.0135098063151,58.9765778808594,58.9805779215495,-2.664,3.597,6.261,6.2610718730901
2023-07-26 13:39:10.997,3545290,3545742,57.0225538736979,57.026553914388,58.9896218261719,58.9936218261719,-2.702,3.559,6.261,6.26153695189927
2023-07-26 13:39:11.011,3545293,3545745,57.0355979410807,57.0395979817708,59.0026657307943,59.0066657714844,-2.777,3.508,6.285,6.2853571099819
2023-07-26 13:39:11.024,3545296,3545748,57.0486416829427,57.0526417643229,59.0157097981771,59.0197098795573,-2.802,3.481,6.283,6.28333621573762
2023-07-26 13:39:11.037,3545299,3545751,57.0616857910156,57.0656858317057,59.02875390625,59.0327539469401,-2.866,3.443,6.309,6.30937730683465
2023-07-26 13:39:11.050,3545302,3545754,57.0747298583984,57.0787299397786,59.041797648112,59.0457977294922,-2.878,3.456,6.334,6.33459746155981
2023-07-26 13:39:11.063,3545305,3545757,57.0877739664714,57.0917740071615,59.0548417561849,59.058841796875,-2.866,3.456,6.322,6.32228471361422
2023-07-26 13:39:11.076,3545308,3545760,57.1008177083333,57.1048177897135,59.0678858235677,59.0718859049479,-2.815,3.455,6.27,6.27064589974589
2023-07-26 13:39:11.088,3545311,3545763,57.1138618164063,57.1178618570964,59.0809299316406,59.0849299723307,-2.802,3.443,6.245,6.24545034405046
2023-07-26 13:39:11.101,3545314,3545766,57.1269058837891,57.1309059651693,59.0939736735026,59.0979737141927,-2.775,3.455,6.23,6.23018490897341
2023-07-26 13:39:11.114,3545317,3545769,57.139949991862,57.1439500325521,59.1070177815755,59.1110178222656,-2.8,3.455,6.255,6.25521614334789
2023-07-26 13:39:11.127,3545320,3545772,57.152993733724,57.1569937744141,59.1200618489583,59.1240618896484,-2.763,3.48,6.243,6.24348724672358
2023-07-26 13:39:11.140,3545323,3545775,57.1660378417969,57.170037882487,59.1331059570313,59.1371059977214,-2.762,3.454,6.216,6.21624331891859
2023-07-26 13:39:11.154,3545326,3545778,57.1790819091797,57.1830819498698,59.1461496988932,59.1501497395833,-2.774,3.455,6.229,6.22928896423982
2023-07-26 13:39:11.167,3545329,3545781,57.1921258544922,57.1961258544922,59.159193766276,59.1631938476563,-2.813,3.466,6.279,6.2793901773978
