Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft,TapeEdgeRight,Gap,Gap_Rotated
2023-07-26 15:42:23.717,5242068,5242518,14.0181967366536,14.0221967773438,15.9812838134766,15.9852838541667,3.429,9.813,6.384,6.38505379773734
2023-07-26 15:42:23.730,5242070,5242520,14.0268927815755,14.0308928222656,15.9899798583984,15.9939798990885,3.416,9.799,6.383,6.38447006414785
2023-07-26 15:42:23.739,5242073,5242523,14.0399368896484,14.0439369303385,16.0030239257812,16.0070240071615,3.441,9.826,6.385,6.38569189673288
2023-07-26 15:42:23.747,5242075,5242525,14.0486329345703,14.0526329752604,16.0117196858724,16.0157197265625,3.454,9.851,6.397,6.39769059895835
2023-07-26 15:42:23.761,5242077,5242527,14.0573289794922,14.0613289794922,16.0204157307943,16.0244157714844,3.416,9.826,6.41,6.41101364840226
2023-07-26 15:42:23.769,5242080,5242530,14.0703727620443,14.0743728027344,16.0334597981771,16.0374598795573,3.441,9.862,6.421,6.42235665468681
2023-07-26 15:42:23.782,5242082,5242532,14.0790688069661,14.0830688476562,16.0421558837891,16.0461559244792,3.441,9.861,6.42,6.4215262983188
2023-07-26 15:42:23.791,5242085,5242535,14.092112874349,14.0961129557292,16.0551999511719,16.0591999511719,3.428,9.875,6.447,6.44788787123349
2023-07-26 15:42:23.804,5242087,5242537,14.1008089599609,14.104809000651,16.0638956705729,16.0679061686198,3.441,9.876,6.435,6.43613750629988
2023-07-26 15:42:23.813,5242090,5242540,14.1138527018229,14.117852742513,16.0769397786458,16.0809398193359,3.378,9.825,6.447,6.44819238236578
2023-07-26 15:42:23.825,5242092,5242542,14.1225487467448,14.126548828125,16.0856358235677,16.0896359049479,3.416,9.837,6.421,6.42259215581995
2023-07-26 15:42:23.834,5242095,5242545,14.1355928548177,14.1395928955078,16.0986799316406,16.1026799723307,3.404,9.86,6.456,6.45732893695218
2023-07-26 15:42:23.847,5242097,5242547,14.1442888997396,14.1482889811198,16.1073757324219,16.1113757324219,3.429,9.887,6.458,6.45917123166742
