Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
75,26.07.2023 15:37:11.370,-78.679309619,187.0318159952,24.0446948532
76,26.07.2023 15:37:11.380,-78.679309397,187.0318124672,24.0436948592
77,26.07.2023 15:37:11.390,-78.680307993,187.0317589962,24.0446948322
78,26.07.2023 15:37:11.400,-78.679252621,187.0308176272,24.0446983882
79,26.07.2023 15:37:11.410,-78.679252177,187.0308105712,24.0426984002
80,26.07.2023 15:37:11.420,-78.680250773,187.0307571002,24.0436983732
81,26.07.2023 15:37:11.430,-78.680250551,187.0307535722,24.0426983792
82,26.07.2023 15:37:11.440,-78.679252177,187.0308105712,24.0426984002
83,26.07.2023 15:37:11.450,-78.680250551,187.0307535722,24.0426983792
84,26.07.2023 15:37:11.460,-78.679252177,187.0308105712,24.0426984002
85,26.07.2023 15:37:11.470,-78.678311023,187.0318694662,24.0436948802
86,26.07.2023 15:37:11.480,-78.679309175,187.0318089392,24.0426948652
87,26.07.2023 15:37:11.490,-78.679309397,187.0318124672,24.0436948592
88,26.07.2023 15:37:11.500,-78.679252399,187.0308140992,24.0436983942
89,26.07.2023 15:37:11.510,-78.680250773,187.0307571002,24.0436983732
90,26.07.2023 15:37:11.520,-78.680250773,187.0307571002,24.0436983732
91,26.07.2023 15:37:11.530,-78.680250773,187.0307571002,24.0436983732
92,26.07.2023 15:37:11.540,-78.680250773,187.0307571002,24.0436983732
93,26.07.2023 15:37:11.550,-78.680250551,187.0307535722,24.0426983792
94,26.07.2023 15:37:11.560,-78.680250773,187.0307571002,24.0436983732
95,26.07.2023 15:37:11.570,-78.6812491469999,187.0307001012,24.0436983522
96,26.07.2023 15:37:11.580,-78.680250551,187.0307535722,24.0426983792
97,26.07.2023 15:37:11.590,-78.6812491469999,187.0307001012,24.0436983522
98,26.07.2023 15:37:11.600,-78.680250773,187.0307571002,24.0436983732
99,26.07.2023 15:37:11.610,-78.680307771,187.0317554682,24.0436948382
100,26.07.2023 15:37:11.620,-78.680250551,187.0307535722,24.0426983792
101,26.07.2023 15:37:11.630,-78.6812489249999,187.0306965732,24.0426983582
102,26.07.2023 15:37:11.640,-78.6812491469999,187.0307001012,24.0436983522
103,26.07.2023 15:37:11.650,-78.6822475209999,187.0306431022,24.0436983312
104,26.07.2023 15:37:11.660,-78.680250551,187.0307535722,24.0426983792
105,26.07.2023 15:37:11.670,-78.6812493689999,187.0307036292,24.0446983462
106,26.07.2023 15:37:11.680,-78.6822477429999,187.0306466302,24.0446983252
107,26.07.2023 15:37:11.690,-78.6812489249999,187.0306965732,24.0426983582
108,26.07.2023 15:37:11.700,-78.6821905229999,187.0296447342,24.0437018662
109,26.07.2023 15:37:11.710,-78.6812491469999,187.0307001012,24.0436983522
110,26.07.2023 15:37:11.720,-78.6812493689999,187.0307036292,24.0446983462
111,26.07.2023 15:37:11.730,-78.6812491469999,187.0307001012,24.0436983522
112,26.07.2023 15:37:11.740,-78.6822472989999,187.0306395742,24.0426983372
113,26.07.2023 15:37:11.750,-78.6821903009999,187.0296412062,24.0427018722
114,26.07.2023 15:37:11.760,-78.683188897,187.0295877352,24.0437018452
115,26.07.2023 15:37:11.770,-78.6811919269999,187.0296982052,24.0427018932
116,26.07.2023 15:37:11.780,-78.683188897,187.0295877352,24.0437018452
117,26.07.2023 15:37:11.790,-78.683188897,187.0295877352,24.0437018452
118,26.07.2023 15:37:11.800,-78.6821905229999,187.0296447342,24.0437018662
119,26.07.2023 15:37:11.810,-78.683188675,187.0295842072,24.0427018512
120,26.07.2023 15:37:11.820,-78.683188897,187.0295877352,24.0437018452
121,26.07.2023 15:37:11.830,-78.683188675,187.0295842072,24.0427018512
122,26.07.2023 15:37:11.840,-78.683188453,187.0295806792,24.0417018572
123,26.07.2023 15:37:11.850,-78.6821898569999,187.0296341502,24.0407018842
124,26.07.2023 15:37:11.860,-78.6821898569999,187.0296341502,24.0407018842
125,26.07.2023 15:37:11.870,-78.683188453,187.0295806792,24.0417018572
126,26.07.2023 15:37:11.880,-78.6822472989999,187.0306395742,24.0426983372
127,26.07.2023 15:37:11.890,-78.684187271,187.0295307362,24.0437018242
128,26.07.2023 15:37:11.900,-78.683188897,187.0295877352,24.0437018452
129,26.07.2023 15:37:11.910,-78.683188675,187.0295842072,24.0427018512
130,26.07.2023 15:37:11.920,-78.683188453,187.0295806792,24.0417018572
131,26.07.2023 15:37:11.930,-78.683188453,187.0295806792,24.0417018572
132,26.07.2023 15:37:11.940,-78.683188453,187.0295806792,24.0417018572
133,26.07.2023 15:37:11.950,-78.683188453,187.0295806792,24.0417018572
134,26.07.2023 15:37:11.960,-78.6821900789999,187.0296376782,24.0417018782
135,26.07.2023 15:37:11.970,-78.683188231,187.0295771512,24.0407018632
136,26.07.2023 15:37:11.980,-78.6821898569999,187.0296341502,24.0407018842
137,26.07.2023 15:37:11.990,-78.683245451,187.0305790472,24.0416983222
138,26.07.2023 15:37:12.000,-78.6822470769999,187.0306360462,24.0416983432
139,26.07.2023 15:37:12.010,-78.683188453,187.0295806792,24.0417018572
140,26.07.2023 15:37:12.020,-78.683188453,187.0295806792,24.0417018572
141,26.07.2023 15:37:12.030,-78.683188231,187.0295771512,24.0407018632
142,26.07.2023 15:37:12.040,-78.6821900789999,187.0296376782,24.0417018782
143,26.07.2023 15:37:12.050,-78.6821900789999,187.0296376782,24.0417018782
144,26.07.2023 15:37:12.060,-78.6821903009999,187.0296412062,24.0427018722
145,26.07.2023 15:37:12.070,-78.6821900789999,187.0296376782,24.0417018782
146,26.07.2023 15:37:12.080,-78.6812484809999,187.0306895172,24.0406983702
147,26.07.2023 15:37:12.090,-78.681248703,187.0306930452,24.0416983642
148,26.07.2023 15:37:12.100,-78.680250329,187.0307500442,24.0416983852
