TimeStamp,Id,X_mm_,Y_mm_,Z_mm_,Y_normalised,Velocity,Weights
26.07.2023 13:53:52.730,662,383.239360151,349.1181928132,0.0404463592000366,-0.881807186799847,198.638674400001,0.993193372000007
26.07.2023 13:53:52.740,663,385.225746895,349.1154217262,0.0438980442000225,-0.884578273799832,199.870877600006,0.999354388000029
26.07.2023 13:53:52.750,664,387.224455671,349.1073514752,0.0493711792000189,-0.892648524800109,200.752359199998,1.00376179599999
26.07.2023 13:53:52.760,665,389.231979263,349.1027822632,0.0528339102000039,-0.897217736799803,200.013776399993,1.00006888199997
26.07.2023 13:53:52.770,666,391.232117027,349.1047744102,0.0482717972000086,-0.895225589799907,201.149171800006,1.00574585900003
26.07.2023 13:53:52.780,667,393.243608745,349.1184255372,0.0416710632000041,-0.881574462800074,199.032279800002,0.995161399000011
26.07.2023 13:53:52.790,668,395.233931543,349.1168878702,0.0471192852000002,-0.883112129800281,197.674343799997,0.988371718999986
26.07.2023 13:53:52.800,669,397.210674981,349.1075812812,0.0575919281999906,-0.892418718800116,200.278934400001,1.001394672
26.07.2023 13:53:52.810,670,399.213464325,349.1157593292,0.0600086261999992,-0.884240670799898,200.096225800002,1.00048112900001
26.07.2023 13:53:52.820,671,401.214426583,349.1208494432,0.0684358512000389,-0.879150556800255,201.428266399995,1.00714133199997
26.07.2023 13:53:52.830,672,403.228709247,349.1206973922,0.078884547200029,-0.879302607800071,201.089011000005,1.00544505500002
26.07.2023 13:53:52.840,673,405.239599357,349.1273382242,0.0823084772000156,-0.872661775800225,199.608704799999,0.998043523999996
26.07.2023 13:53:52.850,674,407.235686405,349.1301042712,0.078742739199996,-0.869895728800088,199.682802199999,0.998414010999994
26.07.2023 13:53:52.860,675,409.232514427,349.1198915342,0.0752229562000331,-0.880108465799879,199.129198600002,0.995645993000011
26.07.2023 13:53:52.870,676,411.223806413,349.1013780832,0.0797312791999956,-0.898621916799925,199.785669199997,0.998928345999985
26.07.2023 13:53:52.880,677,413.221663105,349.1082374882,0.0721514672000141,-0.891762511799868,200.5046822,1.002523411
26.07.2023 13:53:52.890,678,415.226709927,349.1295123972,0.0595223632000383,-0.87048760280021,201.317229200004,1.00658614600002
26.07.2023 13:53:52.900,679,417.239882219,349.1312683312,0.0609640222000141,-0.868731668800081,200.621104200002,1.00310552100001
26.07.2023 13:53:52.910,680,419.246093261,349.1146011772,0.0634691372000229,-0.885398822799914,199.3945564,0.996972782
26.07.2023 13:53:52.920,681,421.240038825,349.1022418752,0.0659563252000335,-0.897758124800077,199.214943999999,0.996074719999996
26.07.2023 13:53:52.930,682,423.232188265,349.1037991982,0.0673940082000097,-0.896200801800205,199.928212799995,0.999641063999974
26.07.2023 13:53:52.940,683,425.231470393,349.1207774492,0.0657788521999998,-0.879222550799966,199.140580199997,0.995702900999987
26.07.2023 13:53:52.950,684,427.222876195,349.1353558922,0.0791705082000338,-0.864644107800132,201.174911800007,1.00587455900003
26.07.2023 13:53:52.960,685,429.234625313,349.1620428022,0.0725238402000277,-0.837957197799824,200.895258000003,1.00447629000001
26.07.2023 13:53:52.970,686,431.243577893,349.1675359882,0.0659513232000239,-0.832464011800255,199.086248199995,0.995431240999977
26.07.2023 13:53:52.980,687,433.234440375,349.1389994982,0.0754949452000382,-0.861000501800049,199.888132400002,0.999440662000012
