Time,Var1,Var2,Var3,Var4,Var5,Var6,TapeEdgeLeft1,TapeEdgeRight1,TapeWidth1,TapeWidth_Arc1
2023-07-26 13:22:18.838,3312694,3313146,68.8909578857422,68.8949578857422,70.8586879475912,70.8626879882812,-4.823,1.329,6.152,6.11940542354816
2023-07-26 13:22:18.846,3312696,3313148,68.8996537272135,68.9036537679036,70.8673836669922,70.8713837076823,-4.799,1.367,6.166,6.13093046791844
2023-07-26 13:22:18.855,3312698,3313150,68.9083497721354,68.9123498535156,70.8760797119141,70.8800797932943,-4.814,1.292,6.106,6.0695622549438
2023-07-26 13:22:18.864,3312700,3313152,68.9170458577474,68.9210458984375,70.884775797526,70.8887758382161,-4.784,1.306,6.09,6.05304223646371
2023-07-26 13:22:18.873,3312702,3313154,68.9257419026693,68.9297419433594,70.8934718424479,70.897471883138,-4.787,1.317,6.104,6.06618426559426
2023-07-26 13:22:18.881,3312704,3313156,68.9344379475911,68.9384380289713,70.9021678873698,70.90616796875,-4.81,1.318,6.128,6.09369030017103
2023-07-26 13:22:18.890,3312706,3313158,68.9431336669922,68.9471337483724,70.9108639729818,70.9148640136719,-4.797,1.357,6.154,6.11477877771229
2023-07-26 13:22:18.899,3312708,3313160,68.9518297526042,68.9558297932943,70.9195596923828,70.9235597330729,-4.768,1.331,6.099,6.06500954263133
2023-07-26 13:22:18.908,3312710,3313162,68.960525797526,68.9645258382161,70.9282557373047,70.9322557779948,-4.756,1.355,6.111,6.08146753130984
2023-07-26 13:22:18.916,3312712,3313164,68.9692218424479,68.9732219238281,70.9369517822266,70.9409518636068,-4.808,1.292,6.1,6.06682947984241
2023-07-26 13:22:18.925,3312714,3313166,68.9779179280599,68.98191796875,70.9456478678385,70.9496479085286,-4.761,1.406,6.167,6.13085065949909
2023-07-26 13:22:18.934,3312716,3313168,68.9866139729818,68.9906140136719,70.9543439127604,70.9583439534505,-4.747,1.393,6.14,6.10812265783745
2023-07-26 13:22:18.943,3312718,3313170,68.9953096923828,68.999309773763,70.9630397949219,70.9670397949219,-4.76,1.367,6.127,6.08166157602794
2023-07-26 13:22:18.951,3312720,3313172,69.0040057779948,69.0080058186849,70.9717357177734,70.9757357584635,-4.747,1.405,6.152,6.10601822123065
2023-07-26 13:22:18.960,3312722,3313174,69.0127018229167,69.0167018636068,70.9804317626953,70.9844318033854,-4.633,1.353,5.986,5.94088447850964
2023-07-26 13:22:18.969,3312724,3313176,69.0213978678385,69.0253979492187,70.9891278076172,70.9931278889974,-4.699,1.479,6.178,6.14347371691187
2023-07-26 13:22:18.977,3312726,3313178,69.0300939534505,69.0340939941406,70.9978238932292,71.0018239339193,-4.728,1.467,6.195,6.15925787322079
2023-07-26 13:22:18.986,3312728,3313180,69.0387899169922,69.0427899169922,71.006519938151,71.0105199788411,-4.763,1.293,6.056,6.02883713204622
2023-07-26 13:22:18.995,3312730,3313182,69.0474857177734,69.0514857584635,71.0152156575521,71.0192156982422,-4.82,1.483,6.303,6.27226166667624
2023-07-26 13:22:19.004,3312732,3313184,69.0561817626953,69.0601818440755,71.023911702474,71.0279117838542,-4.786,1.484,6.27,6.23136285620146
2023-07-26 13:22:19.013,3312734,3313186,69.0648778483073,69.0688778889974,71.0326077880859,71.036607828776,-4.798,1.458,6.256,6.21617373763058
2023-07-26 13:22:19.020,3312736,3313188,69.0735738932292,69.0775739339193,71.0413038330078,71.0453038736979,-4.761,1.418,6.179,6.13417959906664
2023-07-26 13:22:19.029,3312738,3313190,69.082269938151,69.0862700195313,71.0500102945963,71.0540103759766,-4.747,1.457,6.204,6.16032102193162
2023-07-26 13:22:19.038,3312740,3313192,69.0909656982422,69.0949657389323,71.0586959635417,71.0626960042318,-4.734,1.471,6.205,6.16175116709023
2023-07-26 13:22:19.047,3312742,3313194,69.0996617431641,69.1036617838542,71.0673916829427,71.0713917236328,-4.711,1.47,6.181,6.13863472554374
2023-07-26 13:22:19.059,3312744,3313196,69.1083577880859,69.1123578694662,71.0760877278646,71.0800878092448,-4.672,1.457,6.129,6.09519454612776
2023-07-26 13:22:19.068,3312747,3313199,69.1214018961589,69.125401936849,71.0891318359375,71.0931318766276,-4.67,1.457,6.127,6.09129893741155
2023-07-26 13:22:19.077,3312749,3313201,69.1300979410807,69.1340979817708,71.0978278808594,71.1018279215495,-4.657,1.407,6.064,6.03088720071336
2023-07-26 13:22:19.086,3312751,3313203,69.1387938232422,69.1427938232422,71.1065239257812,71.1105240071615,-4.644,1.444,6.088,6.05647123371846
2023-07-26 13:22:19.094,3312753,3313205,69.1474897460937,69.1514897867839,71.1152196858724,71.1192197265625,-4.596,1.442,6.038,6.00129922730088
2023-07-26 13:22:19.103,3312755,3313207,69.1561857910156,69.1601858317057,71.1239157307943,71.1279157714844,-4.571,1.519,6.09,6.0520658269483
2023-07-26 13:22:19.112,3312757,3313209,69.1648818359375,69.1688819173177,71.1326117757161,71.1366118570964,-4.583,1.53,6.113,6.07283057149331
2023-07-26 13:22:19.121,3312759,3313211,69.1735779215495,69.1775779622396,71.1413078613281,71.1453079020182,-4.597,1.48,6.077,6.04094458879673
2023-07-26 13:22:19.130,3312761,3313213,69.1822739664714,69.1862740071615,71.15000390625,71.1540039469401,-4.571,1.479,6.05,6.02303708807982
