sample_index,x_mm,centerline,top_edge,bottom_edge
0,183.0,-0.5812149950032859,2.5804772629410095,-3.7429072529475818
0,184.0,-0.6510756152144492,2.4582207861363377,-3.760372016565236
0,185.0,-0.7646250824679858,2.366681404737353,-3.8959315696733245
0,186.0,-0.7592667823101024,2.400400673758029,-3.9189342383782333
0,187.0,-0.7205820249990469,2.4067038898595836,-3.847867939857677
0,188.0,-0.3315707187498407,2.788242665544622,-3.4513841030443033
0,189.0,-0.9402616135132476,2.2292183335318594,-4.109741560558354
0,190.0,-0.9324262930175007,2.186907816973715,-4.051760403008716
0,191.0,-0.8156956011085641,2.307079368328362,-3.93847057054549
0,192.0,-0.6046969750271854,2.5434720408915514,-3.752865990945922
0,193.0,-0.6879748887037964,2.5064411033795273,-3.88239088078712
0,194.0,-0.808734589927587,2.3212622389157436,-3.9387314187709177
0,195.0,-0.645564257368897,2.490458845772429,-3.781587360510223
0,196.0,-1.105140317197162,1.9917958475349826,-4.202076481929307
0,197.0,-1.0536209656273126,2.100232235461818,-4.207474166716443
0,198.0,-0.6371170824632575,2.5022162829518892,-3.7764504478784042
0,199.0,-0.8031497676274413,2.34671805127397,-3.953017586528852
0,200.0,-0.743230741340876,2.393451043465525,-3.879912526147277
0,201.0,-1.0606787223983098,2.0689918844365764,-4.190349329233197
0,202.0,-0.17921726508761804,2.9797491791418986,-3.3381837093171347
0,203.0,-0.5251054367640019,2.563710440190022,-3.6139213137180257
0,204.0,-0.7510583862254008,2.3557330850629272,-3.8578498575137283
0,205.0,-0.27194429457877745,2.8160314646192877,-3.3599200537768423
0,206.0,-0.3164449826625352,2.77647707243324,-3.4093670377583103
0,207.0,-0.12454154787964833,3.0232807516880307,-3.272363847447327
0,208.0,-0.773469544684831,2.321990514457346,-3.868929603827008
0,209.0,-0.261929469519264,2.8089638206616643,-3.332822759700192
0,210.0,-0.6334690320737142,2.496392246529708,-3.7633303106771363
0,211.0,-0.622179817022781,2.5780310051029676,-3.8223906391485296
0,212.0,-0.4799092125818224,2.6109691202471472,-3.5707875454107922
0,213.0,-0.41276230753925985,2.7131143733416865,-3.538638988420206
0,214.0,-0.6802699188562242,2.419398430603529,-3.779938268315978
0,215.0,-0.8914659351997043,2.183531577814559,-3.9664634482139673
0,216.0,-0.2515749071934822,2.9291420118854563,-3.432291826272421
0,217.0,-0.724513289504914,2.39503882647184,-3.8440654054816683
0,218.0,-0.5671494187394909,2.5828389745840243,-3.717137812063006
0,219.0,-0.2598436664580891,2.900604511482832,-3.4202918443990105
0,220.0,-0.7799132587768142,2.391523343335832,-3.9513498608894606
0,221.0,-0.6741998388738458,2.5409388293173,-3.8893385070649913
0,222.0,-0.6202145542674891,2.5276988217775376,-3.7681279303125157
0,223.0,-0.6056993391673324,2.5773915010204482,-3.788790179355113
0,224.0,-0.5744616730027966,2.4973412611480925,-3.6462646071536855
0,225.0,-0.7650297610650101,2.3914951556083297,-3.9215546777383494
0,226.0,-0.48879369222006264,2.5986279104603343,-3.576215294900459
0,227.0,-0.861650780932072,2.2592474393370927,-3.9825490012012366
0,228.0,-0.6519143448771209,2.4752010211394575,-3.779029710893699
0,229.0,-0.448537116816214,2.6875845474992723,-3.5846587811317003
0,230.0,-0.5107822203087229,2.640284516216618,-3.6618489568340644
0,231.0,-0.0483565911182795,3.035365490943268,-3.1320786731798274
0,232.0,-0.8737837184315312,2.294596781021301,-4.0421642178843635
0,233.0,-0.6384019319520238,2.5023480858253153,-3.7791519497293624
0,234.0,-0.7766844363060221,2.410962243761789,-3.964331116373833
0,235.0,-0.8017583507309732,2.30924453683636,-3.912761238298306
0,236.0,-0.34898579517416295,2.764384772176017,-3.4623563625243428
0,237.0,-0.42795032965684265,2.695721893559494,-3.5516225528731797
0,238.0,-0.3426569121767308,2.786257832210803,-3.4715716565642647
0,239.0,-0.6780132031555086,2.4766029218923924,-3.832629328203409
0,240.0,-0.5538853396578411,2.5595065105536463,-3.6672771898693286
0,241.0,-0.4685173932259318,2.6850883108570502,-3.6221230973089136
0,242.0,-0.9282744024684746,2.185428276888039,-4.041977081824989
0,243.0,-0.787210106928091,2.342969819690998,-3.9173900335471803
0,244.0,-0.6360782877757796,2.4881881933780985,-3.7603447689296576
0,245.0,-0.998923652261227,2.149341804027812,-4.147189108550267
0,246.0,-0.7549976371940237,2.3632298414882786,-3.873225115876326
0,247.0,-0.8945790470957813,2.227890953630143,-4.017049047821706
0,248.0,-0.6765128132101671,2.480472358767159,-3.833497985187493
0,249.0,-0.06005781720535175,3.053680833482113,-3.1737964678928168
0,250.0,-0.3854697999842768,2.719164987439199,-3.4901045874077523
0,251.0,-0.9871202706544204,2.1093739287486777,-4.083614470057518
0,252.0,-0.7595137879197091,2.3768245086457926,-3.895852084485211
0,253.0,-0.6426253192514169,2.533312149113594,-3.818562787616428
0,254.0,-0.5211743363476571,2.576271052038169,-3.6186197247334833
0,255.0,-0.6341703468936541,2.5331252393833745,-3.8014659331706824
0,256.0,-0.8765616409381243,2.207495783933001,-3.96061906580925
0,257.0,-0.9280908625971491,2.2241440068858545,-4.080325732080152
0,258.0,-0.544310738132746,2.6302224897369615,-3.7188439660024533
0,259.0,-0.4864773517761761,2.659905880516607,-3.632860584068959
0,260.0,-0.6691699784778316,2.4375045025856217,-3.7758444595412843
0,261.0,-0.6352438323109035,2.463428063696922,-3.7339157283187294
0,262.0,-0.6455939254050903,2.4806178357820206,-3.771805686592201
0,263.0,-0.5341897994153357,2.590658562879251,-3.6590381617099226
0,264.0,-0.43292668937954976,2.6890939540064362,-3.5549473327655354
0,265.0,-0.7095635944723224,2.4426987305044703,-3.8618259194491147
0,266.0,-0.3495122037769651,2.7635915558034334,-3.462615963357363
0,267.0,-0.8403979310771127,2.3145204891383893,-3.9953163512926144
0,268.0,-0.9766646155015697,2.1907435727936786,-4.144072803796818
0,269.0,-0.23301840559869857,2.931905685564268,-3.397942496761665
0,270.0,-0.7632610213969143,2.368957393169278,-3.895479435963107
0,271.0,-0.8246660080602107,2.2512054333605387,-3.9005374494809604
0,272.0,-0.771644240116857,2.375259143426614,-3.9185476236603276
0,273.0,-0.5229280626875937,2.6262111951323015,-3.6720673205074887
0,274.0,-0.8150469485555166,2.3119995549793133,-3.9420934520903463
0,275.0,-0.30383077463993546,2.8077614399386497,-3.4154229892185204
0,276.0,-0.5116407687885742,2.6407416211965247,-3.6640231587736727
0,277.0,-0.6994772418610311,2.4221797854853935,-3.8211342692074557
0,278.0,-0.5250308440297065,2.647317335987389,-3.6973790240468016
0,279.0,-0.6949524687679945,2.4797809898279013,-3.86968592736389
0,280.0,-0.7408141733429036,2.4093575170978685,-3.8909858637836754
0,281.0,-0.44520688259502583,2.719514514093818,-3.6099282792838694
0,282.0,-0.36265732471425904,2.7750110449252996,-3.5003256943538177
0,283.0,-0.5581759133284936,2.5861449495301394,-3.7024967761871266
0,284.0,-0.8553989642764027,2.3315410651706983,-4.0423389937235035
0,285.0,-0.1454035912715692,3.0072106695297496,-3.2980178520728884
0,286.0,-0.5503483187713489,2.5579271626787583,-3.658623800221456
0,287.0,-0.5782038225591722,2.607088580085608,-3.7634962252039523
0,288.0,-0.4139156857731999,2.736180217760182,-3.5640115893065816
0,289.0,-0.44653448993287953,2.6702746922709224,-3.563343672136681
0,290.0,-0.785637561874101,2.342609316386239,-3.913884440134441
0,291.0,-0.4407966299844429,2.665246473059828,-3.546839733028714
0,292.0,-0.5354184061833851,2.605167415850543,-3.6760042282173133
0,293.0,-0.5914083007850359,2.5697556496327776,-3.7525722512028494
0,294.0,-0.5039095841240407,2.6553074043702627,-3.6631265726183444
0,295.0,-0.4705880295200515,2.6988384600955992,-3.6400145191357023
0,296.0,-0.17396205939436238,2.946418247440292,-3.2943423662290163
0,297.0,-1.0416901434051073,2.0827526135512717,-4.166132900361486
0,298.0,-1.0733989132311206,2.0495766259386166,-4.196374452400858
0,299.0,-0.4240550454857491,2.666374503578853,-3.514484594550351
0,300.0,-0.6826193649788901,2.4127579712968648,-3.777996701254645
0,301.0,-0.043670983421480125,3.1050581528473122,-3.192400119690273
0,302.0,-0.8313402545881019,2.33242795345625,-3.9951084626324533
0,303.0,-0.4240410929399039,2.661072558668006,-3.509154744547814
0,304.0,-1.014074758529486,2.069535265455692,-4.097684782514665
0,305.0,-0.502884385043971,2.6545545094202234,-3.660323279508165
0,306.0,0.1438833762574051,3.3225251270451377,-3.0347583745303277
0,307.0,-0.4501474508910917,2.6826182295304593,-3.582913131312643
0,308.0,-0.1621087107895436,2.9877518213864214,-3.3119692429655085
0,309.0,-0.5142115454628812,2.6225506152147378,-3.6509737061405
0,310.0,-0.7571756780032448,2.3980853020364474,-3.912436658042937
0,311.0,-1.0986284708400451,2.0289144925054634,-4.226171434185553
0,312.0,-0.28995976695284587,2.849945469557561,-3.4298650034632523
0,313.0,-0.44320996590737805,2.683768971843323,-3.570188903658079
0,314.0,-0.6839502303106626,2.434592611005388,-3.8024930716267136
0,315.0,-0.9521726118563768,2.231559934210608,-4.135905157923362
0,316.0,-0.4103129894510109,2.754003567975218,-3.5746295468772393
0,317.0,-0.3270109907140273,2.8212158292823273,-3.475237810710382
0,318.0,-0.21477701892792034,2.9297836875782535,-3.359337725434094
0,319.0,-0.5697537611978637,2.5687053965322635,-3.708212918927991
0,320.0,-0.8094832153396387,2.3276550534095852,-3.9466214840888627
0,321.0,-0.6058163234392564,2.5594088546939053,-3.7710415015724177
0,322.0,-0.4746766218659669,2.659541410936648,-3.608894654668582
0,323.0,-0.6288879194135071,2.525536983973617,-3.7833128228006316
0,324.0,-0.7933928857021975,2.2761088824631486,-3.862894653867544
0,325.0,-0.6533534665457967,2.5079979471901765,-3.81470488028177
0,326.0,-0.675473506802862,2.4857586346674214,-3.8367056482731456
0,327.0,-0.7278576954887076,2.3869745851398037,-3.842689976117219
0,328.0,-0.5341971947955785,2.6071164833447,-3.675510872935857
0,329.0,-0.6615933175379367,2.4975204642300146,-3.820707099305888
0,330.0,-0.962622484328424,2.205594490131346,-4.130839458788194
0,331.0,-0.6940881382263157,2.443415923284773,-3.831592199737404
0,332.0,0.053120558866535106,3.1852534950181948,-3.0790123772851246
0,333.0,-0.7698105485160563,2.3298458312397097,-3.869466928271822
0,334.0,-0.42832082977762465,2.7061698737964988,-3.562811533351748
0,335.0,-0.5805628360666572,2.5903812418670786,-3.751506914000393
0,336.0,-0.7572872477127484,2.374060277538392,-3.8886347729638886
0,337.0,-0.711350628370612,2.4082078558971083,-3.830909112638332
0,338.0,-0.29583254313115315,2.8912379635936265,-3.482903049855933
0,339.0,-0.56363294118477,2.605241272043628,-3.7325071544131676
0,340.0,-0.7820716250690546,2.3797556446075814,-3.9438988947456903
0,341.0,-0.66949680987594,2.4722264657877098,-3.81122008553959
0,342.0,-0.5122916354645528,2.6102008058045505,-3.634784076733656
0,343.0,-0.5754384926954125,2.558162872635645,-3.70903985802647
0,344.0,-0.3849827777124134,2.72537376205868,-3.495339317483507
0,345.0,-0.5717358944285876,2.5515421606893725,-3.6950139495465475
0,346.0,-0.22525045696222512,2.8662028196285005,-3.3167037335529512
0,347.0,-0.747524348178044,2.340494421134368,-3.835543117490456
0,348.0,-0.43374198694625876,2.7221442167984935,-3.5896281906910112
0,349.0,-0.8432576274404975,2.293492488701685,-3.9800077435826795
0,350.0,-0.6483021703729319,2.460311332935695,-3.7569156736815588
0,351.0,-0.6979525289297002,2.4776208865484586,-3.8735259444078585
0,352.0,-0.5862820618277175,2.5831940053351405,-3.7557581289905753
0,353.0,-0.722275043861073,2.4459421272844972,-3.8904922150066428
0,354.0,-0.36974907024598413,2.788381285647698,-3.5278794261396667
0,355.0,-0.8554991047503734,2.2875404099694046,-3.998538619470151
0,356.0,-0.27825712645137424,2.8520866528605278,-3.4086009057632762
0,357.0,-0.3530192955036436,2.8206764393616135,-3.5267150303689005
0,358.0,-0.4275362839237916,2.7212665733416705,-3.5763391411892536
0,359.0,-0.7079600756602935,2.4243420673550156,-3.8402622186756026
0,360.0,-0.5465566274808977,2.5951092158896647,-3.68822247085146
0,361.0,-0.6255256813949257,2.5607785053628174,-3.8118298681526683
0,362.0,-0.7376133250635669,2.343025561913697,-3.8182522120408304
0,363.0,-0.6167900237234875,2.5247166650386377,-3.758296712485613
0,364.0,-0.6154050226986076,2.524497874400719,-3.755307919797935
0,365.0,-0.3374474757184057,2.831140855666447,-3.5060358071032582
0,366.0,-0.5215741017692033,2.5390031524674965,-3.5821513560059026
