mcmc_index,x_mm,centerline,top_edge,bottom_edge
0,577.9569892473118,-0.6386245617542032,2.482647614957454,-3.7598967384658604
0,580.6451612903226,-0.5791511309339434,2.540959731007585,-3.6992619928754715
0,583.3333333333333,-0.6044117412906362,2.511702383243896,-3.7205258658251683
0,586.0215053763441,-0.5518692298687229,2.567032380373681,-3.6707708401111274
0,588.7096774193548,-0.5475042270458522,2.5987969353774893,-3.693805389469194
0,591.3978494623656,-0.5521378495381867,2.600049923093713,-3.704325622170086
0,594.0860215053763,-0.5213630929695834,2.6344635259287985,-3.6771897118679657
0,596.7741935483871,-0.5293916819223089,2.649602709649065,-3.7083860734936827
0,599.4623655913978,-0.5115488715863834,2.6650456298030885,-3.6881433729758553
0,602.1505376344086,-0.4771187326492899,2.695570349153872,-3.649807814452452
0,604.8387096774193,-0.44378214669809884,2.718045008068238,-3.6056093014644355
0,607.5268817204301,-0.4370550022356509,2.7096465274727506,-3.583756531944052
0,610.2150537634408,-0.42353843460058244,2.708931622579839,-3.5560084917810038
0,612.9032258064516,-0.43103914715627994,2.6908942850451694,-3.552972579357729
0,615.5913978494623,-0.47267124212117984,2.64234404451882,-3.5876865287611803
0,618.2795698924731,-0.5365052374107058,2.5767371270123367,-3.6497476018337482
0,620.9677419354838,-0.5757132523825327,2.5384667216315084,-3.6898932263965736
0,623.6559139784946,-0.6011438704433678,2.5177071823298913,-3.7199949232166265
0,626.3440860215053,-0.5186609690237314,2.6128911029792787,-3.650213041026741
0,629.0322580645161,-0.4517096152886168,2.680742559782483,-3.5841617903597163
0,631.7204301075268,-0.4885709868153129,2.653485349474943,-3.6306273231055686
0,634.4086021505376,-0.5374276523435688,2.611229092169239,-3.6860843968563772
0,637.0967741935483,-0.4792009953703145,2.670274956215621,-3.6286769469562503
0,639.7849462365591,-0.4912302441902053,2.674822026870468,-3.6572825152508783
0,642.4731182795698,-0.45991576866373113,2.701339398133169,-3.621170935460631
0,645.1612903225806,-0.43985628708915503,2.7175611041871406,-3.5972736783654504
0,647.8494623655913,-0.5258960235557156,2.6313603292404655,-3.6831523763518965
0,650.5376344086021,-0.46568614367982,2.692877008182369,-3.624249295542009
0,653.2258064516128,-0.4696517853911564,2.695003984205893,-3.634307554988206
0,655.9139784946236,-0.49409664186017854,2.659193455983391,-3.6473867397037485
0,658.6021505376343,-0.522891754513773,2.6250700504825444,-3.670853559510091
0,661.2903225806451,-0.5038099958098039,2.629568161093847,-3.637188152713455
0,663.9784946236558,-0.4822217796799778,2.6502463792386575,-3.6146899385986133
0,666.6666666666666,-0.4881288343459923,2.6370236270187415,-3.6132812957107263
0,669.3548387096773,-0.38049631036244125,2.755275645482663,-3.516268266207546
0,672.0430107526881,-0.39002631640128116,2.7642656094204074,-3.5443182422229693
0,674.7311827956988,-0.4066084923108215,2.7585993617104148,-3.5718163463320582
0,677.4193548387096,-0.4469699743036338,2.7015822949794237,-3.5955222435866916
0,680.1075268817203,-0.4390094011141396,2.7089766664840416,-3.586995468712321
0,682.7956989247311,-0.4258953322177548,2.737150987582448,-3.5889416520179576
0,685.4838709677418,-0.32932280866314445,2.835178519051048,-3.4938241363773366
0,688.1720430107526,-0.3519091690946532,2.815683901866069,-3.5195022400553757
0,690.8602150537635,-0.34288064883688507,2.8293064056996284,-3.515067703373399
0,693.5483870967741,-0.3433745790420791,2.82643833285068,-3.513187490934838
0,696.236559139785,-0.32894302660980207,2.8413721560854763,-3.4992582093050806
0,698.9247311827957,-0.35470055227261515,2.813737655072867,-3.523138759618097
0,701.6129032258065,-0.3668324916944704,2.8015078776385614,-3.5351728610275024
0,704.3010752688172,-0.3802651484144419,2.7860577819693866,-3.546588078798271
0,706.989247311828,-0.336823379764619,2.8142380932478064,-3.4878848527770447
0,709.6774193548387,-0.33533132609589633,2.801421697966509,-3.472084350158301
0,712.3655913978495,-0.251662271669306,2.888839427697614,-3.3921639710362257
0,715.0537634408602,-0.2797996569166361,2.85461997640508,-3.4142192902383526
0,717.741935483871,-0.31030836427000474,2.817562114252223,-3.4381788427922326
0,720.4301075268817,-0.2824839684900733,2.850124085842305,-3.415092022822451
0,723.1182795698925,-0.24358006160623502,2.8900877136310448,-3.3772478368435146
0,725.8064516129032,-0.22659487568053616,2.9073858630690226,-3.3605756144300947
0,728.494623655914,-0.21012042947206777,2.936137069776297,-3.356377928720433
0,731.1827956989247,-0.21166198831110794,2.935280815175443,-3.3586047917976587
0,733.8709677419355,-0.21025490231082966,2.935577416448894,-3.356087221070553
0,736.5591397849462,-0.22604168493063292,2.9177882787057245,-3.3698716485669906
0,739.247311827957,-0.21293722780650293,2.9308378820323977,-3.356712337645403
0,741.9354838709677,-0.23969568765178562,2.9090465104880283,-3.3884378857915993
0,744.6236559139785,-0.2127750099777812,2.929691535963051,-3.355241555918613
0,747.3118279569892,-0.221070700673632,2.9324613809374704,-3.3746027822847346
0,750.0,-0.25509394825082676,2.8974193204286314,-3.407607216930285
0,752.6881720430107,-0.24208603093046643,2.9000127751488014,-3.3841848370097347
0,755.3763440860215,-0.2418634899890979,2.9044962757340276,-3.388223255712224
0,758.0645161290322,-0.2506763884563922,2.8852972248749085,-3.386650001787693
0,760.752688172043,-0.2641550488056751,2.872044864188886,-3.4003549618002364
0,763.4408602150537,-0.3034725516183917,2.8413599006714634,-3.4483050039082466
0,766.1290322580645,-0.27606560787746814,2.8808266265617366,-3.4329578423166724
0,768.8172043010752,-0.32339004246767455,2.8357341668700426,-3.4825142518053918
0,771.505376344086,-0.280574398969195,2.888952479148624,-3.4501012770870143
0,774.1935483870967,-0.198889439701446,2.97234287767965,-3.3701217570825426
0,776.8817204301075,-0.1932659942375261,2.986300053419016,-3.3728320418940676
0,779.5698924731182,-0.23743571130798968,2.938695560272384,-3.413566982888364
0,782.258064516129,-0.23539599705647196,2.9201278567324542,-3.3909198508453984
0,784.9462365591397,-0.25230478548434787,2.8901301133939787,-3.3947396843626745
0,787.6344086021505,-0.2644969196507412,2.8706003358747516,-3.399594175176234
0,790.3225806451612,-0.2418481083054176,2.887041633164326,-3.370737849775161
0,793.010752688172,-0.22073045790447554,2.9076883775567923,-3.349149293365743
0,795.6989247311827,-0.1996440404352079,2.935554103249266,-3.3348421841196814
0,798.3870967741935,-0.19509747397208888,2.9404763281669553,-3.330671276111133
0,801.0752688172042,-0.19352005901310854,2.94928549212057,-3.336325610146787
0,803.763440860215,-0.20176155951534935,2.941964528326822,-3.345487647357521
0,806.4516129032257,-0.2235184779552719,2.91659105030486,-3.3636280062154045
0,809.1397849462365,-0.2645666600825197,2.8643593561249094,-3.3934926762899487
0,811.8279569892472,-0.24665930834045435,2.880902934572674,-3.3742215512535827
0,814.516129032258,-0.2776460421914072,2.85511325336702,-3.4104053377498342
0,817.2043010752687,-0.2912602028447041,2.8609687423262273,-3.4434891480156353
0,819.8924731182796,-0.3733792781803199,2.8004392725442475,-3.5471978289048876
0,822.5806451612902,-0.4047147072088543,2.7699424128242294,-3.579371827241938
0,825.2688172043011,-0.39265839281442394,2.781714408510187,-3.567031194139035
0,827.9569892473118,-0.3293193372060419,2.846652784043033,-3.5052914584551162
0,830.6451612903226,-0.349658775145838,2.8198126481648567,-3.5191301984565326
0,833.3333333333333,-0.36767447060123437,2.7932077144033203,-3.5285566556057892
0,836.0215053763441,-0.36983859484695025,2.785482023837014,-3.525159213530914
0,838.7096774193548,-0.43117184143366305,2.7223048930188942,-3.5846485758862205
0,841.3978494623656,-0.5414012057853148,2.6147950802460933,-3.6975974918167225
0,844.0860215053763,-0.5213931476339042,2.635662139169497,-3.678448434437305
0,846.7741935483871,-0.5412028193211196,2.621540868834406,-3.7039465074766453
0,849.4623655913978,-0.592442078502982,2.588524266882797,-3.773408423888761
0,852.1505376344086,-0.5619114032283007,2.6175312722642285,-3.74135407872083
0,854.8387096774193,-0.5513349135685308,2.600485208467146,-3.703155035604208
0,857.5268817204301,-0.57579572679034,2.5494933172274905,-3.701084770808171
0,860.2150537634408,-0.6550153382704103,2.4800162560496792,-3.7900469325905
0,862.9032258064516,-0.6390124793494548,2.4942883647545244,-3.7723133234534343
0,865.5913978494623,-0.6177772004028533,2.5139010653735236,-3.74945546617923
0,868.2795698924731,-0.6253559938658579,2.506322271910519,-3.757034259642235
0,870.9677419354838,-0.5364927561717562,2.6019607836445413,-3.674946295988054
0,873.6559139784946,-0.5768745297404674,2.5735990383473686,-3.727348097828304
0,876.3440860215053,-0.636080290688096,2.5043228072662163,-3.7764833886424083
0,879.0322580645161,-0.6496141291028765,2.454210891841297,-3.75343915004705
0,881.7204301075268,-0.6901159525805124,2.4152804170837068,-3.7955123222447313
